,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A002410,범양건영,20210827,-99644,169523,-11147
1,A002410,범양건영,20210826,120454,-58510,-11162
2,A002410,범양건영,20210825,57496,8393,-11173
3,A002410,범양건영,20210824,22496,16966,-11351
4,A002410,범양건영,20210823,-102536,140679,-18189
5,A002410,범양건영,20210820,48065,-4914,-18493
6,A002410,범양건영,20210819,51947,-11028,-18510
7,A002410,범양건영,20210818,59718,-14519,-18593
8,A002410,범양건영,20210817,-16268,61192,-11125
9,A002410,범양건영,20210813,-8757,51157,-13650
10,A002410,범양건영,20210812,-2051,50624,-18263
11,A002410,범양건영,20210811,59163,-11435,-16772
12,A002410,범양건영,20210810,51533,-3675,-16755
13,A002410,범양건영,20210809,93720,-44380,-16667
14,A002410,범양건영,20210806,63972,-16521,-16013
15,A002410,범양건영,20210805,-352614,298492,74143
16,A002410,범양건영,20210804,43599,4962,-18503
17,A002410,범양건영,20210803,31959,-12333,456
18,A002410,범양건영,20210802,72054,-24688,-18454
19,A002410,범양건영,20210730,37065,12855,-19482
20,A002410,범양건영,20210729,50585,4027,-15164
21,A002410,범양건영,20210728,100918,-45173,-20049
22,A002410,범양건영,20210727,58427,-3646,-15057
23,A002410,범양건영,20210726,76171,-20800,-17070
24,A002410,범양건영,20210723,74041,-19916,-20217
25,A002410,범양건영,20210722,74155,-25365,-20216
26,A002410,범양건영,20210721,44258,-11961,-16777
27,A002410,범양건영,20210720,74036,-24317,-28462
28,A002410,범양건영,20210719,111787,-48152,-28447
29,A002410,범양건영,20210716,94360,-26164,-29549
30,A002410,범양건영,20210715,98118,-26535,-32550
31,A002410,범양건영,20210714,79597,-6913,-32542
32,A002410,범양건영,20210713,115990,-38935,-32532
33,A002410,범양건영,20210712,-38868,150532,-32551
34,A002410,범양건영,20210709,-320730,354951,30281
35,A002410,범양건영,20210708,-295977,369483,-32289
36,A002410,범양건영,20210707,-84588,157112,-32085
37,A002410,범양건영,20210706,-3260,42581,8015
38,A002410,범양건영,20210705,24360,43254,-32289
39,A002410,범양건영,20210702,-10986,81956,-32283
40,A002410,범양건영,20210701,13318,4361,-3175
41,A002410,범양건영,20210630,64715,9731,-32409
42,A002410,범양건영,20210629,-61718,126522,-32356
43,A002410,범양건영,20210628,-118483,179992,-31501
44,A002410,범양건영,20210625,-179395,234689,-32350
45,A002410,범양건영,20210624,-182504,229475,-32338
46,A002410,범양건영,20210623,-174806,221776,-32337
47,A002410,범양건영,20210622,-276053,330226,-31990
48,A002410,범양건영,20210621,-258334,313295,-31985
49,A002410,범양건영,20210618,-264771,320452,-31975
50,A002410,범양건영,20210617,-283129,338545,-31966
51,A002410,범양건영,20210616,-326618,382343,-31906
52,A002410,범양건영,20210615,-227389,285279,-33111
53,A002410,범양건영,20210614,-205884,262543,-33058
54,A002410,범양건영,20210611,-203208,259970,-32961
55,A002410,범양건영,20210610,-216217,272570,-32952
56,A002410,범양건영,20210609,-153923,208626,-32952
57,A002410,범양건영,20210608,-137447,192861,-33563
58,A002410,범양건영,20210607,-137202,195125,-33562
59,A002410,범양건영,20210604,-139126,195150,-33563
60,A002410,범양건영,20210603,-149912,206954,-33557
61,A002410,범양건영,20210602,-141779,199113,-33548
62,A002410,범양건영,20210601,-79511,136641,-33522
63,A002410,범양건영,20210531,-72130,129208,-33167
64,A002410,범양건영,20210528,-65566,122710,-33168
65,A002410,범양건영,20210527,-52944,109825,-33155
66,A002410,범양건영,20210526,-57160,114428,-33168
67,A002410,범양건영,20210525,-58284,113966,-33232
68,A002410,범양건영,20210524,-52670,105156,-33237
69,A002410,범양건영,20210521,-71603,124565,-33244
70,A002410,범양건영,20210520,-106011,160320,-33312
71,A002410,범양건영,20210518,-114858,169230,-33357
72,A002410,범양건영,20210517,-86320,141227,-33368
73,A002410,범양건영,20210514,-114490,169377,-33130
74,A002410,범양건영,20210513,-126587,181102,-32723
75,A002410,범양건영,20210512,-130849,184514,-32707
76,A002410,범양건영,20210511,-223261,277219,-32674
