,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A015350,부산가스,20210827,-8684,13491,-3960
1,A015350,부산가스,20210826,-8941,13780,-3992
2,A015350,부산가스,20210825,-9446,14290,-3997
3,A015350,부산가스,20210824,-9788,15061,-4426
4,A015350,부산가스,20210823,-9502,14477,-4628
5,A015350,부산가스,20210820,-10325,15185,-4513
6,A015350,부산가스,20210819,-11174,16076,-4555
7,A015350,부산가스,20210818,-11997,16783,-4439
8,A015350,부산가스,20210817,-12256,17099,-4496
9,A015350,부산가스,20210813,-13811,18607,-4449
10,A015350,부산가스,20210812,-13313,17827,-4225
11,A015350,부산가스,20210811,-13280,17676,-4107
12,A015350,부산가스,20210810,-15337,18265,-2639
13,A015350,부산가스,20210809,-15524,18351,-2538
14,A015350,부산가스,20210806,-16928,18940,-1723
15,A015350,부산가스,20210805,-17586,19611,-1736
16,A015350,부산가스,20210804,-16101,19867,-3477
17,A015350,부산가스,20210803,-15303,19093,-3501
18,A015350,부산가스,20210802,-16114,19063,-2658
19,A015350,부산가스,20210730,-16489,18803,-2003
20,A015350,부산가스,20210729,-17007,18609,-1291
21,A015350,부산가스,20210728,-16854,18739,-1579
22,A015350,부산가스,20210727,-16364,18900,-2230
23,A015350,부산가스,20210726,-15774,18895,-2815
24,A015350,부산가스,20210723,-16432,19550,-2837
25,A015350,부산가스,20210722,-16561,19648,-2833
26,A015350,부산가스,20210721,-18131,21485,-3061
27,A015350,부산가스,20210720,-17970,21318,-3055
28,A015350,부산가스,20210719,-17739,21080,-3048
29,A015350,부산가스,20210716,-18549,21891,-3037
30,A015350,부산가스,20210715,-19722,23003,-2976
31,A015350,부산가스,20210714,-20398,23531,-2827
32,A015350,부산가스,20210713,-20663,23794,-2824
33,A015350,부산가스,20210712,-21554,24716,-2790
34,A015350,부산가스,20210709,-21933,25147,-2837
35,A015350,부산가스,20210708,-22862,25343,-2091
36,A015350,부산가스,20210707,-24813,26622,-1409
37,A015350,부산가스,20210706,-24355,26045,-1290
38,A015350,부산가스,20210705,-23765,25818,-1453
39,A015350,부산가스,20210702,-23993,26124,-1531
40,A015350,부산가스,20210701,-22901,25967,-2486
41,A015350,부산가스,20210630,-21455,26260,-4225
42,A015350,부산가스,20210629,-21738,26429,-4111
43,A015350,부산가스,20210628,-21717,26558,-4256
44,A015350,부산가스,20210625,-21945,26640,-4110
45,A015350,부산가스,20210624,-20863,26669,-5221
46,A015350,부산가스,20210623,-19684,25885,-6013
47,A015350,부산가스,20210622,-17487,25158,-7403
48,A015350,부산가스,20210621,-16531,25063,-8606
49,A015350,부산가스,20210618,-17370,25926,-8580
50,A015350,부산가스,20210617,-14678,23736,-9077
51,A015350,부산가스,20210616,-14639,23668,-9094
