,辆格内靛,辆格疙,朝楼,俺牢 鉴概荐,寇惫牢 鉴概荐,扁包 鉴概荐
0,A033560,喉风霓,20210827,-1233018,808791,408977
1,A033560,喉风霓,20210826,-1231348,807121,408977
2,A033560,喉风霓,20210825,-1232148,807921,408977
3,A033560,喉风霓,20210824,-1231945,808718,408977
4,A033560,喉风霓,20210823,-1232408,809181,408977
5,A033560,喉风霓,20210820,-1235881,808654,412977
6,A033560,喉风霓,20210819,-1257574,830632,412977
7,A033560,喉风霓,20210818,-1278092,851150,412977
8,A033560,喉风霓,20210817,-1282235,849293,418977
9,A033560,喉风霓,20210813,-1271931,846612,418977
10,A033560,喉风霓,20210812,-1263719,840099,418977
11,A033560,喉风霓,20210811,-1264161,849638,408977
12,A033560,喉风霓,20210810,-1273925,859403,408977
13,A033560,喉风霓,20210809,-1280356,865833,408977
14,A033560,喉风霓,20210806,-1295479,880956,408977
15,A033560,喉风霓,20210805,-1215037,800514,408977
16,A033560,喉风霓,20210804,-1135670,721092,408977
17,A033560,喉风霓,20210803,-1131421,716843,408977
18,A033560,喉风霓,20210802,-1139760,725181,408977
19,A033560,喉风霓,20210730,-1158461,740398,408977
20,A033560,喉风霓,20210729,-1151904,734374,408977
21,A033560,喉风霓,20210728,-1152707,735138,408977
22,A033560,喉风霓,20210727,-1133848,705686,423977
23,A033560,喉风霓,20210726,-1139060,710897,423977
24,A033560,喉风霓,20210723,-1108460,693521,418977
25,A033560,喉风霓,20210722,-1048180,643618,408977
26,A033560,喉风霓,20210721,-978572,574630,408977
27,A033560,喉风霓,20210720,-973931,568989,408977
28,A033560,喉风霓,20210719,-981366,576434,408977
29,A033560,喉风霓,20210716,-997596,592194,408977
30,A033560,喉风霓,20210715,-907388,503104,408977
31,A033560,喉风霓,20210714,-882525,478241,408977
32,A033560,喉风霓,20210713,-883098,478806,408977
33,A033560,喉风霓,20210712,-855256,450513,408977
34,A033560,喉风霓,20210709,-870143,463891,408845
35,A033560,喉风霓,20210708,-873253,468643,408845
36,A033560,喉风霓,20210707,-808577,405351,408845
37,A033560,喉风霓,20210706,-773350,369566,408845
38,A033560,喉风霓,20210705,-706124,301763,408845
39,A033560,喉风霓,20210702,-681864,276903,408845
40,A033560,喉风霓,20210701,-684925,279964,408845
41,A033560,喉风霓,20210630,-702022,297061,408845
42,A033560,喉风霓,20210629,-705316,300355,408845
43,A033560,喉风霓,20210628,-709790,302829,408845
44,A033560,喉风霓,20210625,-718840,311974,408845
45,A033560,喉风霓,20210624,-701036,294170,408845
46,A033560,喉风霓,20210623,-693806,287430,408845
47,A033560,喉风霓,20210622,-713139,307264,408845
48,A033560,喉风霓,20210621,-714878,309003,408845
49,A033560,喉风霓,20210618,-723065,317190,408845
50,A033560,喉风霓,20210617,-730817,324947,408845
51,A033560,喉风霓,20210616,-733077,327207,408845
52,A033560,喉风霓,20210615,-717481,311547,408845
53,A033560,喉风霓,20210614,-736405,330470,408845
54,A033560,喉风霓,20210611,-741314,335380,408845
55,A033560,喉风霓,20210610,-708263,301789,408845
56,A033560,喉风霓,20210609,-701458,294993,408845
57,A033560,喉风霓,20210608,-695507,287271,408845
58,A033560,喉风霓,20210607,-719223,306996,408845
59,A033560,喉风霓,20210604,-692033,279199,408845
60,A033560,喉风霓,20210603,-652244,241899,408845
61,A033560,喉风霓,20210602,-643541,233270,408845
62,A033560,喉风霓,20210601,-581635,171987,408845
63,A033560,喉风霓,20210531,-584542,174894,408845
64,A033560,喉风霓,20210528,-511377,101729,408845
65,A033560,喉风霓,20210527,-514070,104322,408845
66,A033560,喉风霓,20210526,-519296,109548,408845
67,A033560,喉风霓,20210525,-474875,66798,408845
68,A033560,喉风霓,20210524,-460012,51935,408845
69,A033560,喉风霓,20210521,-466284,58207,408845
70,A033560,喉风霓,20210520,-460600,52523,408845
71,A033560,喉风霓,20210518,-462223,54146,408845
72,A033560,喉风霓,20210517,-453945,45868,408845
73,A033560,喉风霓,20210514,-486205,78128,408845
74,A033560,喉风霓,20210513,-483999,75822,408845
75,A033560,喉风霓,20210512,-488837,81160,408845
76,A033560,喉风霓,20210511,-506703,99516,408845
77,A033560,喉风霓,20210510,-507341,98010,408845
78,A033560,喉风霓,20210507,-393650,-13627,408845
79,A033560,喉风霓,20210506,-402769,-4508,408845
80,A033560,喉风霓,20210504,-413370,3981,410957
81,A033560,喉风霓,20210503,-383159,-26370,410957
82,A033560,喉风霓,20210430,-407160,-5063,410957
83,A033560,喉风霓,20210429,-460250,47079,411987
84,A033560,喉风霓,20210428,-400863,-13198,411987
85,A033560,喉风霓,20210427,-394357,-19704,411987
86,A033560,喉风霓,20210426,-388718,-26343,411987
87,A033560,喉风霓,20210423,-409806,-5255,411987
88,A033560,喉风霓,20210422,-389009,-26052,411987
89,A033560,喉风霓,20210421,-392628,-22433,411987
90,A033560,喉风霓,20210420,-404620,-10441,411987
91,A033560,喉风霓,20210419,-407380,-8491,412797
92,A033560,喉风霓,20210416,-372611,-43233,412797
