,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,°³ÀÎ ¼ø¸Å¼ö,¿Ü±¹ÀÎ ¼ø¸Å¼ö,±â°ü ¼ø¸Å¼ö
0,A318410,ºñºñ¾¾,20210827,60430,185,-56979
1,A318410,ºñºñ¾¾,20210826,51157,-213,-47226
2,A318410,ºñºñ¾¾,20210825,54023,-2951,-47226
3,A318410,ºñºñ¾¾,20210824,49697,-1695,-44131
4,A318410,ºñºñ¾¾,20210823,51251,-3297,-44131
5,A318410,ºñºñ¾¾,20210820,52241,-4312,-44131
6,A318410,ºñºñ¾¾,20210819,55246,-7112,-44063
7,A318410,ºñºñ¾¾,20210818,54853,-6519,-44063
8,A318410,ºñºñ¾¾,20210817,57866,-9612,-44063
9,A318410,ºñºñ¾¾,20210813,55836,-7670,-44063
10,A318410,ºñºñ¾¾,20210812,51629,-3974,-44063
11,A318410,ºñºñ¾¾,20210811,52425,-4723,-44063
12,A318410,ºñºñ¾¾,20210810,55624,-7877,-44063
13,A318410,ºñºñ¾¾,20210809,54633,-6686,-44263
14,A318410,ºñºñ¾¾,20210806,54601,-6354,-44563
15,A318410,ºñºñ¾¾,20210805,53164,-5122,-44458
16,A318410,ºñºñ¾¾,20210804,54677,-6941,-44458
17,A318410,ºñºñ¾¾,20210803,57645,-7584,-44458
18,A318410,ºñºñ¾¾,20210802,57729,-7652,-44458
19,A318410,ºñºñ¾¾,20210730,62480,-8767,-48069
20,A318410,ºñºñ¾¾,20210729,62173,-7235,-49294
21,A318410,ºñºñ¾¾,20210728,59333,-4195,-49519
22,A318410,ºñºñ¾¾,20210727,57457,-1319,-50519
23,A318410,ºñºñ¾¾,20210726,58291,-2514,-50519
24,A318410,ºñºñ¾¾,20210723,55714,188,-50519
25,A318410,ºñºñ¾¾,20210722,56424,-422,-50519
26,A318410,ºñºñ¾¾,20210721,57837,-1798,-50519
27,A318410,ºñºñ¾¾,20210720,52237,3731,-50519
28,A318410,ºñºñ¾¾,20210719,59255,-3756,-49676
29,A318410,ºñºñ¾¾,20210716,53546,1855,-49676
30,A318410,ºñºñ¾¾,20210715,54571,868,-49676
31,A318410,ºñºñ¾¾,20210714,53239,2634,-49676
32,A318410,ºñºñ¾¾,20210713,52733,3343,-49676
33,A318410,ºñºñ¾¾,20210712,52333,1374,-47157
34,A318410,ºñºñ¾¾,20210709,45097,-971,-37576
35,A318410,ºñºñ¾¾,20210708,47459,-4004,-37876
36,A318410,ºñºñ¾¾,20210707,32197,-3014,-23256
37,A318410,ºñºñ¾¾,20210706,33272,-3962,-23353
38,A318410,ºñºñ¾¾,20210705,34676,-5331,-23353
39,A318410,ºñºñ¾¾,20210702,35655,-5229,-23353
40,A318410,ºñºñ¾¾,20210701,38417,-7375,-23856
41,A318410,ºñºñ¾¾,20210630,35591,-1176,-27229
42,A318410,ºñºñ¾¾,20210629,39527,-897,-31456
43,A318410,ºñºñ¾¾,20210628,26820,-413,-19156
44,A318410,ºñºñ¾¾,20210625,28070,537,-21356
45,A318410,ºñºñ¾¾,20210624,28700,-93,-21356
46,A318410,ºñºñ¾¾,20210623,31666,-2491,-21856
47,A318410,ºñºñ¾¾,20210622,32849,-3067,-21856
48,A318410,ºñºñ¾¾,20210621,33141,-3336,-21856
49,A318410,ºñºñ¾¾,20210618,32844,-3009,-21856
50,A318410,ºñºñ¾¾,20210617,32350,-2460,-21856
51,A318410,ºñºñ¾¾,20210616,32681,-2758,-21856
52,A318410,ºñºñ¾¾,20210615,31970,-2057,-21856
53,A318410,ºñºñ¾¾,20210614,33746,-3783,-21856
54,A318410,ºñºñ¾¾,20210611,33434,-3471,-21856
55,A318410,ºñºñ¾¾,20210610,38534,-3459,-27056
56,A318410,ºñºñ¾¾,20210609,42050,-1775,-32256
57,A318410,ºñºñ¾¾,20210608,40393,1445,-33756
58,A318410,ºñºñ¾¾,20210607,33059,3667,-28529
59,A318410,ºñºñ¾¾,20210604,37939,3912,-33629
60,A318410,ºñºñ¾¾,20210603,38639,3082,-33629
61,A318410,ºñºñ¾¾,20210602,36819,4956,-33629
62,A318410,ºñºñ¾¾,20210601,42423,5752,-40129
63,A318410,ºñºñ¾¾,20210531,68729,-3805,-57049
64,A318410,ºñºñ¾¾,20210528,67538,-2466,-57049
65,A318410,ºñºñ¾¾,20210527,67221,-2228,-57049
66,A318410,ºñºñ¾¾,20210526,66118,-1125,-57049
67,A318410,ºñºñ¾¾,20210525,66162,-1169,-57049
68,A318410,ºñºñ¾¾,20210524,66529,-1531,-57049
69,A318410,ºñºñ¾¾,20210521,64561,542,-57049
70,A318410,ºñºñ¾¾,20210520,62434,2694,-57049
71,A318410,ºñºñ¾¾,20210518,70897,-5730,-57049
72,A318410,ºñºñ¾¾,20210517,72157,-6807,-57049
73,A318410,ºñºñ¾¾,20210514,77330,-5111,-64649
74,A318410,ºñºñ¾¾,20210513,78500,-4725,-66649
75,A318410,ºñºñ¾¾,20210512,80434,-7176,-65869
76,A318410,ºñºñ¾¾,20210511,82115,-5767,-68869
77,A318410,ºñºñ¾¾,20210510,80246,-2392,-70869
78,A318410,ºñºñ¾¾,20210507,85542,-2540,-75869
79,A318410,ºñºñ¾¾,20210506,84939,-1887,-75869
80,A318410,ºñºñ¾¾,20210504,82019,-1453,-73369
81,A318410,ºñºñ¾¾,20210503,80679,-2483,-70869
82,A318410,ºñºñ¾¾,20210430,78822,-396,-71169
83,A318410,ºñºñ¾¾,20210429,80503,-549,-71719
84,A318410,ºñºñ¾¾,20210428,84876,-4580,-71719
85,A318410,ºñºñ¾¾,20210427,77959,3159,-72419
86,A318410,ºñºñ¾¾,20210426,78815,1915,-72419
87,A318410,ºñºñ¾¾,20210423,78009,2671,-72419
88,A318410,ºñºñ¾¾,20210422,77820,3660,-73219
89,A318410,ºñºñ¾¾,20210421,75461,6019,-73219
90,A318410,ºñºñ¾¾,20210420,69821,11232,-73269
91,A318410,ºñºñ¾¾,20210419,68675,12381,-73269
92,A318410,ºñºñ¾¾,20210416,74425,5445,-73269
93,A318410,ºñºñ¾¾,20210415,74221,5782,-73269
94,A318410,ºñºñ¾¾,20210414,83347,-3114,-73269
95,A318410,ºñºñ¾¾,20210413,87579,-7376,-73269
96,A318410,ºñºñ¾¾,20210412,87815,-7079,-73269
97,A318410,ºñºñ¾¾,20210409,70286,6816,-72169
98,A318410,ºñºñ¾¾,20210408,84589,-5119,-76423
99,A318410,ºñºñ¾¾,20210407,82066,-2596,-76423
100,A318410,ºñºñ¾¾,20210406,81249,-2116,-76397
101,A318410,ºñºñ¾¾,20210405,83142,-3709,-76797
102,A318410,ºñºñ¾¾,20210402,84001,-4228,-76797
103,A318410,ºñºñ¾¾,20210401,78229,-4566,-70677
104,A318410,ºñºñ¾¾,20210331,74199,-2971,-67177
105,A318410,ºñºñ¾¾,20210330,81225,-4033,-73216
106,A318410,ºñºñ¾¾,20210329,87195,-5013,-78216
107,A318410,ºñºñ¾¾,20210326,86491,-4274,-78216
108,A318410,ºñºñ¾¾,20210325,86976,-4714,-78266
109,A318410,ºñºñ¾¾,20210324,82233,-4479,-73703
110,A318410,ºñºñ¾¾,20210323,65292,-7819,-55323
111,A318410,ºñºñ¾¾,20210322,44197,-5890,-35953
112,A318410,ºñºñ¾¾,20210319,15314,-2593,-10368
113,A318410,ºñºñ¾¾,20210318,17059,-4427,-10269
114,A318410,ºñºñ¾¾,20210317,18070,-5043,-10269
115,A318410,ºñºñ¾¾,20210316,17573,-5733,-9059
116,A318410,ºñºñ¾¾,20210315,15936,-4839,-8309
117,A318410,ºñºñ¾¾,20210312,14525,-5236,-6609
118,A318410,ºñºñ¾¾,20210311,12676,-5587,-4409
