,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A148780,비플라이소프트,20210827,53866,0,-55475
1,A148780,비플라이소프트,20210826,53766,0,-55375
2,A148780,비플라이소프트,20210825,53766,0,-55375
3,A148780,비플라이소프트,20210824,53766,0,-55375
4,A148780,비플라이소프트,20210823,56389,0,-55375
5,A148780,비플라이소프트,20210820,55815,0,-54838
6,A148780,비플라이소프트,20210819,50587,0,-50090
7,A148780,비플라이소프트,20210818,37412,0,-43640
8,A148780,비플라이소프트,20210817,27973,0,-34976
9,A148780,비플라이소프트,20210813,26329,0,-33332
10,A148780,비플라이소프트,20210812,26314,0,-33317
11,A148780,비플라이소프트,20210811,25597,0,-32600
12,A148780,비플라이소프트,20210810,25397,0,-32400
13,A148780,비플라이소프트,20210809,25357,0,-32360
14,A148780,비플라이소프트,20210806,25322,0,-32325
15,A148780,비플라이소프트,20210805,25774,0,-32077
16,A148780,비플라이소프트,20210804,26118,0,-31921
17,A148780,비플라이소프트,20210803,27498,0,-30301
18,A148780,비플라이소프트,20210802,25624,0,-28427
19,A148780,비플라이소프트,20210730,25713,0,-27721
20,A148780,비플라이소프트,20210729,25837,0,-27635
21,A148780,비플라이소프트,20210728,24685,0,-26483
22,A148780,비플라이소프트,20210727,23965,0,-25763
23,A148780,비플라이소프트,20210726,22572,0,-24370
24,A148780,비플라이소프트,20210723,22291,0,-24089
25,A148780,비플라이소프트,20210722,22291,0,-24089
26,A148780,비플라이소프트,20210721,22031,0,-23829
27,A148780,비플라이소프트,20210720,21401,0,-23199
28,A148780,비플라이소프트,20210719,21273,0,-23071
29,A148780,비플라이소프트,20210716,20873,0,-22671
30,A148780,비플라이소프트,20210715,20573,0,-22371
31,A148780,비플라이소프트,20210714,20433,0,-22231
32,A148780,비플라이소프트,20210713,20333,0,-22131
33,A148780,비플라이소프트,20210712,20002,0,-21800
34,A148780,비플라이소프트,20210709,19882,0,-21680
35,A148780,비플라이소프트,20210708,19572,0,-21370
36,A148780,비플라이소프트,20210707,19542,0,-21340
37,A148780,비플라이소프트,20210706,19485,0,-21283
38,A148780,비플라이소프트,20210705,18534,0,-20332
