,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,°³ÀÎ ¼ø¸Å¼ö,¿Ü±¹ÀÎ ¼ø¸Å¼ö,±â°ü ¼ø¸Å¼ö
0,A000815,»ï¼ºÈ­Àç¿ì,20210827,-89790,72458,7029
1,A000815,»ï¼ºÈ­Àç¿ì,20210826,-83954,71349,3072
2,A000815,»ï¼ºÈ­Àç¿ì,20210825,-82449,69243,3965
3,A000815,»ï¼ºÈ­Àç¿ì,20210824,-80524,68298,3130
4,A000815,»ï¼ºÈ­Àç¿ì,20210823,-75140,66505,-467
5,A000815,»ï¼ºÈ­Àç¿ì,20210820,-74446,66458,-1140
6,A000815,»ï¼ºÈ­Àç¿ì,20210819,-73615,68028,-3503
7,A000815,»ï¼ºÈ­Àç¿ì,20210818,-69216,69151,-9081
8,A000815,»ï¼ºÈ­Àç¿ì,20210817,-65007,69676,-13791
9,A000815,»ï¼ºÈ­Àç¿ì,20210813,-51833,64046,-20594
10,A000815,»ï¼ºÈ­Àç¿ì,20210812,-41010,62650,-29172
11,A000815,»ï¼ºÈ­Àç¿ì,20210811,-40705,62591,-29063
12,A000815,»ï¼ºÈ­Àç¿ì,20210810,-41418,62585,-28293
13,A000815,»ï¼ºÈ­Àç¿ì,20210809,-42759,63103,-27566
14,A000815,»ï¼ºÈ­Àç¿ì,20210806,-42735,62924,-26809
15,A000815,»ï¼ºÈ­Àç¿ì,20210805,-42464,63019,-27174
16,A000815,»ï¼ºÈ­Àç¿ì,20210804,-42086,62124,-26647
17,A000815,»ï¼ºÈ­Àç¿ì,20210803,-44187,62299,-24671
18,A000815,»ï¼ºÈ­Àç¿ì,20210802,-44345,62299,-24539
19,A000815,»ï¼ºÈ­Àç¿ì,20210730,-44316,62352,-24618
20,A000815,»ï¼ºÈ­Àç¿ì,20210729,-43620,62445,-25723
21,A000815,»ï¼ºÈ­Àç¿ì,20210728,-44138,62602,-25310
22,A000815,»ï¼ºÈ­Àç¿ì,20210727,-48127,61084,-19775
23,A000815,»ï¼ºÈ­Àç¿ì,20210726,-50540,61813,-18087
24,A000815,»ï¼ºÈ­Àç¿ì,20210723,-59072,62365,-10052
25,A000815,»ï¼ºÈ­Àç¿ì,20210722,-63832,61047,-3913
26,A000815,»ï¼ºÈ­Àç¿ì,20210721,-65242,61220,-2628
27,A000815,»ï¼ºÈ­Àç¿ì,20210720,-65504,60345,-1477
28,A000815,»ï¼ºÈ­Àç¿ì,20210719,-64660,60061,-1695
29,A000815,»ï¼ºÈ­Àç¿ì,20210716,-65356,60067,-1011
30,A000815,»ï¼ºÈ­Àç¿ì,20210715,-65702,59979,-574
31,A000815,»ï¼ºÈ­Àç¿ì,20210714,-66038,59957,-204
32,A000815,»ï¼ºÈ­Àç¿ì,20210713,-65491,59922,-752
33,A000815,»ï¼ºÈ­Àç¿ì,20210712,-66630,60966,-680
34,A000815,»ï¼ºÈ­Àç¿ì,20210709,-67045,60982,-300
35,A000815,»ï¼ºÈ­Àç¿ì,20210708,-67053,61289,38
36,A000815,»ï¼ºÈ­Àç¿ì,20210707,-67247,62471,-951
37,A000815,»ï¼ºÈ­Àç¿ì,20210706,-66921,62312,-1121
38,A000815,»ï¼ºÈ­Àç¿ì,20210705,-66698,62584,-1686
39,A000815,»ï¼ºÈ­Àç¿ì,20210702,-66816,62872,-1833
40,A000815,»ï¼ºÈ­Àç¿ì,20210701,-64020,63505,-5281
41,A000815,»ï¼ºÈ­Àç¿ì,20210630,-63480,63851,-6106
42,A000815,»ï¼ºÈ­Àç¿ì,20210629,-65378,65617,-5956
43,A000815,»ï¼ºÈ­Àç¿ì,20210628,-69266,67567,-3949
44,A000815,»ï¼ºÈ­Àç¿ì,20210625,-63273,63315,-5806
45,A000815,»ï¼ºÈ­Àç¿ì,20210624,-59112,59960,-6619
46,A000815,»ï¼ºÈ­Àç¿ì,20210623,-57293,58395,-6898
47,A000815,»ï¼ºÈ­Àç¿ì,20210622,-52624,56124,-9233
48,A000815,»ï¼ºÈ­Àç¿ì,20210621,-54382,57627,-8965
49,A000815,»ï¼ºÈ­Àç¿ì,20210618,-55632,58235,-8343
50,A000815,»ï¼ºÈ­Àç¿ì,20210617,-60459,58369,-3377
51,A000815,»ï¼ºÈ­Àç¿ì,20210616,-60081,58221,-3605
52,A000815,»ï¼ºÈ­Àç¿ì,20210615,-62086,60172,-3524
53,A000815,»ï¼ºÈ­Àç¿ì,20210614,-59944,59881,-5356
54,A000815,»ï¼ºÈ­Àç¿ì,20210611,-60647,58842,-3172
55,A000815,»ï¼ºÈ­Àç¿ì,20210610,-61066,56511,-408
56,A000815,»ï¼ºÈ­Àç¿ì,20210609,-66296,58930,2392
57,A000815,»ï¼ºÈ­Àç¿ì,20210608,-63927,59045,-266
58,A000815,»ï¼ºÈ­Àç¿ì,20210607,-56179,56036,-5026
59,A000815,»ï¼ºÈ­Àç¿ì,20210604,-51993,55691,-9055
60,A000815,»ï¼ºÈ­Àç¿ì,20210603,-52295,55576,-8438
61,A000815,»ï¼ºÈ­Àç¿ì,20210602,-55197,56216,-6210
62,A000815,»ï¼ºÈ­Àç¿ì,20210601,-55850,55438,-4788
63,A000815,»ï¼ºÈ­Àç¿ì,20210531,-51215,52168,-6153
64,A000815,»ï¼ºÈ­Àç¿ì,20210528,-47097,48083,-6230
65,A000815,»ï¼ºÈ­Àç¿ì,20210527,-45973,46164,-5415
66,A000815,»ï¼ºÈ­Àç¿ì,20210526,-44495,46474,-7466
67,A000815,»ï¼ºÈ­Àç¿ì,20210525,-48948,46744,-3177
68,A000815,»ï¼ºÈ­Àç¿ì,20210524,-51400,48404,-2251
69,A000815,»ï¼ºÈ­Àç¿ì,20210521,-53001,50224,-2464
70,A000815,»ï¼ºÈ­Àç¿ì,20210520,-58681,54503,-810
71,A000815,»ï¼ºÈ­Àç¿ì,20210518,-61854,55197,1875
72,A000815,»ï¼ºÈ­Àç¿ì,20210517,-68481,58978,4486
73,A000815,»ï¼ºÈ­Àç¿ì,20210514,-63070,54780,3469
74,A000815,»ï¼ºÈ­Àç¿ì,20210513,-64825,57405,2808
75,A000815,»ï¼ºÈ­Àç¿ì,20210512,-51016,49977,-2892
76,A000815,»ï¼ºÈ­Àç¿ì,20210511,-61563,54990,3111
77,A000815,»ï¼ºÈ­Àç¿ì,20210510,-60269,53728,3004
78,A000815,»ï¼ºÈ­Àç¿ì,20210507,-57209,53897,71
79,A000815,»ï¼ºÈ­Àç¿ì,20210506,-58519,55702,2812
80,A000815,»ï¼ºÈ­Àç¿ì,20210504,-60098,53009,7476
81,A000815,»ï¼ºÈ­Àç¿ì,20210503,-58747,52597,6676
82,A000815,»ï¼ºÈ­Àç¿ì,20210430,-61128,51564,10095
83,A000815,»ï¼ºÈ­Àç¿ì,20210429,-60158,52700,8439
84,A000815,»ï¼ºÈ­Àç¿ì,20210428,-61674,55017,8072
85,A000815,»ï¼ºÈ­Àç¿ì,20210427,-58061,53265,6394
86,A000815,»ï¼ºÈ­Àç¿ì,20210426,-60797,48949,12686
87,A000815,»ï¼ºÈ­Àç¿ì,20210423,-57472,45539,12658
88,A000815,»ï¼ºÈ­Àç¿ì,20210422,-57967,43955,15057
89,A000815,»ï¼ºÈ­Àç¿ì,20210421,-56586,44678,13015
90,A000815,»ï¼ºÈ­Àç¿ì,20210420,-59126,46752,14001
91,A000815,»ï¼ºÈ­Àç¿ì,20210419,-51854,44285,9165
92,A000815,»ï¼ºÈ­Àç¿ì,20210416,-50068,42070,9583
93,A000815,»ï¼ºÈ­Àç¿ì,20210415,-49484,41319,9802
94,A000815,»ï¼ºÈ­Àç¿ì,20210414,-49141,41446,9367
95,A000815,»ï¼ºÈ­Àç¿ì,20210413,-47740,41346,8101
96,A000815,»ï¼ºÈ­Àç¿ì,20210412,-47280,40560,8500
97,A000815,»ï¼ºÈ­Àç¿ì,20210409,-46521,39679,8753
98,A000815,»ï¼ºÈ­Àç¿ì,20210408,-46582,39664,8787
99,A000815,»ï¼ºÈ­Àç¿ì,20210407,-43694,39585,7093
100,A000815,»ï¼ºÈ­Àç¿ì,20210406,-43412,38622,7784
101,A000815,»ï¼ºÈ­Àç¿ì,20210405,-43568,38802,7806
102,A000815,»ï¼ºÈ­Àç¿ì,20210402,-43406,38873,7725
103,A000815,»ï¼ºÈ­Àç¿ì,20210401,-44071,39072,8260
104,A000815,»ï¼ºÈ­Àç¿ì,20210331,-45659,40356,8881
105,A000815,»ï¼ºÈ­Àç¿ì,20210330,-40914,39008,5463
106,A000815,»ï¼ºÈ­Àç¿ì,20210329,-41472,36841,5499
107,A000815,»ï¼ºÈ­Àç¿ì,20210326,-41005,35825,6026
108,A000815,»ï¼ºÈ­Àç¿ì,20210325,-42604,36961,6526
109,A000815,»ï¼ºÈ­Àç¿ì,20210324,-36595,30445,6675
110,A000815,»ï¼ºÈ­Àç¿ì,20210323,-35478,28793,7216
111,A000815,»ï¼ºÈ­Àç¿ì,20210322,-28935,21383,7973
112,A000815,»ï¼ºÈ­Àç¿ì,20210319,-23948,19853,4448
113,A000815,»ï¼ºÈ­Àç¿ì,20210318,-26306,21226,5428
114,A000815,»ï¼ºÈ­Àç¿ì,20210317,-26965,21584,5708
115,A000815,»ï¼ºÈ­Àç¿ì,20210316,-26693,21539,5420
116,A000815,»ï¼ºÈ­Àç¿ì,20210315,-27693,22082,5891
117,A000815,»ï¼ºÈ­Àç¿ì,20210312,-27061,22792,4653
118,A000815,»ï¼ºÈ­Àç¿ì,20210311,-30189,25630,5079
