,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,°³ÀÎ ¼ø¸Å¼ö,¿Ü±¹ÀÎ ¼ø¸Å¼ö,±â°ü ¼ø¸Å¼ö
0,A009300,»ï¾ÆÁ¦¾à,20210827,38788,-10634,-181
1,A009300,»ï¾ÆÁ¦¾à,20210826,41364,-13190,-181
2,A009300,»ï¾ÆÁ¦¾à,20210825,41267,-13093,-181
3,A009300,»ï¾ÆÁ¦¾à,20210824,41188,-13014,-181
4,A009300,»ï¾ÆÁ¦¾à,20210823,41691,-13517,-181
5,A009300,»ï¾ÆÁ¦¾à,20210820,41531,-13357,-181
6,A009300,»ï¾ÆÁ¦¾à,20210819,41046,-12878,-181
7,A009300,»ï¾ÆÁ¦¾à,20210818,41867,-13699,-181
8,A009300,»ï¾ÆÁ¦¾à,20210817,42763,-14595,-181
9,A009300,»ï¾ÆÁ¦¾à,20210813,42399,-14280,-181
10,A009300,»ï¾ÆÁ¦¾à,20210812,40912,-12826,-181
11,A009300,»ï¾ÆÁ¦¾à,20210811,39249,-11163,-181
12,A009300,»ï¾ÆÁ¦¾à,20210810,38677,-10591,-181
13,A009300,»ï¾ÆÁ¦¾à,20210809,38484,-10400,-181
14,A009300,»ï¾ÆÁ¦¾à,20210806,40583,-12499,-181
15,A009300,»ï¾ÆÁ¦¾à,20210805,40759,-12675,-181
16,A009300,»ï¾ÆÁ¦¾à,20210804,41019,-12935,-181
17,A009300,»ï¾ÆÁ¦¾à,20210803,41605,-13521,-181
18,A009300,»ï¾ÆÁ¦¾à,20210802,41329,-13245,-181
19,A009300,»ï¾ÆÁ¦¾à,20210730,42069,-13985,-181
20,A009300,»ï¾ÆÁ¦¾à,20210729,41854,-13770,-181
21,A009300,»ï¾ÆÁ¦¾à,20210728,41847,-13763,-181
22,A009300,»ï¾ÆÁ¦¾à,20210727,40679,-12595,-181
23,A009300,»ï¾ÆÁ¦¾à,20210726,40087,-12003,-181
24,A009300,»ï¾ÆÁ¦¾à,20210723,39620,-11536,-181
25,A009300,»ï¾ÆÁ¦¾à,20210722,39399,-11315,-181
26,A009300,»ï¾ÆÁ¦¾à,20210721,38375,-10292,-181
27,A009300,»ï¾ÆÁ¦¾à,20210720,37431,-9909,-38
28,A009300,»ï¾ÆÁ¦¾à,20210719,37486,-9980,-32
29,A009300,»ï¾ÆÁ¦¾à,20210716,36970,-9463,-32
30,A009300,»ï¾ÆÁ¦¾à,20210715,36711,-9204,-32
31,A009300,»ï¾ÆÁ¦¾à,20210714,36733,-9224,-32
32,A009300,»ï¾ÆÁ¦¾à,20210713,36168,-8655,-32
33,A009300,»ï¾ÆÁ¦¾à,20210712,34508,-6995,-32
34,A009300,»ï¾ÆÁ¦¾à,20210709,33849,-5761,-32
35,A009300,»ï¾ÆÁ¦¾à,20210708,32984,-5040,-32
36,A009300,»ï¾ÆÁ¦¾à,20210707,29512,-1485,-32
37,A009300,»ï¾ÆÁ¦¾à,20210706,30925,-2541,-32
38,A009300,»ï¾ÆÁ¦¾à,20210705,31279,-2462,-32
39,A009300,»ï¾ÆÁ¦¾à,20210702,35584,-6690,-32
40,A009300,»ï¾ÆÁ¦¾à,20210701,35724,-6815,-32
41,A009300,»ï¾ÆÁ¦¾à,20210630,36800,-7836,-32
