,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A027580,상보,20210827,242888,-66501,-374548
1,A027580,상보,20210826,351349,-175051,-374548
2,A027580,상보,20210825,-527500,675204,-374548
3,A027580,상보,20210824,-633277,782180,-374548
4,A027580,상보,20210823,-583943,732606,-374548
5,A027580,상보,20210820,-437584,586381,-374548
6,A027580,상보,20210819,-363355,517134,-374548
7,A027580,상보,20210818,-483647,638526,-374548
8,A027580,상보,20210817,-267988,418269,-369896
9,A027580,상보,20210813,-307157,460918,-367396
10,A027580,상보,20210812,-91679,244496,-367396
11,A027580,상보,20210811,62170,65009,-341396
12,A027580,상보,20210810,105322,54689,-341396
13,A027580,상보,20210809,55671,127953,-341396
14,A027580,상보,20210806,181581,2042,-341396
15,A027580,상보,20210805,119045,63547,-341396
16,A027580,상보,20210804,248576,-5769,-341396
17,A027580,상보,20210803,334537,-143129,-289996
18,A027580,상보,20210802,327223,-135615,-289996
19,A027580,상보,20210730,282410,-91063,-289996
20,A027580,상보,20210729,101450,-5512,-194287
21,A027580,상보,20210728,155165,-64606,-164287
22,A027580,상보,20210727,39244,30263,-142262
23,A027580,상보,20210726,152822,-84633,-142262
24,A027580,상보,20210723,186320,-115948,-142262
25,A027580,상보,20210722,226186,-155687,-142262
26,A027580,상보,20210721,227474,-145976,-142262
27,A027580,상보,20210720,180224,-98441,-142262
28,A027580,상보,20210719,144934,-55847,-142262
29,A027580,상보,20210716,178398,-99299,-142262
30,A027580,상보,20210715,183726,-124131,-142262
31,A027580,상보,20210714,-30723,97375,-142262
32,A027580,상보,20210713,-79569,137844,-142262
33,A027580,상보,20210712,75782,10571,-142262
34,A027580,상보,20210709,195314,-77076,-142262
35,A027580,상보,20210708,263557,-152428,-142263
36,A027580,상보,20210707,303299,-196832,-142263
37,A027580,상보,20210706,96929,8847,-142263
38,A027580,상보,20210705,184588,-78147,-142263
39,A027580,상보,20210702,-258698,359395,-122302
40,A027580,상보,20210701,-225476,326474,-122302
41,A027580,상보,20210630,-261551,365081,-124354
42,A027580,상보,20210629,-515036,568197,-105715
43,A027580,상보,20210628,-868002,928335,-87074
44,A027580,상보,20210625,-746606,789332,-67870
45,A027580,상보,20210624,-890998,919586,-66201
46,A027580,상보,20210623,-1160388,1181194,-74785
47,A027580,상보,20210622,-857217,901002,-85779
48,A027580,상보,20210621,-633911,677620,-85779
49,A027580,상보,20210618,-518619,530497,-85779
50,A027580,상보,20210617,-772660,788970,-85779
51,A027580,상보,20210616,-533089,550615,-85779
52,A027580,상보,20210615,-500667,641814,-85779
53,A027580,상보,20210614,-544961,689939,-85779
54,A027580,상보,20210611,-737906,827024,29082
55,A027580,상보,20210610,-503973,600208,-85779
56,A027580,상보,20210609,-472636,566517,-85779
57,A027580,상보,20210608,-333691,441952,-85779
58,A027580,상보,20210607,-237612,352271,-85779
59,A027580,상보,20210604,-514607,619861,-72260
60,A027580,상보,20210603,-223340,300858,-85779
61,A027580,상보,20210602,-127567,192871,-85779
62,A027580,상보,20210601,-46489,95837,-85779
63,A027580,상보,20210531,51369,-6223,-85779
64,A027580,상보,20210528,49707,-27807,-85779
65,A027580,상보,20210527,116188,-80922,-85779
66,A027580,상보,20210526,-159904,174141,-68283
67,A027580,상보,20210525,-158373,168455,-68283
68,A027580,상보,20210524,-134571,146478,-68283
69,A027580,상보,20210521,-153671,190937,-68283
70,A027580,상보,20210520,-253189,303195,-68283
71,A027580,상보,20210518,-231082,295349,-68283
72,A027580,상보,20210517,-161670,226215,-68283
73,A027580,상보,20210514,-192739,277117,-85779
74,A027580,상보,20210513,-211833,306231,-85779
75,A027580,상보,20210512,-222784,329242,-85779
76,A027580,상보,20210511,-321274,428682,-85779
77,A027580,상보,20210510,-334315,444017,-85779
78,A027580,상보,20210507,-352838,462591,-85779
79,A027580,상보,20210506,-269710,406782,-85779
80,A027580,상보,20210504,-294945,432133,-85779
81,A027580,상보,20210503,-300333,439513,-85779
82,A027580,상보,20210430,-289782,429975,-85779
83,A027580,상보,20210429,-366699,509056,-85779
84,A027580,상보,20210428,-315479,457958,-85779
85,A027580,상보,20210427,-334329,479175,-85779
86,A027580,상보,20210426,-465148,611329,-85779
87,A027580,상보,20210423,-512899,660114,-85779
88,A027580,상보,20210422,-361644,511711,-85779
89,A027580,상보,20210421,-521383,672084,-85779
90,A027580,상보,20210420,-489651,645080,-85779
91,A027580,상보,20210419,-420681,580526,-85779
92,A027580,상보,20210416,-449521,611056,-85779
93,A027580,상보,20210415,-331323,504941,-96731
94,A027580,상보,20210414,-465174,651174,-106890
95,A027580,상보,20210413,-595048,744523,-118064
96,A027580,상보,20210412,-911343,1068242,-131045
97,A027580,상보,20210409,-998167,1181515,-142263
98,A027580,상보,20210408,-860834,921285,-19291
99,A027580,상보,20210407,-833284,882857,-8562
100,A027580,상보,20210406,-787395,838067,-8562
101,A027580,상보,20210405,-724538,776706,-8562
102,A027580,상보,20210402,-602179,658148,-8562
103,A027580,상보,20210401,-779154,831279,-8562
104,A027580,상보,20210331,-851101,907328,-8562
105,A027580,상보,20210330,-1009494,1035408,-8562
106,A027580,상보,20210329,-760034,745449,-8562
107,A027580,상보,20210326,-668472,653876,-8562
108,A027580,상보,20210325,-515415,526575,-8562
109,A027580,상보,20210324,-368815,387507,-8562
110,A027580,상보,20210323,-208078,224274,-8562
111,A027580,상보,20210322,-372333,395849,-8562
112,A027580,상보,20210319,-448373,434814,-8562
113,A027580,상보,20210318,-255979,244924,-8562
114,A027580,상보,20210317,-307963,296789,-8562
115,A027580,상보,20210316,-312252,301211,-8562
116,A027580,상보,20210315,-395086,317123,-8562
117,A027580,상보,20210312,-614312,599674,5997
118,A027580,상보,20210311,-487138,477580,5997
