,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A018680,서울제약,20210827,-209338,226191,-4388
1,A018680,서울제약,20210826,-174704,190759,-4388
2,A018680,서울제약,20210825,-156868,173571,-4388
3,A018680,서울제약,20210824,-152138,169250,-4388
4,A018680,서울제약,20210823,-88575,105710,-4388
5,A018680,서울제약,20210820,-50576,67094,-4388
6,A018680,서울제약,20210819,-51238,62856,-5405
7,A018680,서울제약,20210818,-34605,47338,-6364
8,A018680,서울제약,20210817,-12346,25213,-6364
9,A018680,서울제약,20210813,1349,12593,-7272
10,A018680,서울제약,20210812,167,19448,-7272
11,A018680,서울제약,20210811,-51859,65606,-842
12,A018680,서울제약,20210810,-79076,99065,-6592
13,A018680,서울제약,20210809,-17147,37394,-7272
14,A018680,서울제약,20210806,-11316,23582,-7272
15,A018680,서울제약,20210805,-30620,50240,-12520
16,A018680,서울제약,20210804,-7311,24260,-11698
17,A018680,서울제약,20210803,37077,-19723,-12520
18,A018680,서울제약,20210802,3359,10202,-12410
19,A018680,서울제약,20210730,5202,5741,-12410
20,A018680,서울제약,20210729,13798,-1014,-12410
21,A018680,서울제약,20210728,13124,-1580,-12410
22,A018680,서울제약,20210727,8373,3521,-12410
23,A018680,서울제약,20210726,11193,1282,-12410
24,A018680,서울제약,20210723,18852,-5865,-12410
25,A018680,서울제약,20210722,-5905,16674,-12410
26,A018680,서울제약,20210721,13263,180,-12410
27,A018680,서울제약,20210720,10665,6939,-12520
28,A018680,서울제약,20210719,18172,-3213,-12520
29,A018680,서울제약,20210716,-73716,84971,-12520
30,A018680,서울제약,20210715,-75612,86888,-12520
31,A018680,서울제약,20210714,-76835,88111,-12520
32,A018680,서울제약,20210713,-75972,86648,-12520
33,A018680,서울제약,20210712,-76352,87028,-12520
34,A018680,서울제약,20210709,-63876,74527,-12520
35,A018680,서울제약,20210708,-70334,80974,-12520
36,A018680,서울제약,20210707,-75685,86325,-12520
37,A018680,서울제약,20210706,-75514,86154,-12520
38,A018680,서울제약,20210705,-79952,90592,-12520
39,A018680,서울제약,20210702,-76830,87570,-12520
40,A018680,서울제약,20210701,-80459,90849,-12520
41,A018680,서울제약,20210630,-79772,90173,-12520
42,A018680,서울제약,20210629,-81270,91771,-12520
43,A018680,서울제약,20210628,-79980,90481,-12520
44,A018680,서울제약,20210625,-64505,74702,-12520
45,A018680,서울제약,20210624,-56599,66673,-12520
46,A018680,서울제약,20210623,-56241,66640,-12520
47,A018680,서울제약,20210622,-55120,65519,-12520
48,A018680,서울제약,20210621,-56324,66823,-12520
49,A018680,서울제약,20210618,-58691,69194,-12520
50,A018680,서울제약,20210617,-59349,69852,-12520
51,A018680,서울제약,20210616,-60616,71031,-12520
52,A018680,서울제약,20210615,-62254,72669,-12520
53,A018680,서울제약,20210614,-63548,74163,-12520
54,A018680,서울제약,20210611,-62002,72705,-12520
55,A018680,서울제약,20210610,-62105,72808,-12520
56,A018680,서울제약,20210609,-59871,70654,-12520
