,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A067370,선바이오,20210827,87971,1000,-17643
1,A067370,선바이오,20210826,86650,1000,-17643
2,A067370,선바이오,20210825,84964,1000,-17643
3,A067370,선바이오,20210824,85263,1000,-17643
4,A067370,선바이오,20210823,87699,1000,-17643
5,A067370,선바이오,20210820,88023,1000,-17643
6,A067370,선바이오,20210819,86982,1000,-17348
7,A067370,선바이오,20210818,87743,1000,-17348
8,A067370,선바이오,20210817,88775,1000,-17348
9,A067370,선바이오,20210813,88614,1000,-17348
10,A067370,선바이오,20210812,90383,1000,-17348
11,A067370,선바이오,20210811,89775,1000,-17348
12,A067370,선바이오,20210810,90490,1000,-17348
13,A067370,선바이오,20210809,91639,1000,-17348
14,A067370,선바이오,20210806,94199,1000,-17798
15,A067370,선바이오,20210805,92569,1000,-17798
16,A067370,선바이오,20210804,92238,1000,-17798
17,A067370,선바이오,20210803,92018,1000,-17798
18,A067370,선바이오,20210802,93057,1000,-17798
19,A067370,선바이오,20210730,93680,1000,-17698
20,A067370,선바이오,20210729,89675,1000,-17698
21,A067370,선바이오,20210728,80601,1000,-17408
22,A067370,선바이오,20210727,72610,1000,-17408
23,A067370,선바이오,20210726,71608,1000,-17408
24,A067370,선바이오,20210723,73708,1000,-17408
25,A067370,선바이오,20210722,67067,1000,-16871
26,A067370,선바이오,20210721,72922,1000,-16871
27,A067370,선바이오,20210720,77016,1000,-16771
28,A067370,선바이오,20210719,73028,1000,-16771
29,A067370,선바이오,20210716,76659,1000,-16771
30,A067370,선바이오,20210715,77099,1000,-16771
31,A067370,선바이오,20210714,75916,1000,-16768
32,A067370,선바이오,20210713,82002,1000,-16768
33,A067370,선바이오,20210712,83054,1000,-16768
34,A067370,선바이오,20210709,87421,1000,-16768
35,A067370,선바이오,20210708,91063,1000,-16768
36,A067370,선바이오,20210707,90210,1000,-16768
37,A067370,선바이오,20210706,87036,1000,-16768
38,A067370,선바이오,20210705,84705,1000,-15334
39,A067370,선바이오,20210702,81935,1000,-15334
40,A067370,선바이오,20210701,81311,1000,-15333
41,A067370,선바이오,20210630,80694,1000,-15208
42,A067370,선바이오,20210629,81686,1000,-15208
43,A067370,선바이오,20210628,80623,1000,-15208
44,A067370,선바이오,20210625,78743,1000,-14208
45,A067370,선바이오,20210624,74104,1000,-14208
46,A067370,선바이오,20210623,76141,1000,-13208
47,A067370,선바이오,20210622,74633,1000,-13208
48,A067370,선바이오,20210621,72816,1000,-13208
49,A067370,선바이오,20210618,72231,1000,-13208
50,A067370,선바이오,20210617,71147,1000,-13208
51,A067370,선바이오,20210616,69494,1000,-13208
52,A067370,선바이오,20210615,67067,1000,-13208
53,A067370,선바이오,20210614,66465,1000,-13503
54,A067370,선바이오,20210611,66234,1000,-13503
55,A067370,선바이오,20210610,64902,1000,-13401
56,A067370,선바이오,20210609,66021,1000,-12401
57,A067370,선바이오,20210608,67245,1000,-12401
58,A067370,선바이오,20210607,68713,1000,-12401
59,A067370,선바이오,20210604,67900,1000,-11901
60,A067370,선바이오,20210603,68093,1000,-11894
61,A067370,선바이오,20210602,68133,1000,-11894
62,A067370,선바이오,20210601,64724,1000,-11187
63,A067370,선바이오,20210531,62804,1000,-10687
64,A067370,선바이오,20210528,60149,1000,-10187
65,A067370,선바이오,20210527,56596,1000,-9187
66,A067370,선바이오,20210526,54983,1000,-9187
67,A067370,선바이오,20210525,53582,1000,-7854
68,A067370,선바이오,20210524,54231,1000,-7483
69,A067370,선바이오,20210521,52165,1000,-5483
70,A067370,선바이오,20210520,49800,1000,-4729
71,A067370,선바이오,20210518,50064,1000,-4729
72,A067370,선바이오,20210517,50135,1000,-4729
73,A067370,선바이오,20210514,50189,1000,-4729
74,A067370,선바이오,20210513,50217,1000,-4729
75,A067370,선바이오,20210512,50227,1000,-4729
76,A067370,선바이오,20210511,50212,1000,-4729
77,A067370,선바이오,20210510,47123,1000,-4729
78,A067370,선바이오,20210507,46437,1000,-3729
79,A067370,선바이오,20210506,43331,1000,-729
80,A067370,선바이오,20210504,41638,1000,-729
81,A067370,선바이오,20210503,41960,1000,-729
82,A067370,선바이오,20210430,42759,1000,-729
83,A067370,선바이오,20210429,42951,1000,-729
84,A067370,선바이오,20210428,42947,1000,-729
85,A067370,선바이오,20210427,44763,1000,-729
86,A067370,선바이오,20210426,48069,1000,-829
87,A067370,선바이오,20210423,51010,1000,-829
88,A067370,선바이오,20210422,49870,1000,-829
89,A067370,선바이오,20210421,49830,1000,-829
90,A067370,선바이오,20210420,51606,1000,-1029
