,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A204630,스튜디오산타클로스,20210827,-2818341,221316,1
1,A204630,스튜디오산타클로스,20210826,-3031945,430677,1
2,A204630,스튜디오산타클로스,20210825,-3045449,450870,1
3,A204630,스튜디오산타클로스,20210824,-3108070,482286,1
4,A204630,스튜디오산타클로스,20210823,-3108070,482286,1
5,A204630,스튜디오산타클로스,20210820,-3047281,392328,1
6,A204630,스튜디오산타클로스,20210819,-3074317,426601,1
7,A204630,스튜디오산타클로스,20210818,-3474886,792672,1
8,A204630,스튜디오산타클로스,20210817,-3325370,590998,1
9,A204630,스튜디오산타클로스,20210813,-3357753,595881,1
10,A204630,스튜디오산타클로스,20210812,-3366948,585983,1
11,A204630,스튜디오산타클로스,20210811,-3375664,594699,1
12,A204630,스튜디오산타클로스,20210810,-3396109,615144,1
13,A204630,스튜디오산타클로스,20210809,-3429308,648343,1
14,A204630,스튜디오산타클로스,20210806,-3469950,688985,1
15,A204630,스튜디오산타클로스,20210805,-3504284,708319,1
16,A204630,스튜디오산타클로스,20210804,-3475964,630564,1
17,A204630,스튜디오산타클로스,20210803,-3472461,627488,1
18,A204630,스튜디오산타클로스,20210802,-3477545,656556,1
19,A204630,스튜디오산타클로스,20210730,-3353809,672311,1
20,A204630,스튜디오산타클로스,20210729,-3364539,684846,1
21,A204630,스튜디오산타클로스,20210728,-3408297,721827,1
22,A204630,스튜디오산타클로스,20210727,-3509736,763014,1
23,A204630,스튜디오산타클로스,20210726,-3584934,812175,1
24,A204630,스튜디오산타클로스,20210723,-3792033,829166,1
25,A204630,스튜디오산타클로스,20210722,-3734619,837266,1
26,A204630,스튜디오산타클로스,20210721,-3729646,799428,1
27,A204630,스튜디오산타클로스,20210720,-3694097,777253,1
28,A204630,스튜디오산타클로스,20210719,-3742991,829650,1
29,A204630,스튜디오산타클로스,20210716,-3713229,829391,1
30,A204630,스튜디오산타클로스,20210715,-3710332,837346,1
31,A204630,스튜디오산타클로스,20210714,-3636072,762294,1
32,A204630,스튜디오산타클로스,20210713,-3635292,764267,1
33,A204630,스튜디오산타클로스,20210712,-3628124,757099,1
34,A204630,스튜디오산타클로스,20210709,-3709278,840932,1
35,A204630,스튜디오산타클로스,20210708,-3454134,810244,0
36,A204630,스튜디오산타클로스,20210707,-3474092,830268,0
37,A204630,스튜디오산타클로스,20210706,-3364818,743094,0
38,A204630,스튜디오산타클로스,20210705,-3244874,670502,0
39,A204630,스튜디오산타클로스,20210702,-3121168,550518,0
40,A204630,스튜디오산타클로스,20210701,-2950769,556637,0
41,A204630,스튜디오산타클로스,20210630,-2471837,444040,0
42,A204630,스튜디오산타클로스,20210629,-2251364,368187,38267
43,A204630,스튜디오산타클로스,20210628,-1830867,396545,21622
44,A204630,스튜디오산타클로스,20210625,-924933,725780,0
45,A204630,스튜디오산타클로스,20210624,-843706,830878,0
46,A204630,스튜디오산타클로스,20210623,-875830,846230,0
47,A204630,스튜디오산타클로스,20210622,-870407,840809,0
48,A204630,스튜디오산타클로스,20210621,-904894,875447,0
49,A204630,스튜디오산타클로스,20210618,-766283,772576,0
50,A204630,스튜디오산타클로스,20210617,-770083,776353,0
51,A204630,스튜디오산타클로스,20210616,-753172,782815,0
52,A204630,스튜디오산타클로스,20210615,-823369,852680,0
53,A204630,스튜디오산타클로스,20210614,-828951,858232,0
54,A204630,스튜디오산타클로스,20210611,-805470,832252,0
55,A204630,스튜디오산타클로스,20210610,-790199,816992,0
56,A204630,스튜디오산타클로스,20210609,-721374,748167,0
57,A204630,스튜디오산타클로스,20210608,-732872,760668,0
58,A204630,스튜디오산타클로스,20210607,-718603,746900,0
59,A204630,스튜디오산타클로스,20210604,-677710,707008,0
60,A204630,스튜디오산타클로스,20210603,-655159,684710,0
61,A204630,스튜디오산타클로스,20210602,-645480,675044,0
62,A204630,스튜디오산타클로스,20210601,-630888,660452,0
63,A204630,스튜디오산타클로스,20210531,-606871,636441,0
64,A204630,스튜디오산타클로스,20210528,-590673,620243,0
65,A204630,스튜디오산타클로스,20210527,-536567,566782,0
66,A204630,스튜디오산타클로스,20210526,-521380,551640,0
67,A204630,스튜디오산타클로스,20210525,-480365,510625,0
68,A204630,스튜디오산타클로스,20210524,-442809,473094,0
69,A204630,스튜디오산타클로스,20210521,-442797,473082,0
70,A204630,스튜디오산타클로스,20210520,-458764,489049,0
71,A204630,스튜디오산타클로스,20210518,-451188,481479,0
72,A204630,스튜디오산타클로스,20210517,-404575,434866,0
73,A204630,스튜디오산타클로스,20210514,-394812,424103,0
74,A204630,스튜디오산타클로스,20210513,-386387,415678,0
75,A204630,스튜디오산타클로스,20210512,-375947,405239,0
76,A204630,스튜디오산타클로스,20210511,-377943,404218,0
77,A204630,스튜디오산타클로스,20210510,-492256,486506,0
78,A204630,스튜디오산타클로스,20210507,-498716,494118,0
79,A204630,스튜디오산타클로스,20210506,-500134,495542,0
80,A204630,스튜디오산타클로스,20210504,-506400,480937,0
81,A204630,스튜디오산타클로스,20210503,-489159,484577,0
82,A204630,스튜디오산타클로스,20210430,-458463,453884,0
83,A204630,스튜디오산타클로스,20210429,-444165,440035,0
84,A204630,스튜디오산타클로스,20210428,-430351,426524,0
85,A204630,스튜디오산타클로스,20210427,-434287,431313,0
86,A204630,스튜디오산타클로스,20210426,-435626,432765,0
87,A204630,스튜디오산타클로스,20210423,-411061,408301,0
88,A204630,스튜디오산타클로스,20210422,-405688,402963,0
89,A204630,스튜디오산타클로스,20210421,-435515,432764,0
90,A204630,스튜디오산타클로스,20210420,-435912,463503,0
91,A204630,스튜디오산타클로스,20210419,-413117,441321,0
92,A204630,스튜디오산타클로스,20210416,-402112,430016,0
93,A204630,스튜디오산타클로스,20210415,-342984,371030,0
94,A204630,스튜디오산타클로스,20210414,-355127,383154,0
95,A204630,스튜디오산타클로스,20210413,-302757,317821,0
96,A204630,스튜디오산타클로스,20210412,-288078,310212,0
97,A204630,스튜디오산타클로스,20210409,-361115,388252,0
98,A204630,스튜디오산타클로스,20210408,-342928,370068,0
99,A204630,스튜디오산타클로스,20210407,-348470,338707,0
100,A204630,스튜디오산타클로스,20210406,-205799,194034,0
101,A204630,스튜디오산타클로스,20210405,-248718,234668,0
102,A204630,스튜디오산타클로스,20210402,-177989,160518,0
103,A204630,스튜디오산타클로스,20210401,-143142,111367,0
104,A204630,스튜디오산타클로스,20210331,-102498,63922,0
105,A204630,스튜디오산타클로스,20210330,-79404,24549,0
106,A204630,스튜디오산타클로스,20210329,-91302,23795,2963
107,A204630,스튜디오산타클로스,20210326,-103044,28689,0
108,A204630,스튜디오산타클로스,20210325,-79825,-1271,886
109,A204630,스튜디오산타클로스,20210324,-18223,-6992,0
110,A204630,스튜디오산타클로스,20210323,-4714,12725,0
111,A204630,스튜디오산타클로스,20210322,-6593,14606,0
112,A204630,스튜디오산타클로스,20210319,-19652,27667,0
113,A204630,스튜디오산타클로스,20210318,-51130,57024,0
114,A204630,스튜디오산타클로스,20210317,-26523,30408,0
115,A204630,스튜디오산타클로스,20210316,-3019,6904,0
116,A204630,스튜디오산타클로스,20210315,-9679,8554,0
117,A204630,스튜디오산타클로스,20210312,-6457,5342,0
118,A204630,스튜디오산타클로스,20210311,-4012,2903,0
