,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A025870,신라에스지,20210827,50321,-53780,519
1,A025870,신라에스지,20210826,51115,-54574,519
2,A025870,신라에스지,20210825,49665,-53144,519
3,A025870,신라에스지,20210824,40141,-44460,519
4,A025870,신라에스지,20210823,42164,-45909,519
5,A025870,신라에스지,20210820,39764,-43308,519
6,A025870,신라에스지,20210819,32842,-36383,519
7,A025870,신라에스지,20210818,24279,-28065,519
8,A025870,신라에스지,20210817,35990,-39834,519
9,A025870,신라에스지,20210813,43124,-46967,519
10,A025870,신라에스지,20210812,49098,-52941,519
11,A025870,신라에스지,20210811,48493,-52423,519
12,A025870,신라에스지,20210810,44378,-48308,519
13,A025870,신라에스지,20210809,40888,-44813,519
14,A025870,신라에스지,20210806,42394,-46289,519
15,A025870,신라에스지,20210805,31527,-35473,519
16,A025870,신라에스지,20210804,38186,-42265,519
17,A025870,신라에스지,20210803,46581,-50660,519
18,A025870,신라에스지,20210802,44417,-48463,519
19,A025870,신라에스지,20210730,45649,-49695,519
20,A025870,신라에스지,20210729,44216,-48242,519
21,A025870,신라에스지,20210728,42008,-46828,519
22,A025870,신라에스지,20210727,44630,-49596,519
23,A025870,신라에스지,20210726,40696,-45754,519
24,A025870,신라에스지,20210723,47627,-52535,519
25,A025870,신라에스지,20210722,47920,-52828,519
26,A025870,신라에스지,20210721,49490,-54398,519
27,A025870,신라에스지,20210720,47676,-51500,519
28,A025870,신라에스지,20210719,54703,-58307,519
29,A025870,신라에스지,20210716,53528,-57097,519
30,A025870,신라에스지,20210715,50145,-54058,519
31,A025870,신라에스지,20210714,47633,-51546,519
32,A025870,신라에스지,20210713,50884,-54462,519
33,A025870,신라에스지,20210712,46688,-50236,519
34,A025870,신라에스지,20210709,48543,-52007,519
35,A025870,신라에스지,20210708,45132,-48557,519
36,A025870,신라에스지,20210707,46219,-49544,519
37,A025870,신라에스지,20210706,44352,-47497,519
38,A025870,신라에스지,20210705,47810,-50805,519
39,A025870,신라에스지,20210702,41160,-43866,519
40,A025870,신라에스지,20210701,38866,-49457,8204
41,A025870,신라에스지,20210630,50954,-53772,519
42,A025870,신라에스지,20210629,-3225,767,519
43,A025870,신라에스지,20210628,32372,-35030,700
44,A025870,신라에스지,20210625,2478,-5510,519
45,A025870,신라에스지,20210624,367,-2989,519
46,A025870,신라에스지,20210623,10131,-12734,519
47,A025870,신라에스지,20210622,-5814,3313,519
48,A025870,신라에스지,20210621,3407,-6058,519
49,A025870,신라에스지,20210618,-9635,6600,519
50,A025870,신라에스지,20210617,-4178,-1065,519
51,A025870,신라에스지,20210616,-30144,26957,519
52,A025870,신라에스지,20210615,-16291,13226,519
53,A025870,신라에스지,20210614,-15014,11952,519
54,A025870,신라에스지,20210611,-17406,14344,519
55,A025870,신라에스지,20210610,-28411,25349,519
56,A025870,신라에스지,20210609,-36605,33543,519
57,A025870,신라에스지,20210608,-34929,31864,519
58,A025870,신라에스지,20210607,-33213,30148,519
59,A025870,신라에스지,20210604,-45582,42517,519
60,A025870,신라에스지,20210603,-55045,51923,519
61,A025870,신라에스지,20210602,-53392,50324,519
62,A025870,신라에스지,20210601,-44154,41086,519
63,A025870,신라에스지,20210531,-28195,25110,519
64,A025870,신라에스지,20210528,-26303,23229,519
65,A025870,신라에스지,20210527,-21148,18076,519
66,A025870,신라에스지,20210526,-15369,12297,519
67,A025870,신라에스지,20210525,-9741,6669,519
68,A025870,신라에스지,20210524,-3727,656,519
69,A025870,신라에스지,20210521,-13583,10525,519
70,A025870,신라에스지,20210520,-13279,10196,519
71,A025870,신라에스지,20210518,-6885,3822,519
72,A025870,신라에스지,20210517,-11287,8287,519
73,A025870,신라에스지,20210514,-11246,7342,519
74,A025870,신라에스지,20210513,4996,-8013,519
75,A025870,신라에스지,20210512,13715,-16727,519
76,A025870,신라에스지,20210511,17721,-20735,519
77,A025870,신라에스지,20210510,25823,-28837,519
78,A025870,신라에스지,20210507,26517,-29548,519
79,A025870,신라에스지,20210506,42022,-45136,519
80,A025870,신라에스지,20210504,40209,-43454,519
81,A025870,신라에스지,20210503,37950,-41167,519
82,A025870,신라에스지,20210430,44798,-48435,519
83,A025870,신라에스지,20210429,41276,-44627,519
84,A025870,신라에스지,20210428,42145,-45691,519
85,A025870,신라에스지,20210427,48512,-52042,519
86,A025870,신라에스지,20210426,56789,-59643,519
87,A025870,신라에스지,20210423,56501,-59355,519
88,A025870,신라에스지,20210422,56063,-58988,519
89,A025870,신라에스지,20210421,52979,-55934,519
90,A025870,신라에스지,20210420,52662,-55930,519
91,A025870,신라에스지,20210419,58850,-62042,519
92,A025870,신라에스지,20210416,57551,-60739,519
93,A025870,신라에스지,20210415,48447,-51333,519
94,A025870,신라에스지,20210414,52829,-55515,519
95,A025870,신라에스지,20210413,58118,-59608,519
96,A025870,신라에스지,20210412,31681,-55294,23260
97,A025870,신라에스지,20210409,29745,-30462,1200
98,A025870,신라에스지,20210408,-12309,10139,1200
99,A025870,신라에스지,20210407,-32128,30894,1200
100,A025870,신라에스지,20210406,-31708,30476,1200
101,A025870,신라에스지,20210405,-30434,29570,1200
102,A025870,신라에스지,20210402,-50389,49525,1200
103,A025870,신라에스지,20210401,-43967,43133,1200
104,A025870,신라에스지,20210331,-54054,48463,5984
105,A025870,신라에스지,20210330,-86779,85971,1200
106,A025870,신라에스지,20210329,-89785,87963,1200
107,A025870,신라에스지,20210326,-53820,52581,1200
108,A025870,신라에스지,20210325,-49396,48227,1200
109,A025870,신라에스지,20210324,-39111,37793,1200
110,A025870,신라에스지,20210323,-31313,30092,1200
111,A025870,신라에스지,20210322,-24066,23025,1200
112,A025870,신라에스지,20210319,-23118,22248,1200
113,A025870,신라에스지,20210318,-34266,32211,1200
114,A025870,신라에스지,20210317,-56441,55903,0
115,A025870,신라에스지,20210316,-12902,13346,0
116,A025870,신라에스지,20210315,3943,-3461,0
117,A025870,신라에스지,20210312,-9387,8798,0
118,A025870,신라에스지,20210311,9724,-9250,0
