,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,J50G022,신한G022삼성전자콜,20210827,10,0,-10
1,J50G022,신한G022삼성전자콜,20210826,10,0,-10
2,J50G022,신한G022삼성전자콜,20210825,10,0,-10
3,J50G022,신한G022삼성전자콜,20210824,30020,0,-30020
4,J50G022,신한G022삼성전자콜,20210823,30020,0,-30020
5,J50G022,신한G022삼성전자콜,20210820,30020,0,-30020
6,J50G022,신한G022삼성전자콜,20210819,20,0,-20
7,J50G022,신한G022삼성전자콜,20210818,20,0,-20
8,J50G022,신한G022삼성전자콜,20210817,20,0,-20
9,J50G022,신한G022삼성전자콜,20210813,20,0,-20
10,J50G022,신한G022삼성전자콜,20210812,30,0,-30
11,J50G022,신한G022삼성전자콜,20210811,30,0,-30
12,J50G022,신한G022삼성전자콜,20210810,30,0,-30
13,J50G022,신한G022삼성전자콜,20210809,10,0,-10
14,J50G022,신한G022삼성전자콜,20210806,0,0,0
15,J50G022,신한G022삼성전자콜,20210805,0,0,0
16,J50G022,신한G022삼성전자콜,20210804,0,0,0
