,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A208640,썸에이지,20210827,3506185,389223,-33169
1,A208640,썸에이지,20210826,3532383,389045,-33169
2,A208640,썸에이지,20210825,2981792,535999,216831
3,A208640,썸에이지,20210824,2697325,534018,216831
4,A208640,썸에이지,20210823,2729720,518793,216831
5,A208640,썸에이지,20210820,2773828,475925,216831
6,A208640,썸에이지,20210819,2560600,619560,216831
7,A208640,썸에이지,20210818,2702445,403875,216831
8,A208640,썸에이지,20210817,2632406,378275,277431
9,A208640,썸에이지,20210813,2755637,370703,216831
10,A208640,썸에이지,20210812,2004463,1133750,224028
11,A208640,썸에이지,20210811,2658160,449094,216831
12,A208640,썸에이지,20210810,2794339,258333,219831
13,A208640,썸에이지,20210809,2748630,284570,224831
14,A208640,썸에이지,20210806,2580197,359747,234831
15,A208640,썸에이지,20210805,2624934,335737,234831
16,A208640,썸에이지,20210804,2584473,399793,234831
17,A208640,썸에이지,20210803,2620788,359368,234831
18,A208640,썸에이지,20210802,2601872,268464,234831
19,A208640,썸에이지,20210730,2642310,243867,234831
20,A208640,썸에이지,20210729,2618502,236889,234832
21,A208640,썸에이지,20210728,2615873,249884,234832
22,A208640,썸에이지,20210727,2594784,274310,234832
23,A208640,썸에이지,20210726,2583537,290002,234832
24,A208640,썸에이지,20210723,2568727,300586,234832
25,A208640,썸에이지,20210722,2604131,276137,234832
26,A208640,썸에이지,20210721,2606562,283611,234832
27,A208640,썸에이지,20210720,2650466,262071,234832
28,A208640,썸에이지,20210719,2631822,272153,234832
29,A208640,썸에이지,20210716,2633429,274775,234832
30,A208640,썸에이지,20210715,2036075,837282,296022
31,A208640,썸에이지,20210714,2737126,267627,234832
32,A208640,썸에이지,20210713,2829549,299888,234832
33,A208640,썸에이지,20210712,2759075,377721,234832
34,A208640,썸에이지,20210709,2723826,418184,234833
35,A208640,썸에이지,20210708,2777794,348946,246832
36,A208640,썸에이지,20210707,2807928,298438,246832
37,A208640,썸에이지,20210706,2528519,591592,246832
38,A208640,썸에이지,20210705,2719236,411496,246832
39,A208640,썸에이지,20210702,2886140,249193,246832
40,A208640,썸에이지,20210701,2538878,598947,246832
41,A208640,썸에이지,20210630,2669119,356407,246832
42,A208640,썸에이지,20210629,2572777,473603,246832
43,A208640,썸에이지,20210628,2793308,259554,246832
44,A208640,썸에이지,20210625,2965815,165830,201832
45,A208640,썸에이지,20210624,2810914,319860,201832
46,A208640,썸에이지,20210623,2929202,204903,201832
47,A208640,썸에이지,20210622,2861741,304566,201832
48,A208640,썸에이지,20210621,2606862,575824,201832
49,A208640,썸에이지,20210618,1770935,1418634,201832
50,A208640,썸에이지,20210617,2291186,864989,201832
51,A208640,썸에이지,20210616,2181957,975321,201832
52,A208640,썸에이지,20210615,1969529,1181504,201832
53,A208640,썸에이지,20210614,2107262,1050900,201832
54,A208640,썸에이지,20210611,2223090,946047,201832
55,A208640,썸에이지,20210610,1864534,1329255,201832
56,A208640,썸에이지,20210609,2513938,713322,201832
57,A208640,썸에이지,20210608,2535799,691167,203115
58,A208640,썸에이지,20210607,2391813,840736,203115
59,A208640,썸에이지,20210604,2157656,1082517,203115
60,A208640,썸에이지,20210603,1917479,1343388,203115
61,A208640,썸에이지,20210602,1981350,1250830,203115
62,A208640,썸에이지,20210601,1911426,1331555,203115
63,A208640,썸에이지,20210531,2249520,993531,203115
64,A208640,썸에이지,20210528,1555556,1699958,203115
65,A208640,썸에이지,20210527,1607012,1649013,203115
66,A208640,썸에이지,20210526,1527818,1728516,203114
67,A208640,썸에이지,20210525,1439297,1833915,203114
68,A208640,썸에이지,20210524,1570963,1706911,203114
69,A208640,썸에이지,20210521,1813534,1464809,203114
70,A208640,썸에이지,20210520,1972678,1253572,203114
71,A208640,썸에이지,20210518,2407939,824970,203114
72,A208640,썸에이지,20210517,2399431,816879,203114
73,A208640,썸에이지,20210514,1973935,1248402,203114
74,A208640,썸에이지,20210513,1596186,1613470,212602
75,A208640,썸에이지,20210512,1210884,1946246,203114
76,A208640,썸에이지,20210511,974092,2128651,203114
77,A208640,썸에이지,20210510,831678,2279038,203114
78,A208640,썸에이지,20210507,1457138,1699444,203114
79,A208640,썸에이지,20210506,1642788,1414638,203114
80,A208640,썸에이지,20210504,687981,2442467,203114
81,A208640,썸에이지,20210503,1226694,1899938,203114
82,A208640,썸에이지,20210430,2198962,918779,203114
83,A208640,썸에이지,20210429,2448157,675427,203114
84,A208640,썸에이지,20210428,2156754,959798,203114
85,A208640,썸에이지,20210427,2875275,278662,201114
86,A208640,썸에이지,20210426,2853797,317521,206114
87,A208640,썸에이지,20210423,3120319,51083,206114
88,A208640,썸에이지,20210422,3016504,230505,206114
89,A208640,썸에이지,20210421,2490423,602783,347440
90,A208640,썸에이지,20210420,3086184,126496,213753
91,A208640,썸에이지,20210419,3107240,103255,206113
92,A208640,썸에이지,20210416,2994539,38034,374829
93,A208640,썸에이지,20210415,2670129,270388,490522
94,A208640,썸에이지,20210414,2400435,354481,707358
95,A208640,썸에이지,20210413,2236422,182766,975860
96,A208640,썸에이지,20210412,1516251,200047,1674660
97,A208640,썸에이지,20210409,737590,176749,2458687
98,A208640,썸에이지,20210408,223519,175086,2976113
99,A208640,썸에이지,20210407,267917,175237,-23887
100,A208640,썸에이지,20210406,281321,167342,-23117
101,A208640,썸에이지,20210405,295966,184119,-17455
102,A208640,썸에이지,20210402,214398,291624,-17455
103,A208640,썸에이지,20210401,-552309,753856,173524
104,A208640,썸에이지,20210331,-662644,746879,111988
105,A208640,썸에이지,20210330,-699295,759667,122674
106,A208640,썸에이지,20210329,-888870,865491,169062
107,A208640,썸에이지,20210326,-630398,696264,-23117
