,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A002030,아세아,20210827,-80326,-3273,66321
1,A002030,아세아,20210826,-79906,-3601,66182
2,A002030,아세아,20210825,-78093,-4847,65500
3,A002030,아세아,20210824,-75272,-5109,62770
4,A002030,아세아,20210823,-75792,-4590,62771
5,A002030,아세아,20210820,-76046,-4326,62765
6,A002030,아세아,20210819,-77484,-2844,62730
7,A002030,아세아,20210818,-81313,-1030,64860
8,A002030,아세아,20210817,-81657,-778,64431
9,A002030,아세아,20210813,-80275,-1483,63744
10,A002030,아세아,20210812,-80643,-1917,64595
11,A002030,아세아,20210811,-80981,-1812,64841
12,A002030,아세아,20210810,-82345,-2244,66721
13,A002030,아세아,20210809,-83906,-2485,68515
14,A002030,아세아,20210806,-85184,-2377,69685
15,A002030,아세아,20210805,-80775,-6930,69963
16,A002030,아세아,20210804,-79170,-9717,70954
17,A002030,아세아,20210803,-80574,-9944,71305
18,A002030,아세아,20210802,-79869,-9407,70094
19,A002030,아세아,20210730,-79583,-9057,69469
20,A002030,아세아,20210729,-79648,-8516,69047
21,A002030,아세아,20210728,-78382,-8634,67899
22,A002030,아세아,20210727,-76038,-9089,66125
23,A002030,아세아,20210726,-73722,-9016,63779
24,A002030,아세아,20210723,-73557,-8889,63483
25,A002030,아세아,20210722,-73277,-9071,63375
26,A002030,아세아,20210721,-72795,-8977,62749
27,A002030,아세아,20210720,-72548,-8476,61777
28,A002030,아세아,20210719,-72037,-8665,61406
29,A002030,아세아,20210716,-72599,-8500,62003
30,A002030,아세아,20210715,-72584,-8460,61926
31,A002030,아세아,20210714,-71817,-8299,61000
32,A002030,아세아,20210713,-70836,-8295,60015
33,A002030,아세아,20210712,-70928,-8225,60037
34,A002030,아세아,20210709,-70924,-8637,60445
35,A002030,아세아,20210708,-72916,-8192,62003
36,A002030,아세아,20210707,-73387,-7835,62065
37,A002030,아세아,20210706,-72533,-8251,62221
38,A002030,아세아,20210705,-73394,-8058,62891
39,A002030,아세아,20210702,-73330,-7735,62472
40,A002030,아세아,20210701,-73669,-7250,62318
41,A002030,아세아,20210630,-73131,-7627,62186
42,A002030,아세아,20210629,-73278,-7502,62208
43,A002030,아세아,20210628,-73449,-7280,62195
44,A002030,아세아,20210625,-72125,-8253,61844
45,A002030,아세아,20210624,-71461,-8133,61060
46,A002030,아세아,20210623,-71575,-8356,61340
47,A002030,아세아,20210622,-68026,-9325,58770
48,A002030,아세아,20210621,-67639,-8967,58057
49,A002030,아세아,20210618,-64941,-9792,56347
50,A002030,아세아,20210617,-64309,-9828,56208
51,A002030,아세아,20210616,-63622,-10731,56524
52,A002030,아세아,20210615,-63444,-10570,56185
53,A002030,아세아,20210614,-62506,-11183,55860
54,A002030,아세아,20210611,-62309,-11624,56104
55,A002030,아세아,20210610,-61981,-12246,56398
56,A002030,아세아,20210609,-61910,-12514,56595
57,A002030,아세아,20210608,-60790,-13387,56405
58,A002030,아세아,20210607,-60781,-13813,56822
59,A002030,아세아,20210604,-59629,-13409,55266
60,A002030,아세아,20210603,-59645,-13386,55259
61,A002030,아세아,20210602,-59036,-13187,54451
62,A002030,아세아,20210601,-59664,-13483,55362
63,A002030,아세아,20210531,-60720,-12802,55715
64,A002030,아세아,20210528,-60805,-12354,55713
65,A002030,아세아,20210527,-57010,-11980,55822
66,A002030,아세아,20210526,-56131,-11364,54327
67,A002030,아세아,20210525,-54606,-11324,52762
68,A002030,아세아,20210524,-54172,-11520,52526
69,A002030,아세아,20210521,-54321,-11350,52512
70,A002030,아세아,20210520,-54803,-10377,52313
71,A002030,아세아,20210518,-55288,-9893,52314
72,A002030,아세아,20210517,-55114,-9909,52159
73,A002030,아세아,20210514,-56494,-8489,52109
74,A002030,아세아,20210513,-56556,-8325,52019
75,A002030,아세아,20210512,-55472,-7963,50383
76,A002030,아세아,20210511,-56144,-5958,49914
77,A002030,아세아,20210510,-47285,-7490,42751
78,A002030,아세아,20210507,-46333,-8147,42757
79,A002030,아세아,20210506,-45750,-8534,42756
80,A002030,아세아,20210504,-44959,-9184,42749
81,A002030,아세아,20210503,-45141,-10343,44263
82,A002030,아세아,20210430,-45842,-10368,45478
83,A002030,아세아,20210429,-45421,-9875,44837
84,A002030,아세아,20210428,-46791,-9954,46364
85,A002030,아세아,20210427,-45302,-9704,44615
86,A002030,아세아,20210426,-45419,-9528,44539
87,A002030,아세아,20210423,-45656,-9426,44693
88,A002030,아세아,20210422,-45800,-9229,44630
89,A002030,아세아,20210421,-45788,-8830,44207
90,A002030,아세아,20210420,-45920,-8497,44008
91,A002030,아세아,20210419,-44680,-8380,42751
92,A002030,아세아,20210416,-45052,-7990,42659
93,A002030,아세아,20210415,-45067,-7875,42564
94,A002030,아세아,20210414,-45506,-6529,41657
95,A002030,아세아,20210413,-45934,-4689,40247
96,A002030,아세아,20210412,-45186,-3735,38671
97,A002030,아세아,20210409,-44676,-2720,37134
98,A002030,아세아,20210408,-44117,-3319,37206
99,A002030,아세아,20210407,-43176,-3071,36223
100,A002030,아세아,20210406,-42969,-2265,35295
101,A002030,아세아,20210405,-42711,-2485,35625
102,A002030,아세아,20210402,-43647,-2331,36408
103,A002030,아세아,20210401,-46918,1672,36949
104,A002030,아세아,20210331,-46661,4783,34246
105,A002030,아세아,20210330,-31627,5610,18937
106,A002030,아세아,20210329,-29429,7320,16031
107,A002030,아세아,20210326,-15119,5428,3482
108,A002030,아세아,20210325,-8068,2610,-242
109,A002030,아세아,20210324,-6318,2480,-1824
110,A002030,아세아,20210323,-7020,3102,-1844
111,A002030,아세아,20210322,-7289,3868,-2313
112,A002030,아세아,20210319,-7797,3986,-1823
113,A002030,아세아,20210318,-6927,3985,-2692
114,A002030,아세아,20210317,-6792,4129,-2965
115,A002030,아세아,20210316,-5810,4524,-4335
116,A002030,아세아,20210315,-3406,3110,-5325
