,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A332370,아이디피,20210827,184227,21093,-140073
1,A332370,아이디피,20210826,185161,20160,-140073
2,A332370,아이디피,20210825,184203,21118,-140073
3,A332370,아이디피,20210824,180355,24788,-140073
4,A332370,아이디피,20210823,185321,19801,-140073
5,A332370,아이디피,20210820,191051,13970,-140073
6,A332370,아이디피,20210819,192007,13133,-140073
7,A332370,아이디피,20210818,185060,16973,-136839
8,A332370,아이디피,20210817,187715,14318,-136839
9,A332370,아이디피,20210813,186272,15793,-136868
10,A332370,아이디피,20210812,180866,21199,-136868
11,A332370,아이디피,20210811,173726,28352,-136868
12,A332370,아이디피,20210810,163249,38914,-136868
13,A332370,아이디피,20210809,165707,34854,-135894
14,A332370,아이디피,20210806,165847,34760,-135894
15,A332370,아이디피,20210805,167605,33007,-135894
16,A332370,아이디피,20210804,168513,31952,-135894
17,A332370,아이디피,20210803,187899,12766,-135894
18,A332370,아이디피,20210802,189797,10968,-135894
19,A332370,아이디피,20210730,195147,6134,-135932
20,A332370,아이디피,20210729,194013,7604,-135932
21,A332370,아이디피,20210728,191943,9700,-135932
22,A332370,아이디피,20210727,188259,13772,-135932
23,A332370,아이디피,20210726,191532,4729,-130907
24,A332370,아이디피,20210723,192070,4564,-130907
25,A332370,아이디피,20210722,132753,43521,-130907
26,A332370,아이디피,20210721,139085,58573,-129973
27,A332370,아이디피,20210720,141454,56948,-130273
28,A332370,아이디피,20210719,138154,60301,-130273
29,A332370,아이디피,20210716,139078,60710,-131406
30,A332370,아이디피,20210715,138334,61664,-131406
31,A332370,아이디피,20210714,133699,66392,-131406
32,A332370,아이디피,20210713,140923,59300,-131406
33,A332370,아이디피,20210712,132624,67472,-131406
34,A332370,아이디피,20210709,144525,55730,-131406
35,A332370,아이디피,20210708,151983,48266,-131406
36,A332370,아이디피,20210707,154883,44783,-131406
37,A332370,아이디피,20210706,168585,32176,-131406
38,A332370,아이디피,20210705,174081,26904,-131406
39,A332370,아이디피,20210702,177686,24092,-131406
40,A332370,아이디피,20210701,179292,22433,-131406
41,A332370,아이디피,20210630,180378,21222,-131401
42,A332370,아이디피,20210629,185709,16097,-131442
43,A332370,아이디피,20210628,179709,19557,-131442
44,A332370,아이디피,20210625,185089,14197,-131442
45,A332370,아이디피,20210624,187600,10301,-130129
46,A332370,아이디피,20210623,192298,5634,-130160
47,A332370,아이디피,20210622,182242,17361,-131766
48,A332370,아이디피,20210621,181768,18450,-131862
49,A332370,아이디피,20210618,192491,8435,-132551
50,A332370,아이디피,20210617,198890,2444,-132464
51,A332370,아이디피,20210616,203333,-3763,-131429
52,A332370,아이디피,20210615,-11473,-2144,12034
53,A332370,아이디피,20210614,15520,-7801,-2476
54,A332370,아이디피,20210611,-27787,24030,-169
55,A332370,아이디피,20210610,-26773,24418,-1569
56,A332370,아이디피,20210609,-29575,27222,-1569
57,A332370,아이디피,20210608,-23692,21241,-1569
58,A332370,아이디피,20210607,-26436,23985,-1569
59,A332370,아이디피,20210604,-23022,20361,-1569
60,A332370,아이디피,20210603,-18268,15965,-1569
61,A332370,아이디피,20210602,-8880,7079,-1569
62,A332370,아이디피,20210601,-10673,9089,-1569
63,A332370,아이디피,20210531,-10330,9089,-1569
64,A332370,아이디피,20210528,-9782,8571,-1569
65,A332370,아이디피,20210527,-11072,9891,-1569
66,A332370,아이디피,20210526,-13553,12462,-1569
67,A332370,아이디피,20210525,-14042,12951,-1569
68,A332370,아이디피,20210524,-14320,13230,-1569
69,A332370,아이디피,20210521,-15451,14377,-1569
70,A332370,아이디피,20210520,-16834,15864,-1569
71,A332370,아이디피,20210518,-18258,17488,-1569
72,A332370,아이디피,20210517,-22500,21731,-1569
73,A332370,아이디피,20210514,-25970,25201,-1569
74,A332370,아이디피,20210513,-28813,24411,-1569
75,A332370,아이디피,20210512,-33247,25933,-1569
76,A332370,아이디피,20210511,-39952,31205,-1569
77,A332370,아이디피,20210510,-47318,36015,-1569
78,A332370,아이디피,20210507,-43981,24192,-1569
79,A332370,아이디피,20210506,-49516,15590,-1569
80,A332370,아이디피,20210504,-54351,13816,-1569
81,A332370,아이디피,20210503,-54919,14417,-1569
82,A332370,아이디피,20210430,-55790,8792,-1569
83,A332370,아이디피,20210429,-59162,12312,-1569
84,A332370,아이디피,20210428,-62272,15434,-1569
85,A332370,아이디피,20210427,-79481,6996,-1569
86,A332370,아이디피,20210426,-79531,7106,-1569
87,A332370,아이디피,20210423,-83553,11115,-1569
88,A332370,아이디피,20210422,-82486,10021,-1569
89,A332370,아이디피,20210421,-83547,11282,-1569
90,A332370,아이디피,20210420,-81002,8768,-1569
91,A332370,아이디피,20210419,-80959,8725,-1569
92,A332370,아이디피,20210416,-79953,7750,-1569
93,A332370,아이디피,20210415,-87373,15160,-1569
94,A332370,아이디피,20210414,-84567,12433,-1569
95,A332370,아이디피,20210413,-74097,1964,-1569
96,A332370,아이디피,20210412,-75512,3908,-1569
97,A332370,아이디피,20210409,-75526,3308,-1569
98,A332370,아이디피,20210408,-72389,-328,-1569
99,A332370,아이디피,20210407,-81549,8832,-1569
100,A332370,아이디피,20210406,-74265,2548,-1569
101,A332370,아이디피,20210405,-73637,2420,-2069
102,A332370,아이디피,20210402,-72101,1662,-2469
103,A332370,아이디피,20210401,-71204,865,-2469
104,A332370,아이디피,20210331,-73297,2958,-2469
105,A332370,아이디피,20210330,-70692,353,-2469
106,A332370,아이디피,20210329,-70750,411,-2469
107,A332370,아이디피,20210326,-73343,3004,-2469
108,A332370,아이디피,20210325,-70558,7219,-2469
109,A332370,아이디피,20210324,-59237,7698,-3069
110,A332370,아이디피,20210323,-49903,7964,-3069
111,A332370,아이디피,20210322,-41936,9997,-3069
112,A332370,아이디피,20210319,-42954,18815,-3069
113,A332370,아이디피,20210318,-20934,5740,-1452
114,A332370,아이디피,20210317,-16564,7457,-1452
115,A332370,아이디피,20210316,-6042,7394,-1452
116,A332370,아이디피,20210315,-5612,6964,-1452
117,A332370,아이디피,20210312,-7132,8484,-1452
118,A332370,아이디피,20210311,522,830,-1452
