,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A149010,아이케이세미콘,20210827,-1999,0,999
1,A149010,아이케이세미콘,20210826,-1999,0,999
2,A149010,아이케이세미콘,20210825,-1999,0,999
3,A149010,아이케이세미콘,20210824,-1999,0,999
4,A149010,아이케이세미콘,20210823,-1999,0,999
5,A149010,아이케이세미콘,20210820,-1999,0,999
6,A149010,아이케이세미콘,20210819,-1999,0,999
7,A149010,아이케이세미콘,20210818,-1999,0,999
8,A149010,아이케이세미콘,20210817,-1999,0,999
9,A149010,아이케이세미콘,20210813,-1999,0,999
10,A149010,아이케이세미콘,20210812,-999,0,999
11,A149010,아이케이세미콘,20210811,-999,0,999
12,A149010,아이케이세미콘,20210810,-999,0,999
13,A149010,아이케이세미콘,20210809,-999,0,999
14,A149010,아이케이세미콘,20210806,-999,0,999
15,A149010,아이케이세미콘,20210805,-999,0,999
16,A149010,아이케이세미콘,20210804,-999,0,999
17,A149010,아이케이세미콘,20210803,-999,0,999
18,A149010,아이케이세미콘,20210802,-999,0,999
19,A149010,아이케이세미콘,20210730,-999,0,999
20,A149010,아이케이세미콘,20210729,-999,0,999
21,A149010,아이케이세미콘,20210728,-999,0,999
22,A149010,아이케이세미콘,20210727,-999,0,999
23,A149010,아이케이세미콘,20210726,-999,0,999
24,A149010,아이케이세미콘,20210723,-999,0,999
25,A149010,아이케이세미콘,20210722,-999,0,999
26,A149010,아이케이세미콘,20210721,-999,0,999
27,A149010,아이케이세미콘,20210720,-999,0,999
28,A149010,아이케이세미콘,20210719,-999,0,999
29,A149010,아이케이세미콘,20210716,-999,0,999
30,A149010,아이케이세미콘,20210715,-999,0,999
31,A149010,아이케이세미콘,20210714,-999,0,999
32,A149010,아이케이세미콘,20210713,-999,0,999
33,A149010,아이케이세미콘,20210712,-999,0,999
34,A149010,아이케이세미콘,20210709,-999,0,999
35,A149010,아이케이세미콘,20210708,-999,0,999
36,A149010,아이케이세미콘,20210707,-999,0,999
37,A149010,아이케이세미콘,20210706,-999,0,999
38,A149010,아이케이세미콘,20210705,-999,0,999
39,A149010,아이케이세미콘,20210702,-999,0,999
40,A149010,아이케이세미콘,20210701,-999,0,999
41,A149010,아이케이세미콘,20210630,-999,0,999
42,A149010,아이케이세미콘,20210629,-999,0,999
43,A149010,아이케이세미콘,20210628,-999,0,999
44,A149010,아이케이세미콘,20210625,-999,0,999
45,A149010,아이케이세미콘,20210624,-999,0,999
46,A149010,아이케이세미콘,20210623,-999,0,999
47,A149010,아이케이세미콘,20210622,-999,0,999
48,A149010,아이케이세미콘,20210621,-999,0,999
49,A149010,아이케이세미콘,20210618,-999,0,999
50,A149010,아이케이세미콘,20210617,-999,0,999
51,A149010,아이케이세미콘,20210616,-1000,0,1000
52,A149010,아이케이세미콘,20210615,-1000,0,1000
53,A149010,아이케이세미콘,20210614,-1000,0,1000
54,A149010,아이케이세미콘,20210611,-1000,0,1000
55,A149010,아이케이세미콘,20210610,-1000,0,1000
56,A149010,아이케이세미콘,20210609,-1000,0,1000
57,A149010,아이케이세미콘,20210608,-1000,0,1000
58,A149010,아이케이세미콘,20210607,-1000,0,1000
59,A149010,아이케이세미콘,20210604,-1000,0,1000
60,A149010,아이케이세미콘,20210603,-1000,0,1000
61,A149010,아이케이세미콘,20210602,-1000,0,1000
62,A149010,아이케이세미콘,20210601,-1000,0,1000
63,A149010,아이케이세미콘,20210531,-1000,0,1000
64,A149010,아이케이세미콘,20210528,-1000,0,1000
65,A149010,아이케이세미콘,20210527,-1000,0,1000
66,A149010,아이케이세미콘,20210526,-1000,0,1000
67,A149010,아이케이세미콘,20210525,-1000,0,1000
68,A149010,아이케이세미콘,20210524,-1000,0,1000
69,A149010,아이케이세미콘,20210521,-1000,0,1000
70,A149010,아이케이세미콘,20210520,-1000,0,1000
71,A149010,아이케이세미콘,20210518,-1000,0,1000
72,A149010,아이케이세미콘,20210517,-1000,0,1000
73,A149010,아이케이세미콘,20210514,-1000,0,1000
74,A149010,아이케이세미콘,20210513,-1000,0,1000
