,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A052460,아이크래프트,20210827,-461628,462105,-38495
1,A052460,아이크래프트,20210826,-466045,466522,-38495
2,A052460,아이크래프트,20210825,-459997,454861,-32884
3,A052460,아이크래프트,20210824,-457351,452209,-32884
4,A052460,아이크래프트,20210823,-428765,423638,-32884
5,A052460,아이크래프트,20210820,-386938,383655,-32884
6,A052460,아이크래프트,20210819,-376175,372892,-32884
7,A052460,아이크래프트,20210818,-398794,395528,-32884
8,A052460,아이크래프트,20210817,-343249,328752,-21653
9,A052460,아이크래프트,20210813,-328199,319536,-27501
10,A052460,아이크래프트,20210812,-320675,317588,-33112
11,A052460,아이크래프트,20210811,-304276,301189,-33112
12,A052460,아이크래프트,20210810,-291332,282910,-28112
13,A052460,아이크래프트,20210809,-287888,279607,-28112
14,A052460,아이크래프트,20210806,-299848,296951,-33495
15,A052460,아이크래프트,20210805,-318751,315121,-33495
16,A052460,아이크래프트,20210804,-316400,312770,-33495
17,A052460,아이크래프트,20210803,-237226,233496,-33495
18,A052460,아이크래프트,20210802,-243893,240560,-33495
19,A052460,아이크래프트,20210730,-270135,267370,-33495
20,A052460,아이크래프트,20210729,-339175,337914,-37206
21,A052460,아이크래프트,20210728,-327641,326461,-37206
22,A052460,아이크래프트,20210727,-363121,361943,-37208
23,A052460,아이크래프트,20210726,-357957,355000,-37208
24,A052460,아이크래프트,20210723,-364528,363341,-37208
25,A052460,아이크래프트,20210722,-337907,336620,-37208
26,A052460,아이크래프트,20210721,-305096,303198,-37208
27,A052460,아이크래프트,20210720,-300959,299063,-37208
28,A052460,아이크래프트,20210719,-272053,270257,-37208
29,A052460,아이크래프트,20210716,-254273,252406,-37208
30,A052460,아이크래프트,20210715,-250922,250011,-37208
31,A052460,아이크래프트,20210714,-247879,248672,-37208
32,A052460,아이크래프트,20210713,-243680,245080,-37208
33,A052460,아이크래프트,20210712,-230997,232387,-37208
34,A052460,아이크래프트,20210709,-228799,234140,-37208
35,A052460,아이크래프트,20210708,-166138,171389,-37208
36,A052460,아이크래프트,20210707,-163914,166967,-37208
37,A052460,아이크래프트,20210706,-142205,145082,-37208
38,A052460,아이크래프트,20210705,-143150,146239,-37208
39,A052460,아이크래프트,20210702,-155501,158888,-37208
40,A052460,아이크래프트,20210701,-38981,44814,-38497
41,A052460,아이크래프트,20210630,2569,3789,-38497
42,A052460,아이크래프트,20210629,9097,-2299,-38497
43,A052460,아이크래프트,20210628,-30825,38463,-38497
44,A052460,아이크래프트,20210625,-8886,17148,-38497
45,A052460,아이크래프트,20210624,-44877,51705,-38497
46,A052460,아이크래프트,20210623,9108,-625,-38497
47,A052460,아이크래프트,20210622,-1955,10745,-38497
48,A052460,아이크래프트,20210621,-24802,33833,-38497
49,A052460,아이크래프트,20210618,-2280,2236,-38497
50,A052460,아이크래프트,20210617,13647,-13642,-38497
51,A052460,아이크래프트,20210616,3689,-7931,-38497
52,A052460,아이크래프트,20210615,-11389,-5527,-38497
53,A052460,아이크래프트,20210614,-17449,-5292,-38497
54,A052460,아이크래프트,20210611,-36164,13748,-38497
55,A052460,아이크래프트,20210610,-45649,33970,-38497
56,A052460,아이크래프트,20210609,-56212,42823,-38497
57,A052460,아이크래프트,20210608,-39117,26590,-38497
58,A052460,아이크래프트,20210607,-9825,-1379,-38497
59,A052460,아이크래프트,20210604,-25827,14063,-38497
60,A052460,아이크래프트,20210603,4158,-15272,-38497
61,A052460,아이크래프트,20210602,-24354,15157,-38497
62,A052460,아이크래프트,20210601,-25439,6613,-28631
63,A052460,아이크래프트,20210531,-128363,113064,-27811
64,A052460,아이크래프트,20210528,-18112,-16587,-38497
65,A052460,아이크래프트,20210527,-99327,53562,-38247
66,A052460,아이크래프트,20210526,-42075,-9833,-32960
67,A052460,아이크래프트,20210525,-151504,135861,-34769
68,A052460,아이크래프트,20210524,-36930,29600,-38497
69,A052460,아이크래프트,20210521,-11019,3824,-38497
70,A052460,아이크래프트,20210520,-13190,6472,-38497
71,A052460,아이크래프트,20210518,-20775,12223,-38498
72,A052460,아이크래프트,20210517,-1026,-7836,-38498
73,A052460,아이크래프트,20210514,-67736,58051,-38498
74,A052460,아이크래프트,20210513,-18530,12196,-38498
75,A052460,아이크래프트,20210512,-14279,4635,-38498
76,A052460,아이크래프트,20210511,3507,-12711,-38498
77,A052460,아이크래프트,20210510,-36154,27160,-38498
78,A052460,아이크래프트,20210507,-107324,93067,-38498
79,A052460,아이크래프트,20210506,-38651,26650,-38498
80,A052460,아이크래프트,20210504,-19582,10661,-38498
81,A052460,아이크래프트,20210503,-38589,30479,-36707
