,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A052790,액토즈소프트,20210827,-80653,-80280,142925
1,A052790,액토즈소프트,20210826,-66510,-94345,142827
2,A052790,액토즈소프트,20210825,-66800,-96567,139277
3,A052790,액토즈소프트,20210824,-83148,-97028,154647
4,A052790,액토즈소프트,20210823,-95769,-87363,154279
5,A052790,액토즈소프트,20210820,-93923,-80205,145810
6,A052790,액토즈소프트,20210819,-83460,-46632,101774
7,A052790,액토즈소프트,20210818,-46525,-40936,53920
8,A052790,액토즈소프트,20210817,8282,-70844,52326
9,A052790,액토즈소프트,20210813,5288,-65877,51295
10,A052790,액토즈소프트,20210812,10416,-70568,51016
11,A052790,액토즈소프트,20210811,5904,-70781,55698
12,A052790,액토즈소프트,20210810,-12082,-51031,55544
13,A052790,액토즈소프트,20210809,-12567,-50407,55471
14,A052790,액토즈소프트,20210806,-12073,-50773,55353
15,A052790,액토즈소프트,20210805,-12418,-50233,55158
16,A052790,액토즈소프트,20210804,2367,-64219,54384
17,A052790,액토즈소프트,20210803,13293,-74971,54300
18,A052790,액토즈소프트,20210802,13790,-75174,54117
19,A052790,액토즈소프트,20210730,10812,-71321,53242
20,A052790,액토즈소프트,20210729,16596,-76753,52843
21,A052790,액토즈소프트,20210728,19213,-76836,52587
22,A052790,액토즈소프트,20210727,18648,-75578,52354
23,A052790,액토즈소프트,20210726,19682,-78138,51595
24,A052790,액토즈소프트,20210723,37000,-96312,51872
25,A052790,액토즈소프트,20210722,32615,-104696,65381
26,A052790,액토즈소프트,20210721,55930,-124771,65371
27,A052790,액토즈소프트,20210720,48863,-121088,66141
28,A052790,액토즈소프트,20210719,42319,-115241,65710
29,A052790,액토즈소프트,20210716,33612,-107572,65830
30,A052790,액토즈소프트,20210715,32148,-106964,67600
31,A052790,액토즈소프트,20210714,-15057,-68907,79368
32,A052790,액토즈소프트,20210713,-28615,-51461,75899
33,A052790,액토즈소프트,20210712,20084,-109507,68349
34,A052790,액토즈소프트,20210709,15662,-104175,68018
35,A052790,액토즈소프트,20210708,25467,-101061,57560
36,A052790,액토즈소프트,20210707,16847,-75808,54284
37,A052790,액토즈소프트,20210706,49372,-103608,54198
38,A052790,액토즈소프트,20210705,38238,-104096,65325
39,A052790,액토즈소프트,20210702,30154,-99285,65564
40,A052790,액토즈소프트,20210701,37588,-107242,65880
41,A052790,액토즈소프트,20210630,36709,-108286,67200
42,A052790,액토즈소프트,20210629,34699,-107693,67871
43,A052790,액토즈소프트,20210628,7149,-77231,65971
44,A052790,액토즈소프트,20210625,-637,-65175,65939
45,A052790,액토즈소프트,20210624,4608,-70151,65864
46,A052790,액토즈소프트,20210623,16981,-82298,65785
47,A052790,액토즈소프트,20210622,22023,-87323,65742
48,A052790,액토즈소프트,20210621,19389,-84764,65690
49,A052790,액토즈소프트,20210618,-1255,-63757,65657
50,A052790,액토즈소프트,20210617,-34965,-27776,63609
51,A052790,액토즈소프트,20210616,-31967,-30129,63462
52,A052790,액토즈소프트,20210615,-25710,-35998,63400
53,A052790,액토즈소프트,20210614,-21126,-49257,70848
54,A052790,액토즈소프트,20210611,-24354,-54641,83408
55,A052790,액토즈소프트,20210610,-13331,-65812,83936
56,A052790,액토즈소프트,20210609,-22549,-49274,75256
57,A052790,액토즈소프트,20210608,-20246,-49879,75170
58,A052790,액토즈소프트,20210607,-26100,-43956,75166
59,A052790,액토즈소프트,20210604,-39294,-34703,79083
60,A052790,액토즈소프트,20210603,-64128,-34820,77181
61,A052790,액토즈소프트,20210602,-240088,16597,226896
62,A052790,액토즈소프트,20210601,-156606,14633,144836
63,A052790,액토즈소프트,20210531,-124119,-14634,144791
64,A052790,액토즈소프트,20210528,-134228,-20329,148213
65,A052790,액토즈소프트,20210527,-173402,35958,142851
66,A052790,액토즈소프트,20210526,-88745,88710,4804
67,A052790,액토즈소프트,20210525,-91699,91865,4616
68,A052790,액토즈소프트,20210524,-72772,75440,2177
69,A052790,액토즈소프트,20210521,-92653,92965,4604
70,A052790,액토즈소프트,20210520,-93255,95290,617
