,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A019990,에너토크,20210827,78638,442621,-12143
1,A019990,에너토크,20210826,94624,426646,-12143
2,A019990,에너토크,20210825,100152,421128,-12143
3,A019990,에너토크,20210824,84830,436550,-12143
4,A019990,에너토크,20210823,102165,417794,-11261
5,A019990,에너토크,20210820,136090,383548,-11261
6,A019990,에너토크,20210819,160356,359292,-11261
7,A019990,에너토크,20210818,180730,337918,-11261
8,A019990,에너토크,20210817,255371,263277,-11261
9,A019990,에너토크,20210813,284605,234123,-11261
10,A019990,에너토크,20210812,368086,151052,-11261
11,A019990,에너토크,20210811,405759,113650,-11261
12,A019990,에너토크,20210810,421175,98244,-11261
13,A019990,에너토크,20210809,463391,56028,-11261
14,A019990,에너토크,20210806,469926,51508,-11261
15,A019990,에너토크,20210805,465268,56166,-11261
16,A019990,에너토크,20210804,457477,62957,-11261
17,A019990,에너토크,20210803,528745,-8811,-11261
18,A019990,에너토크,20210802,591401,-70197,-12143
19,A019990,에너토크,20210730,568452,-47238,-12143
20,A019990,에너토크,20210729,590262,-68948,-12143
21,A019990,에너토크,20210728,583016,-64742,-12143
22,A019990,에너토크,20210727,568237,-49893,-12143
23,A019990,에너토크,20210726,622063,-104038,-12143
24,A019990,에너토크,20210723,597699,-79632,-12143
25,A019990,에너토크,20210722,634974,-114916,-12143
26,A019990,에너토크,20210721,684948,-164887,-12143
27,A019990,에너토크,20210720,704493,-183670,-12143
28,A019990,에너토크,20210719,653473,-134664,-12143
29,A019990,에너토크,20210716,658966,-140140,-12143
30,A019990,에너토크,20210715,646537,-129061,-12143
31,A019990,에너토크,20210714,655666,-136109,-12143
32,A019990,에너토크,20210713,662997,-143096,-12143
33,A019990,에너토크,20210712,703487,-182798,-12643
34,A019990,에너토크,20210709,716289,-196411,-12643
35,A019990,에너토크,20210708,730508,-210998,-12643
36,A019990,에너토크,20210707,745500,-237574,-12643
37,A019990,에너토크,20210706,746344,-237806,-12643
38,A019990,에너토크,20210705,744119,-236257,-12643
39,A019990,에너토크,20210702,744083,-235954,-12643
40,A019990,에너토크,20210701,742882,-234845,-12643
41,A019990,에너토크,20210630,730385,-221755,-12643
42,A019990,에너토크,20210629,727895,-220399,-12643
43,A019990,에너토크,20210628,707729,-197445,-12643
44,A019990,에너토크,20210625,714681,-203483,-12643
45,A019990,에너토크,20210624,724996,-214445,-12643
46,A019990,에너토크,20210623,721599,-211410,-12643
47,A019990,에너토크,20210622,699854,-194650,-12643
48,A019990,에너토크,20210621,711444,-200360,-12643
49,A019990,에너토크,20210618,710420,-204768,-12643
50,A019990,에너토크,20210617,719886,-209149,-12643
51,A019990,에너토크,20210616,701580,-217490,14080
52,A019990,에너토크,20210615,705495,-229431,22080
53,A019990,에너토크,20210614,695584,-235696,38715
54,A019990,에너토크,20210611,587716,-222190,133132
55,A019990,에너토크,20210610,689139,-244007,53559
56,A019990,에너토크,20210609,642527,-233519,89130
