,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A224020,에스케이씨에스,20210827,9638,0,-11638
1,A224020,에스케이씨에스,20210826,9638,0,-11638
2,A224020,에스케이씨에스,20210825,9638,0,-11638
3,A224020,에스케이씨에스,20210824,9638,0,-11638
4,A224020,에스케이씨에스,20210823,9638,0,-11638
5,A224020,에스케이씨에스,20210820,9638,0,-11638
6,A224020,에스케이씨에스,20210819,9638,0,-11638
7,A224020,에스케이씨에스,20210818,9638,0,-11638
8,A224020,에스케이씨에스,20210817,9638,0,-11638
9,A224020,에스케이씨에스,20210813,9638,0,-11638
10,A224020,에스케이씨에스,20210812,9638,0,-11638
11,A224020,에스케이씨에스,20210811,9638,0,-11638
12,A224020,에스케이씨에스,20210810,9638,0,-11638
13,A224020,에스케이씨에스,20210809,9638,0,-11638
14,A224020,에스케이씨에스,20210806,9638,0,-11638
15,A224020,에스케이씨에스,20210805,9638,0,-11638
16,A224020,에스케이씨에스,20210804,9598,0,-11638
17,A224020,에스케이씨에스,20210803,9598,0,-11638
18,A224020,에스케이씨에스,20210802,9598,0,-11638
19,A224020,에스케이씨에스,20210730,9598,0,-11638
20,A224020,에스케이씨에스,20210729,9598,0,-11638
21,A224020,에스케이씨에스,20210728,9598,0,-11638
22,A224020,에스케이씨에스,20210727,9598,0,-11638
23,A224020,에스케이씨에스,20210726,9598,0,-11638
24,A224020,에스케이씨에스,20210723,9598,0,-11638
25,A224020,에스케이씨에스,20210722,9598,0,-11638
26,A224020,에스케이씨에스,20210721,9598,0,-11638
27,A224020,에스케이씨에스,20210720,9598,0,-11638
28,A224020,에스케이씨에스,20210719,9598,0,-11638
29,A224020,에스케이씨에스,20210716,9598,0,-11638
30,A224020,에스케이씨에스,20210715,9598,0,-11638
31,A224020,에스케이씨에스,20210714,9598,0,-11638
32,A224020,에스케이씨에스,20210713,9598,0,-11638
33,A224020,에스케이씨에스,20210712,9598,0,-11638
34,A224020,에스케이씨에스,20210709,9598,0,-11638
35,A224020,에스케이씨에스,20210708,9598,0,-11638
36,A224020,에스케이씨에스,20210707,9598,0,-11638
37,A224020,에스케이씨에스,20210706,9598,0,-11638
38,A224020,에스케이씨에스,20210705,9598,0,-11638
39,A224020,에스케이씨에스,20210702,9598,0,-11638
40,A224020,에스케이씨에스,20210701,9598,0,-11638
41,A224020,에스케이씨에스,20210630,9598,0,-11638
42,A224020,에스케이씨에스,20210629,9598,0,-11638
43,A224020,에스케이씨에스,20210628,9598,0,-11638
44,A224020,에스케이씨에스,20210625,9598,0,-11638
45,A224020,에스케이씨에스,20210624,9598,0,-11638
46,A224020,에스케이씨에스,20210623,9598,0,-11638
47,A224020,에스케이씨에스,20210622,9598,0,-11638
48,A224020,에스케이씨에스,20210621,9598,0,-11638
49,A224020,에스케이씨에스,20210618,9638,0,-11638
50,A224020,에스케이씨에스,20210617,9638,0,-11638
51,A224020,에스케이씨에스,20210616,9638,0,-11638
52,A224020,에스케이씨에스,20210615,9638,0,-11638
53,A224020,에스케이씨에스,20210614,9638,0,-11638
54,A224020,에스케이씨에스,20210611,11638,0,-11638
55,A224020,에스케이씨에스,20210610,11638,0,-11638
56,A224020,에스케이씨에스,20210609,11638,0,-11638
57,A224020,에스케이씨에스,20210608,11638,0,-11638
58,A224020,에스케이씨에스,20210607,11638,0,-11638
59,A224020,에스케이씨에스,20210604,11638,0,-11638
60,A224020,에스케이씨에스,20210603,11638,0,-11638
61,A224020,에스케이씨에스,20210602,11638,0,-11638
62,A224020,에스케이씨에스,20210601,11638,0,-11638
63,A224020,에스케이씨에스,20210531,11638,0,-11638
64,A224020,에스케이씨에스,20210528,11638,0,-11638
65,A224020,에스케이씨에스,20210527,11638,0,-11638
66,A224020,에스케이씨에스,20210526,11638,0,-11638
67,A224020,에스케이씨에스,20210525,11638,0,-11638
68,A224020,에스케이씨에스,20210524,11638,0,-11638
69,A224020,에스케이씨에스,20210521,11638,0,-11638
70,A224020,에스케이씨에스,20210520,11638,0,-11638
71,A224020,에스케이씨에스,20210518,11638,0,-11638
72,A224020,에스케이씨에스,20210517,11638,0,-11638
73,A224020,에스케이씨에스,20210514,11638,0,-11638
74,A224020,에스케이씨에스,20210513,11638,0,-11638
75,A224020,에스케이씨에스,20210512,11638,0,-11638
76,A224020,에스케이씨에스,20210511,11638,0,-11638
77,A224020,에스케이씨에스,20210510,11638,0,-11638
78,A224020,에스케이씨에스,20210507,11638,0,-11638
79,A224020,에스케이씨에스,20210506,11638,0,-11638
80,A224020,에스케이씨에스,20210504,11638,0,-11638
81,A224020,에스케이씨에스,20210503,11638,0,-11638
82,A224020,에스케이씨에스,20210430,11638,0,-11638
83,A224020,에스케이씨에스,20210429,11638,0,-11638
84,A224020,에스케이씨에스,20210428,11638,0,-11638
85,A224020,에스케이씨에스,20210427,11638,0,-11638
86,A224020,에스케이씨에스,20210426,11638,0,-11638
87,A224020,에스케이씨에스,20210423,11638,0,-11638
88,A224020,에스케이씨에스,20210422,11638,0,-11638
89,A224020,에스케이씨에스,20210421,11638,0,-11638
90,A224020,에스케이씨에스,20210420,11638,0,-11638
91,A224020,에스케이씨에스,20210419,11638,0,-11638
92,A224020,에스케이씨에스,20210416,11638,0,-11638
93,A224020,에스케이씨에스,20210415,11638,0,-11638
94,A224020,에스케이씨에스,20210414,11638,0,-11638
95,A224020,에스케이씨에스,20210413,11638,0,-11638
96,A224020,에스케이씨에스,20210412,11638,0,-11638
97,A224020,에스케이씨에스,20210409,4638,0,-4638
98,A224020,에스케이씨에스,20210408,4638,0,-4638
99,A224020,에스케이씨에스,20210407,1938,0,-1938
100,A224020,에스케이씨에스,20210406,1938,0,-1938
101,A224020,에스케이씨에스,20210405,1938,0,-1938
102,A224020,에스케이씨에스,20210402,788,0,-788
103,A224020,에스케이씨에스,20210401,438,0,-438
104,A224020,에스케이씨에스,20210331,438,0,-438
105,A224020,에스케이씨에스,20210330,438,0,-438
106,A224020,에스케이씨에스,20210329,438,0,-438
107,A224020,에스케이씨에스,20210326,438,0,-438
108,A224020,에스케이씨에스,20210325,209,0,-209
109,A224020,에스케이씨에스,20210324,0,0,0
110,A224020,에스케이씨에스,20210323,0,0,0
111,A224020,에스케이씨에스,20210322,0,0,0
112,A224020,에스케이씨에스,20210319,0,0,0
113,A224020,에스케이씨에스,20210318,0,0,0
114,A224020,에스케이씨에스,20210317,0,0,0
115,A224020,에스케이씨에스,20210316,0,0,0
116,A224020,에스케이씨에스,20210315,0,0,0
117,A224020,에스케이씨에스,20210312,0,0,0
118,A224020,에스케이씨에스,20210311,0,0,0
