,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A317830,에스피시스템스,20210827,-212101,184808,-3000
1,A317830,에스피시스템스,20210826,-212169,184876,-3000
2,A317830,에스피시스템스,20210825,-216141,188848,-3000
3,A317830,에스피시스템스,20210824,-216631,187023,-3000
4,A317830,에스피시스템스,20210823,-231617,203065,-3000
5,A317830,에스피시스템스,20210820,-231915,203363,-3000
6,A317830,에스피시스템스,20210819,-234252,205700,-3000
7,A317830,에스피시스템스,20210818,-236786,202299,2935
8,A317830,에스피시스템스,20210817,-231350,196863,2935
9,A317830,에스피시스템스,20210813,-239947,205460,2935
10,A317830,에스피시스템스,20210812,-239571,205362,2935
11,A317830,에스피시스템스,20210811,-239373,205704,2935
12,A317830,에스피시스템스,20210810,-243943,210274,2935
13,A317830,에스피시스템스,20210809,-250684,217015,2935
14,A317830,에스피시스템스,20210806,-251913,218244,2935
15,A317830,에스피시스템스,20210805,-251763,218094,2935
16,A317830,에스피시스템스,20210804,-251066,217646,2935
17,A317830,에스피시스템스,20210803,-251521,218101,2935
18,A317830,에스피시스템스,20210802,-256832,223412,2935
19,A317830,에스피시스템스,20210730,-242818,211221,2935
20,A317830,에스피시스템스,20210729,-243535,212421,2935
21,A317830,에스피시스템스,20210728,-240328,209214,2935
22,A317830,에스피시스템스,20210727,-242703,211540,2935
23,A317830,에스피시스템스,20210726,-236471,205068,2935
24,A317830,에스피시스템스,20210723,-245208,213695,2935
25,A317830,에스피시스템스,20210722,-240292,208779,2935
26,A317830,에스피시스템스,20210721,-232843,201379,2935
27,A317830,에스피시스템스,20210720,-246131,214667,2935
28,A317830,에스피시스템스,20210719,-248509,221292,2935
29,A317830,에스피시스템스,20210716,-236238,209021,2935
30,A317830,에스피시스템스,20210715,-220065,193198,2935
31,A317830,에스피시스템스,20210714,-225137,194937,3935
32,A317830,에스피시스템스,20210713,-201567,170455,3935
33,A317830,에스피시스템스,20210712,-187911,153450,5435
34,A317830,에스피시스템스,20210709,-155849,120988,5435
35,A317830,에스피시스템스,20210708,-162828,127967,5435
36,A317830,에스피시스템스,20210707,-158203,123406,5435
