,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A200710,에이디테크놀로지,20210827,149355,6555,-158822
1,A200710,에이디테크놀로지,20210826,152177,3786,-158934
2,A200710,에이디테크놀로지,20210825,150062,8477,-162123
3,A200710,에이디테크놀로지,20210824,150409,8523,-162311
4,A200710,에이디테크놀로지,20210823,153691,6487,-162568
5,A200710,에이디테크놀로지,20210820,154010,2686,-162656
6,A200710,에이디테크놀로지,20210819,157789,-846,-162802
7,A200710,에이디테크놀로지,20210818,149045,8175,-163376
8,A200710,에이디테크놀로지,20210817,154394,1721,-163514
9,A200710,에이디테크놀로지,20210813,147661,9413,-163779
10,A200710,에이디테크놀로지,20210812,147635,6542,-159721
11,A200710,에이디테크놀로지,20210811,148630,5770,-160109
12,A200710,에이디테크놀로지,20210810,143228,8702,-160742
13,A200710,에이디테크놀로지,20210809,100586,41560,-160969
14,A200710,에이디테크놀로지,20210806,118200,24887,-161239
15,A200710,에이디테크놀로지,20210805,107844,36341,-161364
16,A200710,에이디테크놀로지,20210804,128317,14901,-161295
17,A200710,에이디테크놀로지,20210803,113454,29313,-161549
18,A200710,에이디테크놀로지,20210802,137440,6693,-161985
19,A200710,에이디테크놀로지,20210730,138515,5953,-161757
20,A200710,에이디테크놀로지,20210729,135812,8876,-162031
21,A200710,에이디테크놀로지,20210728,135760,9058,-162152
22,A200710,에이디테크놀로지,20210727,131864,12397,-162160
23,A200710,에이디테크놀로지,20210726,134405,11780,-163286
24,A200710,에이디테크놀로지,20210723,121557,24719,-163757
25,A200710,에이디테크놀로지,20210722,105697,45262,-163965
26,A200710,에이디테크놀로지,20210721,138674,13928,-163908
27,A200710,에이디테크놀로지,20210720,134936,17434,-163893
28,A200710,에이디테크놀로지,20210719,135952,16460,-163719
29,A200710,에이디테크놀로지,20210716,137446,14825,-163485
30,A200710,에이디테크놀로지,20210715,129763,20130,-160957
31,A200710,에이디테크놀로지,20210714,132584,20400,-164063
32,A200710,에이디테크놀로지,20210713,136387,18136,-163492
33,A200710,에이디테크놀로지,20210712,140657,13587,-163513
34,A200710,에이디테크놀로지,20210709,134930,14050,-163108
35,A200710,에이디테크놀로지,20210708,127838,21925,-163642
36,A200710,에이디테크놀로지,20210707,105546,41684,-163570
37,A200710,에이디테크놀로지,20210706,118109,32774,-163622
38,A200710,에이디테크놀로지,20210705,136594,18370,-163987
39,A200710,에이디테크놀로지,20210702,145620,10202,-165513
40,A200710,에이디테크놀로지,20210701,148269,8128,-165856
41,A200710,에이디테크놀로지,20210630,140351,12834,-166054
42,A200710,에이디테크놀로지,20210629,140660,7119,-169643
43,A200710,에이디테크놀로지,20210628,133781,14370,-169990
44,A200710,에이디테크놀로지,20210625,150309,3053,-170035
45,A200710,에이디테크놀로지,20210624,155109,228,-170286
46,A200710,에이디테크놀로지,20210623,156032,-384,-170288
47,A200710,에이디테크놀로지,20210622,154400,873,-170295
48,A200710,에이디테크놀로지,20210621,149634,6672,-171317
49,A200710,에이디테크놀로지,20210618,154279,12005,-181181
50,A200710,에이디테크놀로지,20210617,166920,7862,-181861
51,A200710,에이디테크놀로지,20210616,174249,1156,-182458
52,A200710,에이디테크놀로지,20210615,172049,3754,-182472
53,A200710,에이디테크놀로지,20210614,177560,-908,-183011
54,A200710,에이디테크놀로지,20210611,178092,589,-184195
55,A200710,에이디테크놀로지,20210610,183435,-1890,-184912
56,A200710,에이디테크놀로지,20210609,186026,-4574,-185772
57,A200710,에이디테크놀로지,20210608,181623,-3610,-185773
58,A200710,에이디테크놀로지,20210607,182238,-4194,-185774
59,A200710,에이디테크놀로지,20210604,180299,-1952,-185774
60,A200710,에이디테크놀로지,20210603,173704,4650,-185771
61,A200710,에이디테크놀로지,20210602,180622,-2229,-185765
62,A200710,에이디테크놀로지,20210601,177364,2655,-185782
63,A200710,에이디테크놀로지,20210531,160226,-1900,-164360
64,A200710,에이디테크놀로지,20210528,142693,-3491,-144806
65,A200710,에이디테크놀로지,20210527,144838,-6177,-145066
66,A200710,에이디테크놀로지,20210526,146028,-6853,-145068
67,A200710,에이디테크놀로지,20210525,143446,-6265,-142297
68,A200710,에이디테크놀로지,20210524,146186,-8940,-142297
69,A200710,에이디테크놀로지,20210521,143046,-6336,-142301
70,A200710,에이디테크놀로지,20210520,140518,-4095,-142214
71,A200710,에이디테크놀로지,20210518,141793,-5278,-142146
