,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A353060,에이치엠씨제5호스팩,20210827,1969097,-37528,-2097004
1,A353060,에이치엠씨제5호스팩,20210826,1968997,-37528,-2102004
2,A353060,에이치엠씨제5호스팩,20210825,1976997,-37528,-2110004
3,A353060,에이치엠씨제5호스팩,20210824,1976997,-37528,-2110004
4,A353060,에이치엠씨제5호스팩,20210823,1954275,-36479,-2077067
5,A353060,에이치엠씨제5호스팩,20210820,1949210,-36479,-2067002
6,A353060,에이치엠씨제5호스팩,20210819,1935271,-34463,-2062773
7,A353060,에이치엠씨제5호스팩,20210818,1940737,-34929,-2062773
8,A353060,에이치엠씨제5호스팩,20210817,1940737,-34929,-2062773
9,A353060,에이치엠씨제5호스팩,20210813,1975962,-35752,-2062773
10,A353060,에이치엠씨제5호스팩,20210812,1987527,-34052,-2070248
11,A353060,에이치엠씨제5호스팩,20210811,1992865,-35639,-2073248
12,A353060,에이치엠씨제5호스팩,20210810,1996002,-35639,-2076248
13,A353060,에이치엠씨제5호스팩,20210809,1993844,-38896,-2062667
14,A353060,에이치엠씨제5호스팩,20210806,1984344,-38896,-2053167
15,A353060,에이치엠씨제5호스팩,20210805,1988844,-38896,-2057667
16,A353060,에이치엠씨제5호스팩,20210804,2017255,-38896,-2086078
17,A353060,에이치엠씨제5호스팩,20210803,2020957,-37009,-2091667
18,A353060,에이치엠씨제5호스팩,20210802,2023118,-37009,-2093667
19,A353060,에이치엠씨제5호스팩,20210730,2032331,-37009,-2102880
20,A353060,에이치엠씨제5호스팩,20210729,2032331,-37009,-2102880
21,A353060,에이치엠씨제5호스팩,20210728,2033435,-32323,-2102880
22,A353060,에이치엠씨제5호스팩,20210727,2046072,-32218,-2115622
23,A353060,에이치엠씨제5호스팩,20210726,2061348,-32218,-2130622
24,A353060,에이치엠씨제5호스팩,20210723,2059828,-32849,-2133622
25,A353060,에이치엠씨제5호스팩,20210722,2054727,-25437,-2133622
26,A353060,에이치엠씨제5호스팩,20210721,2059323,-28033,-2135622
27,A353060,에이치엠씨제5호스팩,20210720,2053154,-21864,-2135622
28,A353060,에이치엠씨제5호스팩,20210719,2050854,-21864,-2143322
29,A353060,에이치엠씨제5호스팩,20210716,2050854,-21864,-2143322
30,A353060,에이치엠씨제5호스팩,20210715,2049575,-20585,-2143322
31,A353060,에이치엠씨제5호스팩,20210714,2072475,-20585,-2153322
32,A353060,에이치엠씨제5호스팩,20210713,2084401,-18511,-2172322
33,A353060,에이치엠씨제5호스팩,20210712,2088898,-17108,-2178322
34,A353060,에이치엠씨제5호스팩,20210709,2088321,-16531,-2178322
35,A353060,에이치엠씨제5호스팩,20210708,2115066,-14396,-2191322
36,A353060,에이치엠씨제5호스팩,20210707,2082823,-9647,-2167828
37,A353060,에이치엠씨제5호스팩,20210706,2108879,-6369,-2173162
38,A353060,에이치엠씨제5호스팩,20210705,2106519,-4009,-2173162
39,A353060,에이치엠씨제5호스팩,20210702,2108098,-5288,-2173162
40,A353060,에이치엠씨제5호스팩,20210701,2162171,-5288,-2220538
41,A353060,에이치엠씨제5호스팩,20210630,2175917,-5288,-2228212
42,A353060,에이치엠씨제5호스팩,20210629,2197917,-5288,-2250212
43,A353060,에이치엠씨제5호스팩,20210628,2242917,-5288,-2295212
44,A353060,에이치엠씨제5호스팩,20210625,2251027,-11133,-2295212
45,A353060,에이치엠씨제5호스팩,20210624,2269703,-11633,-2305212
46,A353060,에이치엠씨제5호스팩,20210623,2185165,-25663,-2178807
47,A353060,에이치엠씨제5호스팩,20210622,2188115,-25663,-2178807
48,A353060,에이치엠씨제5호스팩,20210621,2198426,-26156,-2178807
49,A353060,에이치엠씨제5호스팩,20210618,2185634,-13711,-2176807
50,A353060,에이치엠씨제5호스팩,20210617,2182140,-25130,-2166807
51,A353060,에이치엠씨제5호스팩,20210616,2189140,-25130,-2173807
52,A353060,에이치엠씨제5호스팩,20210615,2198211,-25130,-2180382
53,A353060,에이치엠씨제5호스팩,20210614,2214697,-25130,-2190382
54,A353060,에이치엠씨제5호스팩,20210611,2283157,-35071,-2244333
55,A353060,에이치엠씨제5호스팩,20210610,2323357,-39481,-2272098
56,A353060,에이치엠씨제5호스팩,20210609,2355655,-47185,-2287098
57,A353060,에이치엠씨제5호스팩,20210608,2422090,-47451,-2347709
58,A353060,에이치엠씨제5호스팩,20210607,2508739,-44769,-2413709
59,A353060,에이치엠씨제5호스팩,20210604,2553560,-43490,-2456571
60,A353060,에이치엠씨제5호스팩,20210603,2585846,-45486,-2471571
61,A353060,에이치엠씨제5호스팩,20210602,2587173,-45760,-2486158
62,A353060,에이치엠씨제5호스팩,20210601,2622385,-44726,-2524958
63,A353060,에이치엠씨제5호스팩,20210531,2018288,-47451,-2000771
64,A353060,에이치엠씨제5호스팩,20210528,496321,-29879,-533297
65,A353060,에이치엠씨제5호스팩,20210527,459837,-29879,-521601
66,A353060,에이치엠씨제5호스팩,20210526,456267,-29879,-514243
67,A353060,에이치엠씨제5호스팩,20210525,364740,-29879,-503716
68,A353060,에이치엠씨제5호스팩,20210524,348223,-29879,-472589
69,A353060,에이치엠씨제5호스팩,20210521,341271,-29879,-462592
70,A353060,에이치엠씨제5호스팩,20210520,341273,-29879,-462594
71,A353060,에이치엠씨제5호스팩,20210518,341273,-29879,-462594
72,A353060,에이치엠씨제5호스팩,20210517,344739,-29879,-462594
73,A353060,에이치엠씨제5호스팩,20210514,342749,-29879,-460604
74,A353060,에이치엠씨제5호스팩,20210513,332065,-29879,-441091
75,A353060,에이치엠씨제5호스팩,20210512,324624,-28343,-437291
76,A353060,에이치엠씨제5호스팩,20210511,323771,-29111,-424876
77,A353060,에이치엠씨제5호스팩,20210510,321960,-29111,-428333
78,A353060,에이치엠씨제5호스팩,20210507,323235,-29380,-429339
79,A353060,에이치엠씨제5호스팩,20210506,325978,-29380,-432082
80,A353060,에이치엠씨제5호스팩,20210504,308835,-29030,-390477
81,A353060,에이치엠씨제5호스팩,20210503,253055,-29380,-313322
82,A353060,에이치엠씨제5호스팩,20210430,212695,-29380,-244080
83,A353060,에이치엠씨제5호스팩,20210429,203492,-29380,-230180
84,A353060,에이치엠씨제5호스팩,20210428,203080,-28535,-214575
85,A353060,에이치엠씨제5호스팩,20210427,196748,-28203,-208575
86,A353060,에이치엠씨제5호스팩,20210426,187354,-28203,-192584
87,A353060,에이치엠씨제5호스팩,20210423,186983,-27667,-180584
