,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A109960,에이프로젠 H&G,20210827,-927772,1323720,61919
1,A109960,에이프로젠 H&G,20210826,-919100,1315098,61919
2,A109960,에이프로젠 H&G,20210825,-995019,1391575,61919
3,A109960,에이프로젠 H&G,20210824,-1014842,1411598,61919
4,A109960,에이프로젠 H&G,20210823,-880404,1277161,61919
5,A109960,에이프로젠 H&G,20210820,-662892,1057857,61919
6,A109960,에이프로젠 H&G,20210819,-878705,1270760,61919
7,A109960,에이프로젠 H&G,20210818,-1005029,1397084,61919
8,A109960,에이프로젠 H&G,20210817,-830812,1222852,61919
9,A109960,에이프로젠 H&G,20210813,-1040678,1429593,61919
10,A109960,에이프로젠 H&G,20210812,-1057788,1446350,61919
11,A109960,에이프로젠 H&G,20210811,-1185653,1573889,61919
12,A109960,에이프로젠 H&G,20210810,-1148663,1532893,61919
13,A109960,에이프로젠 H&G,20210809,-1141132,1525362,61919
14,A109960,에이프로젠 H&G,20210806,-1288206,1671938,61919
15,A109960,에이프로젠 H&G,20210805,-1371883,1755618,61919
16,A109960,에이프로젠 H&G,20210804,-1231184,1622918,61919
17,A109960,에이프로젠 H&G,20210803,-1140995,1532734,61919
18,A109960,에이프로젠 H&G,20210802,-1123571,1516668,61919
19,A109960,에이프로젠 H&G,20210730,-1063925,1456308,61919
20,A109960,에이프로젠 H&G,20210729,-1180870,1569230,61919
21,A109960,에이프로젠 H&G,20210728,-1002960,1391320,61919
22,A109960,에이프로젠 H&G,20210727,-1031340,1419700,61919
23,A109960,에이프로젠 H&G,20210726,-912192,1298567,61919
24,A109960,에이프로젠 H&G,20210723,-1035167,1492682,61919
25,A109960,에이프로젠 H&G,20210722,-842723,1301638,61919
26,A109960,에이프로젠 H&G,20210721,-812244,1208079,61919
27,A109960,에이프로젠 H&G,20210720,-902962,1282762,61919
28,A109960,에이프로젠 H&G,20210719,-1094667,1463262,61919
29,A109960,에이프로젠 H&G,20210716,-1158888,1545201,51271
30,A109960,에이프로젠 H&G,20210715,-1171620,1559053,51271
31,A109960,에이프로젠 H&G,20210714,-1287996,1675131,51271
32,A109960,에이프로젠 H&G,20210713,-1425310,1776121,51271
33,A109960,에이프로젠 H&G,20210712,-1520361,1863452,51272
34,A109960,에이프로젠 H&G,20210709,-1071871,1535249,51273
35,A109960,에이프로젠 H&G,20210708,-953933,1418854,51272
36,A109960,에이프로젠 H&G,20210707,-1241041,1680226,41036
37,A109960,에이프로젠 H&G,20210706,-759679,1241506,41036
38,A109960,에이프로젠 H&G,20210705,-971629,1451787,41036
39,A109960,에이프로젠 H&G,20210702,-539614,1031144,30822
40,A109960,에이프로젠 H&G,20210701,-584531,1107508,53
41,A109960,에이프로젠 H&G,20210630,-281981,785648,53
42,A109960,에이프로젠 H&G,20210629,-173403,652724,53
43,A109960,에이프로젠 H&G,20210628,-203045,681782,53
44,A109960,에이프로젠 H&G,20210625,104909,373553,53
45,A109960,에이프로젠 H&G,20210624,-274451,738455,53
46,A109960,에이프로젠 H&G,20210623,210037,253685,53
47,A109960,에이프로젠 H&G,20210622,440503,30026,53
48,A109960,에이프로젠 H&G,20210621,302880,170144,53
49,A109960,에이프로젠 H&G,20210618,815813,-340932,53
50,A109960,에이프로젠 H&G,20210617,900608,-421686,53
51,A109960,에이프로젠 H&G,20210616,669812,-177953,53
52,A109960,에이프로젠 H&G,20210615,1083068,-618287,53
53,A109960,에이프로젠 H&G,20210614,1122134,-676886,53
54,A109960,에이프로젠 H&G,20210611,393372,-125481,215940
55,A109960,에이프로젠 H&G,20210610,1060805,-615690,5128
56,A109960,에이프로젠 H&G,20210609,700808,-220354,3
57,A109960,에이프로젠 H&G,20210608,316994,-446165,3
58,A109960,에이프로젠 H&G,20210607,-24676,-215852,578
59,A109960,에이프로젠 H&G,20210604,-151142,-7943,3
60,A109960,에이프로젠 H&G,20210603,495793,-647783,3
61,A109960,에이프로젠 H&G,20210602,476263,-644992,3
62,A109960,에이프로젠 H&G,20210601,499352,-662111,3
63,A109960,에이프로젠 H&G,20210531,509616,-677396,3
64,A109960,에이프로젠 H&G,20210528,-305259,107503,3
65,A109960,에이프로젠 H&G,20210527,340572,-516986,3
66,A109960,에이프로젠 H&G,20210526,354991,-539745,3
