,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A089970,에이피티씨,20210827,-488362,712773,44415
1,A089970,에이피티씨,20210826,-491303,713267,47079
2,A089970,에이피티씨,20210825,-505654,715219,59534
3,A089970,에이피티씨,20210824,-562432,771234,58765
4,A089970,에이피티씨,20210823,-581457,788668,58899
5,A089970,에이피티씨,20210820,-618438,849879,36585
6,A089970,에이피티씨,20210819,-609949,827384,34560
7,A089970,에이피티씨,20210818,-600678,815376,35846
8,A089970,에이피티씨,20210817,-682950,878218,52186
9,A089970,에이피티씨,20210813,-675908,865643,57232
10,A089970,에이피티씨,20210812,-654823,839491,58374
11,A089970,에이피티씨,20210811,-643238,831607,46195
12,A089970,에이피티씨,20210810,-609020,805437,34831
13,A089970,에이피티씨,20210809,-613162,806761,34864
14,A089970,에이피티씨,20210806,-598360,778865,34872
15,A089970,에이피티씨,20210805,-635262,813359,34709
16,A089970,에이피티씨,20210804,-654170,772560,38153
17,A089970,에이피티씨,20210803,-624957,737365,38156
18,A089970,에이피티씨,20210802,-575653,687458,35675
19,A089970,에이피티씨,20210730,-563986,675628,35658
20,A089970,에이피티씨,20210729,-567999,680394,34976
21,A089970,에이피티씨,20210728,-571073,667420,49309
22,A089970,에이피티씨,20210727,-574531,670417,50145
23,A089970,에이피티씨,20210726,-557501,653088,50899
24,A089970,에이피티씨,20210723,-547786,637718,57939
25,A089970,에이피티씨,20210722,-551960,635679,65385
26,A089970,에이피티씨,20210721,-503366,607399,53605
27,A089970,에이피티씨,20210720,-524257,612735,52980
28,A089970,에이피티씨,20210719,-526932,614548,53862
29,A089970,에이피티씨,20210716,-538710,620299,56115
30,A089970,에이피티씨,20210715,-511910,583768,64372
31,A089970,에이피티씨,20210714,-519964,591877,64387
32,A089970,에이피티씨,20210713,-534571,605939,64392
33,A089970,에이피티씨,20210712,-506424,604795,37444
34,A089970,에이피티씨,20210709,-506709,604489,38142
35,A089970,에이피티씨,20210708,-503033,592052,47210
36,A089970,에이피티씨,20210707,-540093,615471,60968
37,A089970,에이피티씨,20210706,-561224,626943,64282
38,A089970,에이피티씨,20210705,-560114,630071,59702
39,A089970,에이피티씨,20210702,-573208,640362,61339
40,A089970,에이피티씨,20210701,-586150,644650,69351
41,A089970,에이피티씨,20210630,-634258,684553,83725
42,A089970,에이피티씨,20210629,-620220,650400,98635
43,A089970,에이피티씨,20210628,-556971,598222,86324
44,A089970,에이피티씨,20210625,-550520,573341,105412
45,A089970,에이피티씨,20210624,-592501,580297,141436
46,A089970,에이피티씨,20210623,-626438,597649,155321
47,A089970,에이피티씨,20210622,-640673,606027,160625
48,A089970,에이피티씨,20210621,-640478,600387,155552
49,A089970,에이피티씨,20210618,-669066,611757,147670
50,A089970,에이피티씨,20210617,-689273,622439,152093
51,A089970,에이피티씨,20210616,-685590,621237,150797
52,A089970,에이피티씨,20210615,-670143,610131,148143
53,A089970,에이피티씨,20210614,-669255,611276,148528
54,A089970,에이피티씨,20210611,-676057,618101,148585
55,A089970,에이피티씨,20210610,-672155,620155,145726
56,A089970,에이피티씨,20210609,-663045,614995,141893
57,A089970,에이피티씨,20210608,-638893,611649,120889
58,A089970,에이피티씨,20210607,-648076,613013,128636
59,A089970,에이피티씨,20210604,-630915,582756,141479
60,A089970,에이피티씨,20210603,-778926,707656,168951
61,A089970,에이피티씨,20210602,-664266,522067,222527
62,A089970,에이피티씨,20210601,-673882,505535,228427
63,A089970,에이피티씨,20210531,-669884,499665,230641
64,A089970,에이피티씨,20210528,-681949,511317,230722
65,A089970,에이피티씨,20210527,-691788,520735,231689
66,A089970,에이피티씨,20210526,-680410,480889,259380
67,A089970,에이피티씨,20210525,-665703,462099,263403
68,A089970,에이피티씨,20210524,-614927,407880,268557
69,A089970,에이피티씨,20210521,-583956,374395,273003
70,A089970,에이피티씨,20210520,-572349,354381,282181
71,A089970,에이피티씨,20210518,-567667,342911,290938
72,A089970,에이피티씨,20210517,-575295,347007,293580
