,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A090740,연이비앤티,20210827,85520,715463,-5200
1,A090740,연이비앤티,20210826,149044,652005,-5200
2,A090740,연이비앤티,20210825,33850,770503,-5200
3,A090740,연이비앤티,20210824,67955,736298,-5200
4,A090740,연이비앤티,20210823,154656,649648,-5200
5,A090740,연이비앤티,20210820,230048,574416,-5200
6,A090740,연이비앤티,20210819,308491,494189,-5200
7,A090740,연이비앤티,20210818,279276,494749,-5200
8,A090740,연이비앤티,20210817,365835,411833,-5200
9,A090740,연이비앤티,20210813,427133,354026,-5200
10,A090740,연이비앤티,20210812,447023,334685,-5200
11,A090740,연이비앤티,20210811,514739,265816,-5200
12,A090740,연이비앤티,20210810,603850,180345,-5200
13,A090740,연이비앤티,20210809,719464,66810,-5200
14,A090740,연이비앤티,20210806,749088,36659,-5200
15,A090740,연이비앤티,20210805,661041,125269,-5200
16,A090740,연이비앤티,20210804,710429,80000,-5200
17,A090740,연이비앤티,20210803,716436,66361,-5200
18,A090740,연이비앤티,20210802,670112,113109,-5200
19,A090740,연이비앤티,20210730,776590,7204,-5200
20,A090740,연이비앤티,20210729,707965,84513,-5200
21,A090740,연이비앤티,20210728,729036,64459,-5200
22,A090740,연이비앤티,20210727,703350,90016,-5200
23,A090740,연이비앤티,20210726,748371,52859,-5200
24,A090740,연이비앤티,20210723,766866,35184,-5200
25,A090740,연이비앤티,20210722,733199,35883,-5200
26,A090740,연이비앤티,20210721,736116,35561,-5200
27,A090740,연이비앤티,20210720,736285,31044,-5200
28,A090740,연이비앤티,20210719,719029,41843,-5200
29,A090740,연이비앤티,20210716,628014,30334,-5200
30,A090740,연이비앤티,20210715,608751,50686,-5200
31,A090740,연이비앤티,20210714,582790,58278,-5200
32,A090740,연이비앤티,20210713,525193,40198,-5200
33,A090740,연이비앤티,20210712,481054,53935,-5200
34,A090740,연이비앤티,20210709,481054,53935,-5200
35,A090740,연이비앤티,20210708,481054,53935,-5200
36,A090740,연이비앤티,20210707,414429,133877,-5200
37,A090740,연이비앤티,20210706,386469,171400,-5200
38,A090740,연이비앤티,20210705,501270,56745,-5200
39,A090740,연이비앤티,20210702,533223,49648,-5200
40,A090740,연이비앤티,20210701,543918,46850,-5200
41,A090740,연이비앤티,20210630,538391,52380,-5200
42,A090740,연이비앤티,20210629,196372,358535,-5200
43,A090740,연이비앤티,20210628,298596,282349,-5200
44,A090740,연이비앤티,20210625,514148,79764,-5200
45,A090740,연이비앤티,20210624,535934,58980,-5200
46,A090740,연이비앤티,20210623,529419,65495,-5200
47,A090740,연이비앤티,20210622,502143,87781,-5200
48,A090740,연이비앤티,20210621,476258,113163,-5200
49,A090740,연이비앤티,20210618,462675,131951,-5200
50,A090740,연이비앤티,20210617,566921,34647,-5200
51,A090740,연이비앤티,20210616,574517,33226,-5200
52,A090740,연이비앤티,20210615,532663,80142,-5200
53,A090740,연이비앤티,20210614,569361,51340,-5200
54,A090740,연이비앤티,20210611,558646,65098,-5200
55,A090740,연이비앤티,20210610,558646,65098,-5200
