,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A014440,영보화학,20210827,-60315,67333,-22426
1,A014440,영보화학,20210826,-39167,56840,-32981
2,A014440,영보화학,20210825,-39954,57680,-32982
3,A014440,영보화학,20210824,-33675,51521,-33102
4,A014440,영보화학,20210823,68807,-51863,-33281
5,A014440,영보화학,20210820,-9997,30035,-33209
6,A014440,영보화학,20210819,25391,-3723,-33838
7,A014440,영보화학,20210818,7897,13863,-33930
8,A014440,영보화학,20210817,31735,-7603,-36102
9,A014440,영보화학,20210813,19983,4220,-36116
10,A014440,영보화학,20210812,-4184,28430,-36122
11,A014440,영보화학,20210811,-398,23914,-35392
12,A014440,영보화학,20210810,-4885,31633,-38613
13,A014440,영보화학,20210809,-11214,37881,-38519
14,A014440,영보화학,20210806,-15774,45712,-41727
15,A014440,영보화학,20210805,-21697,51485,-41577
16,A014440,영보화학,20210804,-13427,46436,-44798
17,A014440,영보화학,20210803,-18243,51027,-44773
18,A014440,영보화학,20210802,-29752,66970,-48001
19,A014440,영보화학,20210730,-33994,70067,-47800
20,A014440,영보화학,20210729,-53648,93462,-51041
21,A014440,영보화학,20210728,-72303,112124,-51048
22,A014440,영보화학,20210727,-118216,158141,-51152
23,A014440,영보화학,20210726,-78836,118962,-51335
24,A014440,영보화학,20210723,-50422,90426,-51332
25,A014440,영보화학,20210722,-27201,67208,-51335
26,A014440,영보화학,20210721,9508,30563,-51349
27,A014440,영보화학,20210720,23413,16756,-51342
28,A014440,영보화학,20210719,12698,27467,-51338
29,A014440,영보화학,20210716,-7708,30092,-51329
30,A014440,영보화학,20210715,-7989,30371,-51327
31,A014440,영보화학,20210714,-21475,43666,-51736
32,A014440,영보화학,20210713,-98644,121035,-51739
33,A014440,영보화학,20210712,-66923,89346,-51769
34,A014440,영보화학,20210709,-22136,44555,-51766
35,A014440,영보화학,20210708,-72886,47455,-3814
36,A014440,영보화학,20210707,-53875,28507,-3823
37,A014440,영보화학,20210706,-54971,30132,-3839
38,A014440,영보화학,20210705,-58146,33135,-3857
39,A014440,영보화학,20210702,-3552,-21465,-3883
40,A014440,영보화학,20210701,-12896,-2259,-3916
41,A014440,영보화학,20210630,-21759,6384,-3742
42,A014440,영보화학,20210629,-13530,-1078,-4508
43,A014440,영보화학,20210628,-12966,-1455,-4495
44,A014440,영보화학,20210625,-10212,-4421,-3813
45,A014440,영보화학,20210624,-2114,-8791,-7501
46,A014440,영보화학,20210623,53135,-65616,-13241
47,A014440,영보화학,20210622,62423,-87491,-20818
48,A014440,영보화학,20210621,57509,-58398,-29094
49,A014440,영보화학,20210618,117265,-75133,-28004
50,A014440,영보화학,20210617,-153053,196708,-28475
51,A014440,영보화학,20210616,-142064,185276,-28111
52,A014440,영보화학,20210615,-57738,98045,-28928
53,A014440,영보화학,20210614,-119031,119367,-28904
54,A014440,영보화학,20210611,-102364,102622,-28826
55,A014440,영보화학,20210610,-56726,51292,-28132
56,A014440,영보화학,20210609,-62142,51537,-28232
57,A014440,영보화학,20210608,-55611,33516,-28742
58,A014440,영보화학,20210607,-41754,19632,-28639
59,A014440,영보화학,20210604,-43013,20923,-28644
60,A014440,영보화학,20210603,-42006,18073,-28646
61,A014440,영보화학,20210602,-22430,-5648,-28639
62,A014440,영보화학,20210601,-33,-28134,-28583
63,A014440,영보화학,20210531,14350,-42695,-28418
64,A014440,영보화학,20210528,21963,-48813,-29811
65,A014440,영보화학,20210527,22682,-49247,-30063
66,A014440,영보화학,20210526,9282,-34686,-31363
67,A014440,영보화학,20210525,47423,-48907,-31263
68,A014440,영보화학,20210524,121022,-120667,-29950
69,A014440,영보화학,20210521,77782,-87706,-18191
70,A014440,영보화학,20210520,100777,-121912,-6590
71,A014440,영보화학,20210518,72928,-104049,3373
72,A014440,영보화학,20210517,76278,-106993,3317
73,A014440,영보화학,20210514,23600,-56682,3954
74,A014440,영보화학,20210513,4976,-37565,3699
75,A014440,영보화학,20210512,-1937,-28601,2708
76,A014440,영보화학,20210511,-76232,37946,2671
77,A014440,영보화학,20210510,36438,-59669,2763
78,A014440,영보화학,20210507,-132861,125794,3699
79,A014440,영보화학,20210506,-124456,114958,3656
80,A014440,영보화학,20210504,-102016,96726,1778
81,A014440,영보화학,20210503,-68468,58875,5888
82,A014440,영보화학,20210430,-90695,69699,5834
83,A014440,영보화학,20210429,-172481,156088,6834
84,A014440,영보화학,20210428,-164421,148558,8905
85,A014440,영보화학,20210427,-113504,74580,32832
86,A014440,영보화학,20210426,-162855,152135,8802
87,A014440,영보화학,20210423,-166796,156209,7848
88,A014440,영보화학,20210422,-178896,167504,7830
89,A014440,영보화학,20210421,-165924,155414,7120
90,A014440,영보화학,20210420,-172078,162037,7115
91,A014440,영보화학,20210419,-198246,188558,6900
92,A014440,영보화학,20210416,-181522,167716,9296
93,A014440,영보화학,20210415,-160522,148369,9050
94,A014440,영보화학,20210414,-159302,146349,9450
95,A014440,영보화학,20210413,-159279,146132,9644
96,A014440,영보화학,20210412,-152034,139475,9243
97,A014440,영보화학,20210409,-144468,132098,9410
98,A014440,영보화학,20210408,-135476,121392,9335
99,A014440,영보화학,20210407,-137753,123912,9167
100,A014440,영보화학,20210406,-113708,100159,9201
101,A014440,영보화학,20210405,-137699,124075,9236
102,A014440,영보화학,20210402,-99765,85507,8870
