,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A039200,오스코텍,20210827,-119444,-972129,993734
1,A039200,오스코텍,20210826,-103699,-983423,991140
2,A039200,오스코텍,20210825,-154663,-936113,995581
3,A039200,오스코텍,20210824,-199058,-931622,1035044
4,A039200,오스코텍,20210823,-187390,-751774,841295
5,A039200,오스코텍,20210820,-148977,-748533,779971
6,A039200,오스코텍,20210819,-38718,-750609,674760
7,A039200,오스코텍,20210818,28447,-777645,659521
8,A039200,오스코텍,20210817,103970,-829121,628774
9,A039200,오스코텍,20210813,114100,-842219,623174
10,A039200,오스코텍,20210812,140035,-811548,566425
11,A039200,오스코텍,20210811,399560,-978488,473980
12,A039200,오스코텍,20210810,601034,-1132754,446898
13,A039200,오스코텍,20210809,473529,-1058003,502792
14,A039200,오스코텍,20210806,363631,-989843,548311
15,A039200,오스코텍,20210805,344214,-976519,554218
16,A039200,오스코텍,20210804,398442,-1034730,562262
17,A039200,오스코텍,20210803,348906,-1018742,596281
18,A039200,오스코텍,20210802,299407,-983900,608059
19,A039200,오스코텍,20210730,277792,-951766,605985
20,A039200,오스코텍,20210729,227923,-914887,619037
21,A039200,오스코텍,20210728,202728,-902879,634230
22,A039200,오스코텍,20210727,199219,-882607,627024
23,A039200,오스코텍,20210726,172260,-858554,629420
24,A039200,오스코텍,20210723,146957,-846271,644604
25,A039200,오스코텍,20210722,124081,-819757,639354
26,A039200,오스코텍,20210721,114511,-792546,622320
27,A039200,오스코텍,20210720,122152,-800064,618934
28,A039200,오스코텍,20210719,13552,-764987,695609
29,A039200,오스코텍,20210716,-17549,-754857,713182
30,A039200,오스코텍,20210715,-94962,-701329,739369
31,A039200,오스코텍,20210714,-152445,-668582,765048
32,A039200,오스코텍,20210713,-191705,-641472,776236
33,A039200,오스코텍,20210712,-406924,-566327,908329
34,A039200,오스코텍,20210709,-445268,-522797,905352
35,A039200,오스코텍,20210708,-539472,-502043,944350
36,A039200,오스코텍,20210707,-690946,-433870,1011552
37,A039200,오스코텍,20210706,-719766,-418934,1032462
38,A039200,오스코텍,20210705,-860151,-232061,992198
39,A039200,오스코텍,20210702,-828523,-186574,920482
40,A039200,오스코텍,20210701,-800039,-147349,851487
41,A039200,오스코텍,20210630,-639864,-134639,672518
42,A039200,오스코텍,20210629,-503280,-165366,575185
43,A039200,오스코텍,20210628,-457183,-221091,578437
44,A039200,오스코텍,20210625,-166679,-490352,550736
45,A039200,오스코텍,20210624,-202874,-482293,568723
46,A039200,오스코텍,20210623,-289033,-409308,585453
47,A039200,오스코텍,20210622,-227110,-472216,579957
