,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A019210,와이지-원,20210827,-872798,-57959,929601
1,A019210,와이지-원,20210826,-844131,-97441,924894
2,A019210,와이지-원,20210825,-811373,-127917,922498
3,A019210,와이지-원,20210824,-822252,-117012,922498
4,A019210,와이지-원,20210823,-789237,-151800,924489
5,A019210,와이지-원,20210820,-714895,-231790,931069
6,A019210,와이지-원,20210819,-694894,-233117,935678
7,A019210,와이지-원,20210818,-775863,-121922,935639
8,A019210,와이지-원,20210817,-690500,-178410,932900
9,A019210,와이지-원,20210813,-757694,-110698,932400
10,A019210,와이지-원,20210812,-799573,-59400,922082
11,A019210,와이지-원,20210811,-717817,-139485,921621
12,A019210,와이지-원,20210810,-762427,-93679,920436
13,A019210,와이지-원,20210809,-673892,-168494,906200
14,A019210,와이지-원,20210806,-703577,-142301,912262
15,A019210,와이지-원,20210805,-669748,-167990,905946
16,A019210,와이지-원,20210804,-654225,-177782,906770
17,A019210,와이지-원,20210803,-642909,-197495,920425
18,A019210,와이지-원,20210802,-674772,-163362,918173
19,A019210,와이지-원,20210730,-708098,-132159,918692
20,A019210,와이지-원,20210729,-720960,-100976,895610
21,A019210,와이지-원,20210728,-622498,-165935,861909
22,A019210,와이지-원,20210727,-602086,-189541,869376
23,A019210,와이지-원,20210726,-591112,-215035,883634
24,A019210,와이지-원,20210723,-582745,-221661,882229
25,A019210,와이지-원,20210722,-569290,-225933,874893
26,A019210,와이지-원,20210721,-556332,-219349,855206
27,A019210,와이지-원,20210720,-546128,-230291,856807
28,A019210,와이지-원,20210719,-594559,-272179,947019
29,A019210,와이지-원,20210716,-648885,-248773,977274
30,A019210,와이지-원,20210715,-678010,-239338,996793
31,A019210,와이지-원,20210714,-689087,-240313,1009417
32,A019210,와이지-원,20210713,-690302,-238857,1009017
33,A019210,와이지-원,20210712,-699920,-237966,1017945
34,A019210,와이지-원,20210709,-685416,-228901,993383
35,A019210,와이지-원,20210708,-672524,-252620,1004707
36,A019210,와이지-원,20210707,-670394,-260868,1004833
37,A019210,와이지-원,20210706,-685342,-247865,1002833
38,A019210,와이지-원,20210705,-683588,-252376,1004929
39,A019210,와이지-원,20210702,-727165,-207731,1003897
40,A019210,와이지-원,20210701,-643354,-305202,1008361
41,A019210,와이지-원,20210630,-694286,-293072,1047567
42,A019210,와이지-원,20210629,-691289,-296307,1047631
43,A019210,와이지-원,20210628,-740809,-262820,1060791
44,A019210,와이지-원,20210625,-775630,-248228,1078038
45,A019210,와이지-원,20210624,-768803,-254010,1076991
46,A019210,와이지-원,20210623,-758398,-253008,1063581
47,A019210,와이지-원,20210622,-810047,-204792,1063589
48,A019210,와이지-원,20210621,-814413,-200829,1064388
49,A019210,와이지-원,20210618,-742736,-183363,972540
50,A019210,와이지-원,20210617,-772215,-153406,970379
51,A019210,와이지-원,20210616,-762613,-135947,943570
52,A019210,와이지-원,20210615,-818387,-92635,954381
53,A019210,와이지-원,20210614,-736436,-143447,924606
