,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,°³ÀÎ ¼ø¸Å¼ö,¿Ü±¹ÀÎ ¼ø¸Å¼ö,±â°ü ¼ø¸Å¼ö
0,A008370,¿øÇ³,20210827,659191,126269,1698
1,A008370,¿øÇ³,20210826,659982,125496,1698
2,A008370,¿øÇ³,20210825,649862,133724,3392
3,A008370,¿øÇ³,20210824,638674,145141,3392
4,A008370,¿øÇ³,20210823,657410,126407,3392
5,A008370,¿øÇ³,20210820,696111,91222,-124
6,A008370,¿øÇ³,20210819,717513,69866,-124
7,A008370,¿øÇ³,20210818,717501,69923,-124
8,A008370,¿øÇ³,20210817,732777,54647,-124
9,A008370,¿øÇ³,20210813,742252,50752,-5639
10,A008370,¿øÇ³,20210812,755503,37173,-5639
11,A008370,¿øÇ³,20210811,756766,35918,-5639
12,A008370,¿øÇ³,20210810,753758,38942,-5639
13,A008370,¿øÇ³,20210809,735390,57426,-5639
14,A008370,¿øÇ³,20210806,708990,83934,-5639
15,A008370,¿øÇ³,20210805,697699,95185,-5639
16,A008370,¿øÇ³,20210804,705923,86961,-5639
17,A008370,¿øÇ³,20210803,707598,85386,-5639
18,A008370,¿øÇ³,20210802,702351,90557,-5639
19,A008370,¿øÇ³,20210730,693560,99424,-5639
20,A008370,¿øÇ³,20210729,709476,83484,-5639
21,A008370,¿øÇ³,20210728,717224,75656,-5639
22,A008370,¿øÇ³,20210727,705760,87234,-5639
23,A008370,¿øÇ³,20210726,740169,53203,-5639
24,A008370,¿øÇ³,20210723,747792,45580,-5639
25,A008370,¿øÇ³,20210722,767353,24470,-5639
26,A008370,¿øÇ³,20210721,793367,-168,-5639
27,A008370,¿øÇ³,20210720,798667,-5460,-5639
28,A008370,¿øÇ³,20210719,812685,-18458,-7409
29,A008370,¿øÇ³,20210716,801873,-5657,-9141
30,A008370,¿øÇ³,20210715,800188,-3942,-9141
31,A008370,¿øÇ³,20210714,815740,-19484,-9141
32,A008370,¿øÇ³,20210713,804590,-8258,-9141
33,A008370,¿øÇ³,20210712,808742,-12410,-9141
34,A008370,¿øÇ³,20210709,820596,-24264,-9141
35,A008370,¿øÇ³,20210708,848697,-52309,-9141
36,A008370,¿øÇ³,20210707,834250,-37844,-9141
37,A008370,¿øÇ³,20210706,822926,-27912,-9141
38,A008370,¿øÇ³,20210705,826710,-31664,-9141
39,A008370,¿øÇ³,20210702,817636,-22690,-9141
40,A008370,¿øÇ³,20210701,807989,-13035,-9141
41,A008370,¿øÇ³,20210630,803361,-8542,-9141
42,A008370,¿øÇ³,20210629,805723,-10296,-9141
43,A008370,¿øÇ³,20210628,798761,-3055,-9141
44,A008370,¿øÇ³,20210625,803321,-7251,-9141
45,A008370,¿øÇ³,20210624,766972,27111,-9141
46,A008370,¿øÇ³,20210623,828955,-32028,-9141
47,A008370,¿øÇ³,20210622,796667,-19,-9141
48,A008370,¿øÇ³,20210621,807088,-10270,-9141
49,A008370,¿øÇ³,20210618,808727,-11523,-9141
50,A008370,¿øÇ³,20210617,757950,38024,-9141
51,A008370,¿øÇ³,20210616,785991,10917,-9141
52,A008370,¿øÇ³,20210615,792494,4765,-9141
53,A008370,¿øÇ³,20210614,797641,-243,-9141
54,A008370,¿øÇ³,20210611,789600,7851,-9141
55,A008370,¿øÇ³,20210610,786003,5546,-9141
56,A008370,¿øÇ³,20210609,786167,4522,-9141
57,A008370,¿øÇ³,20210608,781294,9108,-9141
58,A008370,¿øÇ³,20210607,704956,84202,-9141
59,A008370,¿øÇ³,20210604,717170,71895,-9141
60,A008370,¿øÇ³,20210603,731215,57003,-9141
61,A008370,¿øÇ³,20210602,664730,123441,-9141
62,A008370,¿øÇ³,20210601,665047,115139,-9141
63,A008370,¿øÇ³,20210531,636722,142098,-9141
64,A008370,¿øÇ³,20210528,677888,103423,-9141
65,A008370,¿øÇ³,20210527,702622,78059,-9141
66,A008370,¿øÇ³,20210526,709085,69784,-9141
67,A008370,¿øÇ³,20210525,706065,73857,-9141
68,A008370,¿øÇ³,20210524,811504,-31955,-9141
69,A008370,¿øÇ³,20210521,806351,-32017,-6027
70,A008370,¿øÇ³,20210520,828620,-57404,-2927
71,A008370,¿øÇ³,20210518,798818,-30183,-277
72,A008370,¿øÇ³,20210517,790915,-19899,-277
73,A008370,¿øÇ³,20210514,754620,16259,-277
74,A008370,¿øÇ³,20210513,787131,-16219,-277
75,A008370,¿øÇ³,20210512,776738,-5524,-277
76,A008370,¿øÇ³,20210511,739668,29552,1738
77,A008370,¿øÇ³,20210510,744343,24894,1738
78,A008370,¿øÇ³,20210507,742709,26345,1738
79,A008370,¿øÇ³,20210506,729442,38458,1738
80,A008370,¿øÇ³,20210504,712796,56208,1217
81,A008370,¿øÇ³,20210503,735825,30063,4965
82,A008370,¿øÇ³,20210430,760735,5306,4965
83,A008370,¿øÇ³,20210429,796759,-30782,4222
84,A008370,¿øÇ³,20210428,814299,-48992,4222
85,A008370,¿øÇ³,20210427,825331,-60042,4222
86,A008370,¿øÇ³,20210426,851867,-86419,2892
87,A008370,¿øÇ³,20210423,834507,-71413,2892
88,A008370,¿øÇ³,20210422,833702,-70550,2892
89,A008370,¿øÇ³,20210421,826135,-62624,2892
90,A008370,¿øÇ³,20210420,832213,-68082,2892
91,A008370,¿øÇ³,20210419,862558,-98401,2892
92,A008370,¿øÇ³,20210416,797637,-29908,2892
93,A008370,¿øÇ³,20210415,828565,-60251,2892
94,A008370,¿øÇ³,20210414,804264,-36570,4229
95,A008370,¿øÇ³,20210413,820176,-52457,4229
96,A008370,¿øÇ³,20210412,832774,-56202,5243
97,A008370,¿øÇ³,20210409,823173,-50148,5243
98,A008370,¿øÇ³,20210408,847787,-73697,3906
99,A008370,¿øÇ³,20210407,869534,-90431,2892
100,A008370,¿øÇ³,20210406,838798,-59853,2892
101,A008370,¿øÇ³,20210405,835055,-60468,2892
102,A008370,¿øÇ³,20210402,807152,-57726,29633
103,A008370,¿øÇ³,20210401,865164,-85350,-856
104,A008370,¿øÇ³,20210331,837897,-59974,-856
105,A008370,¿øÇ³,20210330,891153,-54987,6551
106,A008370,¿øÇ³,20210329,925458,-74987,-856
107,A008370,¿øÇ³,20210326,912648,-63948,-856
108,A008370,¿øÇ³,20210325,908408,-59695,-856
109,A008370,¿øÇ³,20210324,798038,16498,-856
110,A008370,¿øÇ³,20210323,883063,-34109,-856
111,A008370,¿øÇ³,20210322,875601,-26741,-856
112,A008370,¿øÇ³,20210319,889604,-40896,-856
113,A008370,¿øÇ³,20210318,917552,-68059,-856
114,A008370,¿øÇ³,20210317,914168,-64599,-856
115,A008370,¿øÇ³,20210316,874729,-27710,-856
116,A008370,¿øÇ³,20210315,722265,110925,-856
117,A008370,¿øÇ³,20210312,591738,255606,-856
118,A008370,¿øÇ³,20210311,27259,-24756,-856
