,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,°³ÀÎ ¼ø¸Å¼ö,¿Ü±¹ÀÎ ¼ø¸Å¼ö,±â°ü ¼ø¸Å¼ö
0,A313760,Àª¸µ½º,20210827,-110392,107620,-1151
1,A313760,Àª¸µ½º,20210826,-83866,81147,-1151
2,A313760,Àª¸µ½º,20210825,-74751,71917,-1151
3,A313760,Àª¸µ½º,20210824,-81080,75811,-1151
4,A313760,Àª¸µ½º,20210823,-65931,59904,-1151
5,A313760,Àª¸µ½º,20210820,-56789,49737,-1151
6,A313760,Àª¸µ½º,20210819,-55933,48881,-1151
7,A313760,Àª¸µ½º,20210818,-66860,57508,649
8,A313760,Àª¸µ½º,20210817,-68672,57520,1249
9,A313760,Àª¸µ½º,20210813,-69368,58201,1249
10,A313760,Àª¸µ½º,20210812,-67096,55624,1249
11,A313760,Àª¸µ½º,20210811,-34312,37037,1249
12,A313760,Àª¸µ½º,20210810,-25902,29927,1249
13,A313760,Àª¸µ½º,20210809,-17565,21590,1249
14,A313760,Àª¸µ½º,20210806,-13881,17755,1249
15,A313760,Àª¸µ½º,20210805,-18358,20416,3049
16,A313760,Àª¸µ½º,20210804,-3185,4964,3049
17,A313760,Àª¸µ½º,20210803,-579,1956,3049
18,A313760,Àª¸µ½º,20210802,5284,-2687,3049
19,A313760,Àª¸µ½º,20210730,10470,-7873,3049
20,A313760,Àª¸µ½º,20210729,25391,-22902,3049
21,A313760,Àª¸µ½º,20210728,27609,-26708,3049
22,A313760,Àª¸µ½º,20210727,24740,-24867,3749
23,A313760,Àª¸µ½º,20210726,20959,-21271,3749
24,A313760,Àª¸µ½º,20210723,21837,-22595,3749
25,A313760,Àª¸µ½º,20210722,25938,-30400,3749
26,A313760,Àª¸µ½º,20210721,25482,-25988,4249
27,A313760,Àª¸µ½º,20210720,28524,-29041,4249
28,A313760,Àª¸µ½º,20210719,22598,-23740,4949
29,A313760,Àª¸µ½º,20210716,22370,-23512,4949
30,A313760,Àª¸µ½º,20210715,22351,-23493,4949
31,A313760,Àª¸µ½º,20210714,22621,-23763,4949
32,A313760,Àª¸µ½º,20210713,22482,-23624,4949
33,A313760,Àª¸µ½º,20210712,23527,-24669,4949
34,A313760,Àª¸µ½º,20210709,23819,-24972,4949
35,A313760,Àª¸µ½º,20210708,23499,-24652,4949
36,A313760,Àª¸µ½º,20210707,22059,-23212,4949
37,A313760,Àª¸µ½º,20210706,21315,-22469,4949
38,A313760,Àª¸µ½º,20210705,23742,-24952,4949
39,A313760,Àª¸µ½º,20210702,23918,-25118,4949
40,A313760,Àª¸µ½º,20210701,24585,-25785,4949
41,A313760,Àª¸µ½º,20210630,25064,-26207,4949
42,A313760,Àª¸µ½º,20210629,25989,-27131,4949
43,A313760,Àª¸µ½º,20210628,25929,-27071,4949
44,A313760,Àª¸µ½º,20210625,25999,-27141,4949
45,A313760,Àª¸µ½º,20210624,26189,-27331,4949
46,A313760,Àª¸µ½º,20210623,25600,-26742,4949
47,A313760,Àª¸µ½º,20210622,25565,-26707,4949
