,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A373340,유진스팩6호,20210827,1854841,20567,-1906465
1,A373340,유진스팩6호,20210826,1855860,20073,-1906465
2,A373340,유진스팩6호,20210825,1845947,30097,-1906465
3,A373340,유진스팩6호,20210824,1854524,11175,-1905341
4,A373340,유진스팩6호,20210823,1872269,3212,-1904217
5,A373340,유진스팩6호,20210820,1876336,2069,-1906465
6,A373340,유진스팩6호,20210819,1887946,1587,-1911465
7,A373340,유진스팩6호,20210818,1880540,8759,-1911465
8,A373340,유진스팩6호,20210817,1885637,4630,-1912965
9,A373340,유진스팩6호,20210813,1870559,13937,-1912965
10,A373340,유진스팩6호,20210812,1869315,14907,-1912965
11,A373340,유진스팩6호,20210811,1881396,7613,-1912965
12,A373340,유진스팩6호,20210810,1886647,2407,-1912965
13,A373340,유진스팩6호,20210809,1885426,3743,-1912965
14,A373340,유진스팩6호,20210806,1895077,2303,-1912965
15,A373340,유진스팩6호,20210805,1883468,15980,-1912965
16,A373340,유진스팩6호,20210804,1895006,7721,-1912965
17,A373340,유진스팩6호,20210803,1889847,11369,-1912965
18,A373340,유진스팩6호,20210802,1889598,5845,-1912965
19,A373340,유진스팩6호,20210730,1888636,8387,-1912965
20,A373340,유진스팩6호,20210729,1894055,2887,-1912965
21,A373340,유진스팩6호,20210728,1891057,5902,-1912965
22,A373340,유진스팩6호,20210727,1900395,557,-1912965
23,A373340,유진스팩6호,20210726,1895589,7583,-1912965
24,A373340,유진스팩6호,20210723,1898920,5593,-1912965
25,A373340,유진스팩6호,20210722,1899946,5882,-1912965
26,A373340,유진스팩6호,20210721,1900450,4749,-1912965
27,A373340,유진스팩6호,20210720,1887282,10695,-1912965
28,A373340,유진스팩6호,20210719,1910389,-613,-1912965
29,A373340,유진스팩6호,20210716,1915876,-446,-1912965
30,A373340,유진스팩6호,20210715,1908663,5220,-1912965
31,A373340,유진스팩6호,20210714,1910719,2026,-1912965
32,A373340,유진스팩6호,20210713,1905158,10536,-1912965
33,A373340,유진스팩6호,20210712,1920948,6535,-1912965
34,A373340,유진스팩6호,20210709,1904916,17801,-1912965
35,A373340,유진스팩6호,20210708,1916830,5900,-1912965
36,A373340,유진스팩6호,20210707,1916853,7442,-1912965
37,A373340,유진스팩6호,20210706,1919128,14130,-1912965
38,A373340,유진스팩6호,20210705,1925372,4748,-1912924
39,A373340,유진스팩6호,20210702,1876414,17404,-1891128
40,A373340,유진스팩6호,20210701,1870537,15335,-1885472
41,A373340,유진스팩6호,20210630,1897254,3493,-1902465
42,A373340,유진스팩6호,20210629,1850655,50918,-1895472
43,A373340,유진스팩6호,20210628,1883289,8039,-1902465
44,A373340,유진스팩6호,20210625,1892527,7674,-1902465
45,A373340,유진스팩6호,20210624,1900578,10062,-1902465
46,A373340,유진스팩6호,20210623,1902098,9272,-1902465
47,A373340,유진스팩6호,20210622,1899307,8608,-1899465
48,A373340,유진스팩6호,20210621,1891424,8608,-1899465
49,A373340,유진스팩6호,20210618,1872815,17190,-1885753
50,A373340,유진스팩6호,20210617,1894905,-800,-1883065
51,A373340,유진스팩6호,20210616,1885641,2713,-1883065
52,A373340,유진스팩6호,20210615,1889029,-800,-1883065
53,A373340,유진스팩6호,20210614,1890097,4113,-1883065
54,A373340,유진스팩6호,20210611,1900971,212,-1882585
55,A373340,유진스팩6호,20210610,1901191,693,-1882585
56,A373340,유진스팩6호,20210609,1902801,-800,-1882585
57,A373340,유진스팩6호,20210608,1902056,-800,-1882585
58,A373340,유진스팩6호,20210607,1885600,-617,-1882585
59,A373340,유진스팩6호,20210604,1886027,-800,-1882585
60,A373340,유진스팩6호,20210603,1883504,-800,-1882585
61,A373340,유진스팩6호,20210602,1880856,2754,-1882585
62,A373340,유진스팩6호,20210601,1878651,975,-1879566
63,A373340,유진스팩6호,20210531,1832893,4101,-1856649
64,A373340,유진스팩6호,20210528,1796969,-800,-1800418
65,A373340,유진스팩6호,20210527,1747786,1708,-1756122
66,A373340,유진스팩6호,20210526,1639322,-161,-1653582
67,A373340,유진스팩6호,20210525,1453445,31971,-1505042
68,A373340,유진스팩6호,20210524,1475421,31644,-1527142
69,A373340,유진스팩6호,20210521,1473564,24332,-1522142
70,A373340,유진스팩6호,20210520,1478467,24429,-1527142
71,A373340,유진스팩6호,20210518,1467676,25018,-1517642
72,A373340,유진스팩6호,20210517,1480676,25018,-1527642
73,A373340,유진스팩6호,20210514,1487735,22679,-1532642
74,A373340,유진스팩6호,20210513,1476393,20999,-1518742
75,A373340,유진스팩6호,20210512,1478616,22007,-1521521
76,A373340,유진스팩6호,20210511,1474223,27400,-1521521
77,A373340,유진스팩6호,20210510,1460420,19871,-1500190
78,A373340,유진스팩6호,20210507,1453094,9680,-1482721
79,A373340,유진스팩6호,20210506,1471710,-798,-1491388
80,A373340,유진스팩6호,20210504,1502952,1241,-1517388
81,A373340,유진스팩6호,20210503,1471511,9226,-1492405
82,A373340,유진스팩6호,20210430,1392961,3521,-1412979
83,A373340,유진스팩6호,20210429,846525,26603,-894874
84,A373340,유진스팩6호,20210428,835109,27400,-894872
