,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A000105,유한양행우,20210827,10157,-10246,-395
1,A000105,유한양행우,20210826,10157,-10246,-395
2,A000105,유한양행우,20210825,10157,-10246,-395
3,A000105,유한양행우,20210824,10160,-10246,-395
4,A000105,유한양행우,20210823,10160,-10246,-395
5,A000105,유한양행우,20210820,10160,-10246,-395
6,A000105,유한양행우,20210819,10160,-10246,-395
7,A000105,유한양행우,20210818,10160,-10246,-395
8,A000105,유한양행우,20210817,10160,-10246,-395
9,A000105,유한양행우,20210813,10160,-10246,-395
10,A000105,유한양행우,20210812,10160,-10246,-395
11,A000105,유한양행우,20210811,10160,-10246,-395
12,A000105,유한양행우,20210810,10160,-10246,-395
13,A000105,유한양행우,20210809,10160,-10246,-395
14,A000105,유한양행우,20210806,10160,-10246,-395
15,A000105,유한양행우,20210805,10160,-10246,-395
16,A000105,유한양행우,20210804,10160,-10246,-395
17,A000105,유한양행우,20210803,10160,-10246,-395
18,A000105,유한양행우,20210802,10159,-10246,-395
19,A000105,유한양행우,20210730,10124,-10211,-395
20,A000105,유한양행우,20210729,10124,-10211,-395
21,A000105,유한양행우,20210728,10124,-10211,-395
22,A000105,유한양행우,20210727,10124,-10211,-395
23,A000105,유한양행우,20210726,10125,-10212,-395
24,A000105,유한양행우,20210723,10125,-10212,-395
25,A000105,유한양행우,20210722,10126,-10212,-395
26,A000105,유한양행우,20210721,10127,-10213,-395
27,A000105,유한양행우,20210720,10127,-10213,-395
28,A000105,유한양행우,20210719,10127,-10213,-395
29,A000105,유한양행우,20210716,10127,-10213,-395
30,A000105,유한양행우,20210715,10094,-10180,-395
31,A000105,유한양행우,20210714,10060,-10146,-395
32,A000105,유한양행우,20210713,10060,-10146,-395
33,A000105,유한양행우,20210712,10060,-10146,-395
34,A000105,유한양행우,20210709,10060,-10146,-395
35,A000105,유한양행우,20210708,10060,-10146,-395
36,A000105,유한양행우,20210707,10060,-10146,-395
37,A000105,유한양행우,20210706,10059,-10146,-395
38,A000105,유한양행우,20210705,10008,-10146,-395
39,A000105,유한양행우,20210702,9988,-10146,-395
40,A000105,유한양행우,20210701,9988,-10146,-395
41,A000105,유한양행우,20210630,9978,-10146,-395
42,A000105,유한양행우,20210629,9894,-10131,-395
43,A000105,유한양행우,20210628,9894,-10131,-395
44,A000105,유한양행우,20210625,9894,-10131,-395
45,A000105,유한양행우,20210624,9894,-10131,-395
46,A000105,유한양행우,20210623,9894,-10131,-395
47,A000105,유한양행우,20210622,9830,-10078,-395
48,A000105,유한양행우,20210621,9830,-10078,-395
49,A000105,유한양행우,20210618,9799,-10041,-401
50,A000105,유한양행우,20210617,9750,-9992,-401
