,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A302430,이노메트리,20210827,174857,6457,-156488
1,A302430,이노메트리,20210826,179744,2119,-157522
2,A302430,이노메트리,20210825,181307,3204,-160075
3,A302430,이노메트리,20210824,180570,5950,-162138
4,A302430,이노메트리,20210823,191531,-1269,-166104
5,A302430,이노메트리,20210820,196653,-3417,-168892
6,A302430,이노메트리,20210819,197951,-282,-173187
7,A302430,이노메트리,20210818,201733,-2014,-175164
8,A302430,이노메트리,20210817,212094,-7607,-180145
9,A302430,이노메트리,20210813,217658,-5684,-187519
10,A302430,이노메트리,20210812,211522,1471,-188629
11,A302430,이노메트리,20210811,186870,20004,-181919
12,A302430,이노메트리,20210810,205054,3458,-183450
13,A302430,이노메트리,20210809,198434,8047,-182325
14,A302430,이노메트리,20210806,191674,4706,-172226
15,A302430,이노메트리,20210805,190378,6717,-172885
16,A302430,이노메트리,20210804,193806,3874,-173470
17,A302430,이노메트리,20210803,196254,3384,-175428
18,A302430,이노메트리,20210802,196634,3448,-175872
19,A302430,이노메트리,20210730,198838,3379,-178006
20,A302430,이노메트리,20210729,200442,3528,-179758
21,A302430,이노메트리,20210728,200317,5025,-181130
22,A302430,이노메트리,20210727,197616,2665,-182393
23,A302430,이노메트리,20210726,197490,4360,-183961
24,A302430,이노메트리,20210723,191202,9823,-183136
25,A302430,이노메트리,20210722,194742,7785,-184638
26,A302430,이노메트리,20210721,193818,10661,-186584
27,A302430,이노메트리,20210720,189430,18347,-189892
28,A302430,이노메트리,20210719,190010,21994,-194156
29,A302430,이노메트리,20210716,191754,20813,-196068
30,A302430,이노메트리,20210715,197193,15646,-197180
31,A302430,이노메트리,20210714,193118,12671,-193365
32,A302430,이노메트리,20210713,182347,10631,-181179
33,A302430,이노메트리,20210712,157894,4943,-150947
34,A302430,이노메트리,20210709,150935,1598,-140583
35,A302430,이노메트리,20210708,142096,394,-130490
36,A302430,이노메트리,20210707,129958,1725,-120082
37,A302430,이노메트리,20210706,110073,2941,-101433
38,A302430,이노메트리,20210705,102868,3472,-94727
39,A302430,이노메트리,20210702,93791,3683,-89762
40,A302430,이노메트리,20210701,100632,-439,-86960
41,A302430,이노메트리,20210630,91588,5497,-82440
42,A302430,이노메트리,20210629,93216,3025,-81649
43,A302430,이노메트리,20210628,93600,3836,-82121
44,A302430,이노메트리,20210625,100756,2623,-81902
45,A302430,이노메트리,20210624,101500,378,-80716
46,A302430,이노메트리,20210623,90303,-1849,-67108
47,A302430,이노메트리,20210622,83301,1814,-63713
48,A302430,이노메트리,20210621,85057,873,-64528
49,A302430,이노메트리,20210618,77460,6457,-64503
50,A302430,이노메트리,20210617,72479,9447,-62597
51,A302430,이노메트리,20210616,71960,9264,-61715
52,A302430,이노메트리,20210615,73706,8558,-61497
53,A302430,이노메트리,20210614,69501,12008,-60742
54,A302430,이노메트리,20210611,67120,14843,-61196
55,A302430,이노메트리,20210610,71584,7867,-59140
56,A302430,이노메트리,20210609,70651,8721,-57679
57,A302430,이노메트리,20210608,70330,8638,-57949
58,A302430,이노메트리,20210607,71616,7767,-58364
59,A302430,이노메트리,20210604,72315,7259,-58753
60,A302430,이노메트리,20210603,71874,7948,-59001
61,A302430,이노메트리,20210602,74216,5675,-58970
62,A302430,이노메트리,20210601,70183,6971,-59144
63,A302430,이노메트리,20210531,69595,7835,-59420
64,A302430,이노메트리,20210528,69178,7530,-58698
65,A302430,이노메트리,20210527,70080,7293,-59363
66,A302430,이노메트리,20210526,69551,7917,-59508
67,A302430,이노메트리,20210525,64453,9317,-55784
68,A302430,이노메트리,20210524,66222,7974,-56210
69,A302430,이노메트리,20210521,64368,10364,-56781
70,A302430,이노메트리,20210520,61385,11469,-54902
71,A302430,이노메트리,20210518,58230,10654,-55072
72,A302430,이노메트리,20210517,47947,10043,-49643
73,A302430,이노메트리,20210514,34040,8417,-37559
74,A302430,이노메트리,20210513,34508,7631,-37941
75,A302430,이노메트리,20210512,26515,6532,-28844
76,A302430,이노메트리,20210511,23880,7800,-27689
77,A302430,이노메트리,20210510,20681,8270,-24960
78,A302430,이노메트리,20210507,21703,7167,-24879
79,A302430,이노메트리,20210506,20790,6954,-23698
80,A302430,이노메트리,20210504,19702,6625,-22281
81,A302430,이노메트리,20210503,24316,6405,-27005
82,A302430,이노메트리,20210430,26964,5653,-28711
83,A302430,이노메트리,20210429,27614,6656,-30556
84,A302430,이노메트리,20210428,28121,5818,-30225
85,A302430,이노메트리,20210427,27464,10033,-33683
86,A302430,이노메트리,20210426,23479,12645,-32141
87,A302430,이노메트리,20210423,17175,16893,-29910
88,A302430,이노메트리,20210422,32241,1377,-29718
89,A302430,이노메트리,20210421,32609,-379,-28360
90,A302430,이노메트리,20210420,29163,4920,-30413
91,A302430,이노메트리,20210419,36711,-1696,-31145
92,A302430,이노메트리,20210416,44166,-8462,-31234
93,A302430,이노메트리,20210415,45571,-10044,-30937
94,A302430,이노메트리,20210414,50443,-15275,-30598
95,A302430,이노메트리,20210413,35185,-14472,-16108
96,A302430,이노메트리,20210412,34591,-18356,-13010
97,A302430,이노메트리,20210409,10413,-1839,-4157
98,A302430,이노메트리,20210408,5281,-2122,-3992
99,A302430,이노메트리,20210407,5869,-1278,-5359
100,A302430,이노메트리,20210406,5706,-1617,-5357
101,A302430,이노메트리,20210405,7815,-3043,-6040
102,A302430,이노메트리,20210402,9052,-4047,-6391
103,A302430,이노메트리,20210401,8976,-4981,-5461
104,A302430,이노메트리,20210331,9535,-6252,-4751
105,A302430,이노메트리,20210330,9549,-6079,-4838
106,A302430,이노메트리,20210329,10981,-8026,-4273
107,A302430,이노메트리,20210326,7154,-5550,-2875
108,A302430,이노메트리,20210325,7740,-6367,-2361
109,A302430,이노메트리,20210324,9988,-8300,-2674
110,A302430,이노메트리,20210323,11910,-10336,-2560
111,A302430,이노메트리,20210322,6911,-5181,-2716
112,A302430,이노메트리,20210319,4587,-2496,-2847
113,A302430,이노메트리,20210318,-3999,-1838,5857
114,A302430,이노메트리,20210317,-3588,-1870,5483
115,A302430,이노메트리,20210316,228,488,-691
116,A302430,이노메트리,20210315,-2550,-804,3379
117,A302430,이노메트리,20210312,-1957,-603,2560
118,A302430,이노메트리,20210311,-2076,1013,1063
