,¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,∞≥¿Œ º¯∏≈ºˆ,ø‹±π¿Œ º¯∏≈ºˆ,±‚∞¸ º¯∏≈ºˆ
0,A279060,¿Ã≥Î∫§Ω∫,20210827,24226,-2450,-13353
1,A279060,¿Ã≥Î∫§Ω∫,20210826,24234,-2450,-13353
2,A279060,¿Ã≥Î∫§Ω∫,20210825,24234,-2450,-13353
3,A279060,¿Ã≥Î∫§Ω∫,20210824,24234,-2450,-13353
4,A279060,¿Ã≥Î∫§Ω∫,20210823,24234,-2450,-13353
5,A279060,¿Ã≥Î∫§Ω∫,20210820,24234,-2450,-13353
6,A279060,¿Ã≥Î∫§Ω∫,20210819,24134,-2450,-13353
7,A279060,¿Ã≥Î∫§Ω∫,20210818,24281,-2450,-13473
8,A279060,¿Ã≥Î∫§Ω∫,20210817,25437,-2450,-14473
9,A279060,¿Ã≥Î∫§Ω∫,20210813,25437,-2450,-14473
10,A279060,¿Ã≥Î∫§Ω∫,20210812,25437,-2450,-14473
11,A279060,¿Ã≥Î∫§Ω∫,20210811,25437,-2450,-14473
12,A279060,¿Ã≥Î∫§Ω∫,20210810,25437,-2450,-14473
13,A279060,¿Ã≥Î∫§Ω∫,20210809,25557,-2450,-14473
14,A279060,¿Ã≥Î∫§Ω∫,20210806,25814,-2450,-14473
15,A279060,¿Ã≥Î∫§Ω∫,20210805,25820,-2450,-14473
16,A279060,¿Ã≥Î∫§Ω∫,20210804,25920,-2450,-14473
17,A279060,¿Ã≥Î∫§Ω∫,20210803,25972,-2450,-14473
18,A279060,¿Ã≥Î∫§Ω∫,20210802,25972,-2450,-14473
19,A279060,¿Ã≥Î∫§Ω∫,20210730,25972,-2450,-14473
20,A279060,¿Ã≥Î∫§Ω∫,20210729,25972,-2450,-14473
21,A279060,¿Ã≥Î∫§Ω∫,20210728,25972,-2450,-14473
22,A279060,¿Ã≥Î∫§Ω∫,20210727,25972,-2450,-14473
23,A279060,¿Ã≥Î∫§Ω∫,20210726,25972,-2450,-14473
24,A279060,¿Ã≥Î∫§Ω∫,20210723,25972,-2450,-14473
25,A279060,¿Ã≥Î∫§Ω∫,20210722,25972,-2450,-14473
26,A279060,¿Ã≥Î∫§Ω∫,20210721,25972,-2450,-14473
27,A279060,¿Ã≥Î∫§Ω∫,20210720,25972,-2450,-14473
28,A279060,¿Ã≥Î∫§Ω∫,20210719,25972,-2450,-14473
29,A279060,¿Ã≥Î∫§Ω∫,20210716,25972,-2450,-14473
30,A279060,¿Ã≥Î∫§Ω∫,20210715,25972,-2450,-14473
31,A279060,¿Ã≥Î∫§Ω∫,20210714,25972,-2450,-14473
32,A279060,¿Ã≥Î∫§Ω∫,20210713,25972,-2450,-14473
33,A279060,¿Ã≥Î∫§Ω∫,20210712,25972,-2450,-14473
34,A279060,¿Ã≥Î∫§Ω∫,20210709,25972,-2450,-14473
35,A279060,¿Ã≥Î∫§Ω∫,20210708,25972,-2450,-14473
36,A279060,¿Ã≥Î∫§Ω∫,20210707,25972,-2450,-14473
37,A279060,¿Ã≥Î∫§Ω∫,20210706,25972,-2450,-14473
38,A279060,¿Ã≥Î∫§Ω∫,20210705,26972,-2450,-15473
39,A279060,¿Ã≥Î∫§Ω∫,20210702,26972,-2450,-15473
40,A279060,¿Ã≥Î∫§Ω∫,20210701,26972,-2450,-15473
41,A279060,¿Ã≥Î∫§Ω∫,20210630,26972,-2450,-15473
42,A279060,¿Ã≥Î∫§Ω∫,20210629,26972,-2450,-15473
43,A279060,¿Ã≥Î∫§Ω∫,20210628,23121,1401,-15473
44,A279060,¿Ã≥Î∫§Ω∫,20210625,22821,1701,-15473
45,A279060,¿Ã≥Î∫§Ω∫,20210624,22821,1701,-15473
