,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A131400,이브이첨단소재,20210827,772361,66784,-120990
1,A131400,이브이첨단소재,20210826,771076,54479,-120990
2,A131400,이브이첨단소재,20210825,753296,70920,-120990
3,A131400,이브이첨단소재,20210824,629554,255727,-95766
4,A131400,이브이첨단소재,20210823,802100,82787,-97356
5,A131400,이브이첨단소재,20210820,803181,72355,-97356
6,A131400,이브이첨단소재,20210819,659765,212411,-97356
7,A131400,이브이첨단소재,20210818,439787,390149,-87275
8,A131400,이브이첨단소재,20210817,660023,174497,-87275
9,A131400,이브이첨단소재,20210813,565374,253546,-87275
10,A131400,이브이첨단소재,20210812,614696,205819,-87275
11,A131400,이브이첨단소재,20210811,645838,146179,-87275
12,A131400,이브이첨단소재,20210810,575268,204047,-87275
13,A131400,이브이첨단소재,20210809,569982,187456,-87275
14,A131400,이브이첨단소재,20210806,241770,361952,-120990
15,A131400,이브이첨단소재,20210805,357884,261623,-120990
16,A131400,이브이첨단소재,20210804,660689,331095,-120990
17,A131400,이브이첨단소재,20210803,720537,316407,-120990
18,A131400,이브이첨단소재,20210802,790600,254002,-120990
19,A131400,이브이첨단소재,20210730,764809,299311,-120990
20,A131400,이브이첨단소재,20210729,775556,309080,-120990
21,A131400,이브이첨단소재,20210728,828225,286853,-120990
22,A131400,이브이첨단소재,20210727,454077,291716,-120990
23,A131400,이브이첨단소재,20210726,-344713,878741,-94043
24,A131400,이브이첨단소재,20210723,463035,124387,-120990
25,A131400,이브이첨단소재,20210722,524156,86842,-120990
26,A131400,이브이첨단소재,20210721,179816,218693,-110990
27,A131400,이브이첨단소재,20210720,106483,231527,-120990
28,A131400,이브이첨단소재,20210719,167464,162766,-120990
29,A131400,이브이첨단소재,20210716,81854,243951,-120990
30,A131400,이브이첨단소재,20210715,34857,202382,-120990
31,A131400,이브이첨단소재,20210714,-298408,357750,-120990
32,A131400,이브이첨단소재,20210713,-72222,147491,-120990
33,A131400,이브이첨단소재,20210712,-127606,201185,-120990
34,A131400,이브이첨단소재,20210709,-236161,306392,-120990
35,A131400,이브이첨단소재,20210708,-185772,133258,-120990
36,A131400,이브이첨단소재,20210707,-170450,106540,-120990
37,A131400,이브이첨단소재,20210706,-163671,139523,-120990
38,A131400,이브이첨단소재,20210705,-107075,100407,-120990
39,A131400,이브이첨단소재,20210702,-106702,117707,-120990
40,A131400,이브이첨단소재,20210701,-67745,79901,-120990
41,A131400,이브이첨단소재,20210630,-283347,248801,-85360
42,A131400,이브이첨단소재,20210629,-414431,410000,-40360
43,A131400,이브이첨단소재,20210628,-208176,188434,8791
44,A131400,이브이첨단소재,20210625,-265295,280134,8430
45,A131400,이브이첨단소재,20210624,-173627,171738,8430
46,A131400,이브이첨단소재,20210623,-191919,187591,8430
47,A131400,이브이첨단소재,20210622,-208863,193704,8430
48,A131400,이브이첨단소재,20210621,-305774,278365,8430
49,A131400,이브이첨단소재,20210618,-196291,177130,8430
50,A131400,이브이첨단소재,20210617,-171157,165236,8430
51,A131400,이브이첨단소재,20210616,-195839,151651,8430
52,A131400,이브이첨단소재,20210615,-379837,193535,8430
53,A131400,이브이첨단소재,20210614,-380684,216764,8430
54,A131400,이브이첨단소재,20210611,-280818,63440,8430
55,A131400,이브이첨단소재,20210610,-333133,109088,8430
56,A131400,이브이첨단소재,20210609,-344883,111858,8430
57,A131400,이브이첨단소재,20210608,-316656,83641,8430
58,A131400,이브이첨단소재,20210607,-325583,94259,8430
59,A131400,이브이첨단소재,20210604,-339864,115534,8430
60,A131400,이브이첨단소재,20210603,-335741,130664,8430
61,A131400,이브이첨단소재,20210602,-307821,111397,8430
62,A131400,이브이첨단소재,20210601,-272773,76629,8430
63,A131400,이브이첨단소재,20210531,-235668,40139,8430
64,A131400,이브이첨단소재,20210528,-216770,9275,8430
65,A131400,이브이첨단소재,20210527,-488008,241877,8430
66,A131400,이브이첨단소재,20210526,-401722,142959,8430
67,A131400,이브이첨단소재,20210525,-381554,147631,4430
68,A131400,이브이첨단소재,20210524,-385749,145566,4430
69,A131400,이브이첨단소재,20210521,-412832,172226,4430
70,A131400,이브이첨단소재,20210520,-432812,207442,4430
71,A131400,이브이첨단소재,20210518,-469742,227731,4430
72,A131400,이브이첨단소재,20210517,-411245,190556,4430
73,A131400,이브이첨단소재,20210514,-333297,139268,4430
74,A131400,이브이첨단소재,20210513,-329918,151683,4430
75,A131400,이브이첨단소재,20210512,-399368,222898,4430
76,A131400,이브이첨단소재,20210511,-233359,115484,4430
77,A131400,이브이첨단소재,20210510,-257448,124310,4430
78,A131400,이브이첨단소재,20210507,-287023,140886,4430
79,A131400,이브이첨단소재,20210506,-283515,126880,4430
80,A131400,이브이첨단소재,20210504,-286788,124005,4430
81,A131400,이브이첨단소재,20210503,-297848,105237,4430
82,A131400,이브이첨단소재,20210430,-310122,111985,4430
83,A131400,이브이첨단소재,20210429,-376282,203983,4430
84,A131400,이브이첨단소재,20210428,-283767,107560,4430
85,A131400,이브이첨단소재,20210427,-290529,121605,4430
86,A131400,이브이첨단소재,20210426,-271113,107727,4430
87,A131400,이브이첨단소재,20210423,-395768,240786,4430
88,A131400,이브이첨단소재,20210422,-350496,178661,4430
89,A131400,이브이첨단소재,20210421,-486772,313800,4430
90,A131400,이브이첨단소재,20210420,-431254,222887,4430
91,A131400,이브이첨단소재,20210419,-437402,251048,4430
92,A131400,이브이첨단소재,20210416,-494913,322353,4430
93,A131400,이브이첨단소재,20210415,-466681,331570,4430
94,A131400,이브이첨단소재,20210414,-328553,212924,4430
95,A131400,이브이첨단소재,20210413,-292032,176403,4430
96,A131400,이브이첨단소재,20210412,-280540,164911,4430
97,A131400,이브이첨단소재,20210409,-313499,197828,4430
98,A131400,이브이첨단소재,20210408,-269571,189564,4430
99,A131400,이브이첨단소재,20210407,-288366,212659,4430
100,A131400,이브이첨단소재,20210406,-256183,178957,4430
101,A131400,이브이첨단소재,20210405,-182390,118266,4430
102,A131400,이브이첨단소재,20210402,-146849,102123,4430
103,A131400,이브이첨단소재,20210401,-140064,95338,4430
104,A131400,이브이첨단소재,20210331,-148352,103726,4430
105,A131400,이브이첨단소재,20210330,-172470,127777,4430
106,A131400,이브이첨단소재,20210329,-176052,132398,4430
107,A131400,이브이첨단소재,20210326,-70634,23686,4430
108,A131400,이브이첨단소재,20210325,-67546,24066,4310
109,A131400,이브이첨단소재,20210324,-63845,19316,4310
110,A131400,이브이첨단소재,20210323,-52632,7503,4310
111,A131400,이브이첨단소재,20210322,-89226,43757,4310
112,A131400,이브이첨단소재,20210319,-74905,34783,4310
113,A131400,이브이첨단소재,20210318,-72141,31035,4310
114,A131400,이브이첨단소재,20210317,-55456,14459,4310
115,A131400,이브이첨단소재,20210316,-50451,15590,4310
116,A131400,이브이첨단소재,20210315,-36356,5993,256
117,A131400,이브이첨단소재,20210312,-44911,14548,256
118,A131400,이브이첨단소재,20210311,-35330,4967,256
