,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A047560,이스트소프트,20210827,1155748,81004,28794
1,A047560,이스트소프트,20210826,1157777,76615,30374
2,A047560,이스트소프트,20210825,1162436,72404,30332
3,A047560,이스트소프트,20210824,1121418,113237,30317
4,A047560,이스트소프트,20210823,1139165,96478,30308
5,A047560,이스트소프트,20210820,1120441,115666,29834
6,A047560,이스트소프트,20210819,1153436,72539,39248
7,A047560,이스트소프트,20210818,1159062,63597,42202
8,A047560,이스트소프트,20210817,1146332,79144,40281
9,A047560,이스트소프트,20210813,1197007,30509,39691
10,A047560,이스트소프트,20210812,1224605,2407,38395
11,A047560,이스트소프트,20210811,1229282,915,35542
12,A047560,이스트소프트,20210810,1226988,9999,31045
13,A047560,이스트소프트,20210809,1213136,28383,26673
14,A047560,이스트소프트,20210806,1229371,13321,26524
15,A047560,이스트소프트,20210805,1233403,9151,26340
16,A047560,이스트소프트,20210804,1242665,-75,26284
17,A047560,이스트소프트,20210803,1234200,8375,26187
18,A047560,이스트소프트,20210802,1194579,47945,25977
19,A047560,이스트소프트,20210730,1168406,74252,25936
20,A047560,이스트소프트,20210729,1197028,46043,25447
21,A047560,이스트소프트,20210728,1186115,56097,26031
22,A047560,이스트소프트,20210727,1204447,35121,28816
23,A047560,이스트소프트,20210726,1191104,22101,57701
24,A047560,이스트소프트,20210723,1184240,23329,57507
25,A047560,이스트소프트,20210722,1186723,49537,31914
26,A047560,이스트소프트,20210721,1205481,26375,31812
27,A047560,이스트소프트,20210720,1095262,128462,40607
28,A047560,이스트소프트,20210719,1165327,46869,53464
29,A047560,이스트소프트,20210716,1141935,58436,65239
30,A047560,이스트소프트,20210715,1100933,86754,73490
31,A047560,이스트소프트,20210714,1065590,109179,92596
32,A047560,이스트소프트,20210713,1085857,79811,103009
33,A047560,이스트소프트,20210712,1076809,90694,106620
34,A047560,이스트소프트,20210709,1088177,82575,102161
35,A047560,이스트소프트,20210708,1076857,93156,107891
36,A047560,이스트소프트,20210707,1150908,16291,110116
37,A047560,이스트소프트,20210706,1153624,3260,115460
38,A047560,이스트소프트,20210705,1142792,18290,110902
39,A047560,이스트소프트,20210702,1145011,5196,121777
40,A047560,이스트소프트,20210701,1065800,75494,130690
41,A047560,이스트소프트,20210630,1029068,107876,130823
42,A047560,이스트소프트,20210629,1052549,85896,129789
43,A047560,이스트소프트,20210628,1053713,80678,134044
44,A047560,이스트소프트,20210625,1081872,51843,134052
45,A047560,이스트소프트,20210624,1091681,42065,134038
46,A047560,이스트소프트,20210623,1127694,5639,134029
47,A047560,이스트소프트,20210622,1112796,-6497,158476
48,A047560,이스트소프트,20210621,1095267,6656,164157
49,A047560,이스트소프트,20210618,1109794,-4398,160766
50,A047560,이스트소프트,20210617,1107408,-1528,160782
51,A047560,이스트소프트,20210616,1119307,-13627,160782
52,A047560,이스트소프트,20210615,1100832,2564,160766
53,A047560,이스트소프트,20210614,1116744,-5906,153524
54,A047560,이스트소프트,20210611,1125016,-14378,153524
55,A047560,이스트소프트,20210610,1125914,-16838,154143
56,A047560,이스트소프트,20210609,1132399,-23323,154143
57,A047560,이스트소프트,20210608,1150534,-30554,154143
58,A047560,이스트소프트,20210607,1149005,-28902,154143
59,A047560,이스트소프트,20210604,1148920,-29900,154143
60,A047560,이스트소프트,20210603,1136078,-13758,154143
61,A047560,이스트소프트,20210602,1125876,-2973,153561
62,A047560,이스트소프트,20210601,1101842,21731,152980
63,A047560,이스트소프트,20210531,1098389,29877,152980
64,A047560,이스트소프트,20210528,1082459,49838,150003
65,A047560,이스트소프트,20210527,1006330,140216,141503
66,A047560,이스트소프트,20210526,894708,251042,141503
67,A047560,이스트소프트,20210525,939299,214889,133366
68,A047560,이스트소프트,20210524,940587,215797,132314
69,A047560,이스트소프트,20210521,905425,268972,127795
70,A047560,이스트소프트,20210520,908249,279384,123111
71,A047560,이스트소프트,20210518,1008581,199541,104437
72,A047560,이스트소프트,20210517,877107,218887,84873
73,A047560,이스트소프트,20210514,728043,273892,77511
74,A047560,이스트소프트,20210513,562106,256197,63489
75,A047560,이스트소프트,20210512,377628,240028,61960
76,A047560,이스트소프트,20210511,262999,229991,15922
77,A047560,이스트소프트,20210510,253579,211989,3344
78,A047560,이스트소프트,20210507,230493,197136,1283
79,A047560,이스트소프트,20210506,209711,187918,1283
80,A047560,이스트소프트,20210504,161847,199730,-2665
81,A047560,이스트소프트,20210503,146830,201933,-8081
82,A047560,이스트소프트,20210430,158440,178523,-8081
83,A047560,이스트소프트,20210429,180877,155735,-7700
84,A047560,이스트소프트,20210428,176382,159399,-6819
85,A047560,이스트소프트,20210427,167236,168658,-6819
86,A047560,이스트소프트,20210426,188425,149760,-6819
87,A047560,이스트소프트,20210423,166873,134112,-6819
88,A047560,이스트소프트,20210422,173286,134700,-6819
89,A047560,이스트소프트,20210421,139778,137923,-6819
90,A047560,이스트소프트,20210420,138327,139309,-6819
91,A047560,이스트소프트,20210419,152754,124482,-6819
92,A047560,이스트소프트,20210416,162488,114758,-6819
93,A047560,이스트소프트,20210415,138430,108154,-5993
94,A047560,이스트소프트,20210414,134742,111621,-5166
