,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A093230,이아이디,20210827,110143462,4510392,-4993244
1,A093230,이아이디,20210826,109670741,4995544,-5022903
2,A093230,이아이디,20210825,111545044,3154211,-5023896
3,A093230,이아이디,20210824,110663227,4070312,-5032125
4,A093230,이아이디,20210823,112649472,2141876,-5040004
5,A093230,이아이디,20210820,113125351,1598501,-5062037
6,A093230,이아이디,20210819,112609336,2315742,-5067782
7,A093230,이아이디,20210818,113174821,1779909,-5073005
8,A093230,이아이디,20210817,113230158,1790314,-5074770
9,A093230,이아이디,20210813,112656698,2325093,-5083029
10,A093230,이아이디,20210812,112948185,2006506,-5102434
11,A093230,이아이디,20210811,113597117,1384165,-5110550
12,A093230,이아이디,20210810,113592991,1265557,-5083500
13,A093230,이아이디,20210809,112575052,1650458,-4990061
14,A093230,이아이디,20210806,112895738,1566225,-4878070
15,A093230,이아이디,20210805,112959441,1495938,-4864039
16,A093230,이아이디,20210804,112735310,1607572,-4744542
17,A093230,이아이디,20210803,112626989,1626004,-4767194
18,A093230,이아이디,20210802,110846582,2597677,-4729160
19,A093230,이아이디,20210730,110861609,2490139,-4771883
20,A093230,이아이디,20210729,110836930,2514059,-4801698
21,A093230,이아이디,20210728,110712738,2505779,-4772539
22,A093230,이아이디,20210727,111254544,2117815,-4783543
23,A093230,이아이디,20210726,112090741,1366681,-4792779
24,A093230,이아이디,20210723,111889931,1511184,-4759824
25,A093230,이아이디,20210722,111969669,1543442,-4801391
26,A093230,이아이디,20210721,112232573,1417473,-4982566
27,A093230,이아이디,20210720,111166038,2551511,-4981606
28,A093230,이아이디,20210719,112575750,1236578,-4942211
29,A093230,이아이디,20210716,112361649,1200803,-4796922
30,A093230,이아이디,20210715,110995433,627906,-2735220
31,A093230,이아이디,20210714,113699384,225436,-4972378
32,A093230,이아이디,20210713,113195041,512881,-4935123
33,A093230,이아이디,20210712,114110986,-249205,-4982033
34,A093230,이아이디,20210709,110126288,3232343,-4556357
35,A093230,이아이디,20210708,113462448,824281,-4962487
