,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A101360,이엔드디,20210827,989052,-81633,-912884
1,A101360,이엔드디,20210826,982058,-90452,-897995
2,A101360,이엔드디,20210825,989946,-90851,-905454
3,A101360,이엔드디,20210824,970155,-82125,-890241
4,A101360,이엔드디,20210823,985380,-88530,-886297
5,A101360,이엔드디,20210820,1015537,-93827,-910488
6,A101360,이엔드디,20210819,999385,-92979,-896080
7,A101360,이엔드디,20210818,1010712,-94920,-903793
8,A101360,이엔드디,20210817,1013655,-101943,-898203
9,A101360,이엔드디,20210813,988840,-93835,-879607
10,A101360,이엔드디,20210812,997909,-94425,-885980
11,A101360,이엔드디,20210811,999984,-97739,-881736
12,A101360,이엔드디,20210810,988678,-83081,-878638
13,A101360,이엔드디,20210809,1003734,-97492,-878824
14,A101360,이엔드디,20210806,983009,-88262,-870354
15,A101360,이엔드디,20210805,994735,-99100,-866025
16,A101360,이엔드디,20210804,996971,-106032,-860927
17,A101360,이엔드디,20210803,976799,-105478,-839755
18,A101360,이엔드디,20210802,964418,-104575,-829572
19,A101360,이엔드디,20210730,937535,-94277,-804232
20,A101360,이엔드디,20210729,946444,-99569,-803101
21,A101360,이엔드디,20210728,894027,-75133,-774106
22,A101360,이엔드디,20210727,918300,-75878,-795682
23,A101360,이엔드디,20210726,954193,-99819,-807062
24,A101360,이엔드디,20210723,953386,-93808,-810311
25,A101360,이엔드디,20210722,973107,-98620,-825147
26,A101360,이엔드디,20210721,927597,-79271,-798583
27,A101360,이엔드디,20210720,902870,-74904,-777241
28,A101360,이엔드디,20210719,876554,-59608,-767347
29,A101360,이엔드디,20210716,849684,-46554,-768376
30,A101360,이엔드디,20210715,858909,-69689,-754097
31,A101360,이엔드디,20210714,766685,-30319,-708739
32,A101360,이엔드디,20210713,737442,-54352,-654595
33,A101360,이엔드디,20210712,735088,-83990,-624998
34,A101360,이엔드디,20210709,695918,-83198,-586580
35,A101360,이엔드디,20210708,662154,-71722,-563910
36,A101360,이엔드디,20210707,636527,-74607,-535575
37,A101360,이엔드디,20210706,618872,-74324,-517234
38,A101360,이엔드디,20210705,600844,-71041,-501878
39,A101360,이엔드디,20210702,580877,-72771,-480666
40,A101360,이엔드디,20210701,573596,-72168,-475036
41,A101360,이엔드디,20210630,562643,-62914,-472147
42,A101360,이엔드디,20210629,573466,-73931,-471242
43,A101360,이엔드디,20210628,567083,-75550,-463109
44,A101360,이엔드디,20210625,555640,-77833,-449144
45,A101360,이엔드디,20210624,540429,-76655,-434750
46,A101360,이엔드디,20210623,479717,-72063,-378186
47,A101360,이엔드디,20210622,425846,-78779,-318272
48,A101360,이엔드디,20210621,414154,-74301,-313182
49,A101360,이엔드디,20210618,420127,-74432,-316604
50,A101360,이엔드디,20210617,416088,-71457,-313509
51,A101360,이엔드디,20210616,416048,-70809,-315273
52,A101360,이엔드디,20210615,413290,-71517,-311776
53,A101360,이엔드디,20210614,411903,-68664,-311052
54,A101360,이엔드디,20210611,393003,-60410,-300062
55,A101360,이엔드디,20210610,488956,-76201,-377149
56,A101360,이엔드디,20210609,484402,-80499,-369255
57,A101360,이엔드디,20210608,483898,-81427,-367813
58,A101360,이엔드디,20210607,495763,-92501,-368594
59,A101360,이엔드디,20210604,485017,-88002,-358256
60,A101360,이엔드디,20210603,485841,-88345,-358236
61,A101360,이엔드디,20210602,499006,-93723,-366013
62,A101360,이엔드디,20210601,491446,-94856,-357013
63,A101360,이엔드디,20210531,465122,-90878,-334679
64,A101360,이엔드디,20210528,445125,-85069,-319495
65,A101360,이엔드디,20210527,470232,-94366,-335505
66,A101360,이엔드디,20210526,462095,-89123,-335505
67,A101360,이엔드디,20210525,476488,-97158,-342613
68,A101360,이엔드디,20210524,476258,-96152,-344189
69,A101360,이엔드디,20210521,470196,-92607,-343766
70,A101360,이엔드디,20210520,463231,-84614,-344811
71,A101360,이엔드디,20210518,466258,-85017,-346749
72,A101360,이엔드디,20210517,460338,-84683,-342649
73,A101360,이엔드디,20210514,471275,-90617,-348091
74,A101360,이엔드디,20210513,484967,-96170,-353220
75,A101360,이엔드디,20210512,462905,-93513,-329226
76,A101360,이엔드디,20210511,438680,-97678,-300099
77,A101360,이엔드디,20210510,405834,-96307,-292828
78,A101360,이엔드디,20210507,393949,-95216,-280664
79,A101360,이엔드디,20210506,383604,-93729,-271832
80,A101360,이엔드디,20210504,381622,-92573,-271388
81,A101360,이엔드디,20210503,383263,-93545,-273097
82,A101360,이엔드디,20210430,357601,-83471,-259735
83,A101360,이엔드디,20210429,350052,-89346,-243094
84,A101360,이엔드디,20210428,349890,-89912,-243780
85,A101360,이엔드디,20210427,318217,-74255,-230891
86,A101360,이엔드디,20210426,305729,-85225,-209184
87,A101360,이엔드디,20210423,283811,-81509,-192300
88,A101360,이엔드디,20210422,277172,-76762,-192729
89,A101360,이엔드디,20210421,296700,-92240,-196283
90,A101360,이엔드디,20210420,270529,-83662,-179143
91,A101360,이엔드디,20210419,242046,-76278,-158734
92,A101360,이엔드디,20210416,228181,-84518,-136902
93,A101360,이엔드디,20210415,144662,-36632,-102045
94,A101360,이엔드디,20210414,155336,-47513,-103521
95,A101360,이엔드디,20210413,170007,-55290,-110303
96,A101360,이엔드디,20210412,111908,852,-145794
97,A101360,이엔드디,20210409,293060,-99284,-198577
98,A101360,이엔드디,20210408,278639,-94455,-190262
99,A101360,이엔드디,20210407,258806,-90747,-173936
100,A101360,이엔드디,20210406,259904,-91399,-170695
