,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A232530,이엠티,20210827,-13718,0,16218
1,A232530,이엠티,20210826,-13718,0,16218
2,A232530,이엠티,20210825,-13718,0,16218
3,A232530,이엠티,20210824,-13718,0,16218
4,A232530,이엠티,20210823,-13718,0,16218
5,A232530,이엠티,20210820,-13718,0,16218
6,A232530,이엠티,20210819,-13718,0,16218
7,A232530,이엠티,20210818,-13718,0,16218
8,A232530,이엠티,20210817,-13718,0,16218
9,A232530,이엠티,20210813,-13718,0,16218
10,A232530,이엠티,20210812,-13718,0,16218
11,A232530,이엠티,20210811,-13718,0,16218
12,A232530,이엠티,20210810,-13718,0,16218
13,A232530,이엠티,20210809,-13718,0,16218
14,A232530,이엠티,20210806,-13718,0,16218
15,A232530,이엠티,20210805,-13718,0,16218
16,A232530,이엠티,20210804,-13718,0,16218
17,A232530,이엠티,20210803,-13718,0,16218
18,A232530,이엠티,20210802,-13718,0,16218
19,A232530,이엠티,20210730,-13718,0,16218
20,A232530,이엠티,20210729,-13718,0,16218
21,A232530,이엠티,20210728,-13718,0,16218
22,A232530,이엠티,20210727,-12518,0,15018
23,A232530,이엠티,20210726,-11718,0,14218
24,A232530,이엠티,20210723,-11718,0,14218
25,A232530,이엠티,20210722,-11576,0,14076
26,A232530,이엠티,20210721,-10776,0,13276
27,A232530,이엠티,20210720,-10357,0,12857
28,A232530,이엠티,20210719,-9557,0,12057
29,A232530,이엠티,20210716,-8871,0,11371
30,A232530,이엠티,20210715,-8421,0,10921
31,A232530,이엠티,20210714,-8421,0,10921
32,A232530,이엠티,20210713,-8421,0,10921
33,A232530,이엠티,20210712,-9921,0,10921
34,A232530,이엠티,20210709,-9921,0,10921
35,A232530,이엠티,20210708,-9921,0,10921
36,A232530,이엠티,20210707,-9921,0,10921
37,A232530,이엠티,20210706,-9921,0,10921
38,A232530,이엠티,20210705,-9921,0,10921
39,A232530,이엠티,20210702,-9921,0,10921
40,A232530,이엠티,20210701,-10379,0,10921
41,A232530,이엠티,20210630,-10921,0,10921
42,A232530,이엠티,20210629,-10921,0,10921
43,A232530,이엠티,20210628,-7028,0,7028
44,A232530,이엠티,20210625,-7028,0,7028
45,A232530,이엠티,20210624,-7028,0,7028
46,A232530,이엠티,20210623,-7028,0,7028
47,A232530,이엠티,20210622,-7028,0,7028
48,A232530,이엠티,20210621,-7028,0,7028
49,A232530,이엠티,20210618,-7028,0,7028
50,A232530,이엠티,20210617,-7028,0,7028
51,A232530,이엠티,20210616,-7028,0,7028
52,A232530,이엠티,20210615,-7028,0,7028
53,A232530,이엠티,20210614,-7028,0,7028
54,A232530,이엠티,20210611,-7028,0,7028
55,A232530,이엠티,20210610,-7028,0,7028
56,A232530,이엠티,20210609,-7028,0,7028
57,A232530,이엠티,20210608,-7028,0,7028
58,A232530,이엠티,20210607,-7028,0,7028
59,A232530,이엠티,20210604,-7028,0,7028
60,A232530,이엠티,20210603,-7028,0,7028
61,A232530,이엠티,20210602,-7028,0,7028
62,A232530,이엠티,20210601,-7028,0,7028
63,A232530,이엠티,20210531,-7028,0,7028
64,A232530,이엠티,20210528,-7028,0,7028
65,A232530,이엠티,20210527,-7028,0,7028
66,A232530,이엠티,20210526,-7028,0,7028
67,A232530,이엠티,20210525,-7028,0,7028
68,A232530,이엠티,20210524,-7028,0,7028
69,A232530,이엠티,20210521,-7028,0,7028
70,A232530,이엠티,20210520,-7028,0,7028
71,A232530,이엠티,20210518,-7028,0,7028
72,A232530,이엠티,20210517,-7028,0,7028
73,A232530,이엠티,20210514,-7028,0,7028
74,A232530,이엠티,20210513,-7028,0,7028
75,A232530,이엠티,20210512,-7028,0,7028
76,A232530,이엠티,20210511,-7028,0,7028
77,A232530,이엠티,20210510,-7028,0,7028
78,A232530,이엠티,20210507,-7028,0,7028
79,A232530,이엠티,20210506,-7028,0,7028
80,A232530,이엠티,20210504,-5519,0,5519
81,A232530,이엠티,20210503,-5519,0,5519
82,A232530,이엠티,20210430,-5519,0,5519
83,A232530,이엠티,20210429,-5519,0,5519
84,A232530,이엠티,20210428,-5519,0,5519
85,A232530,이엠티,20210427,-5519,0,5519
86,A232530,이엠티,20210426,-5519,0,5519
87,A232530,이엠티,20210423,-5519,0,5519
88,A232530,이엠티,20210422,0,0,0
89,A232530,이엠티,20210421,0,0,0
90,A232530,이엠티,20210420,0,0,0
91,A232530,이엠티,20210419,0,0,0
92,A232530,이엠티,20210416,0,0,0
93,A232530,이엠티,20210415,0,0,0
94,A232530,이엠티,20210414,0,0,0
95,A232530,이엠티,20210413,0,0,0
96,A232530,이엠티,20210412,0,0,0
97,A232530,이엠티,20210409,0,0,0
98,A232530,이엠티,20210408,0,0,0
99,A232530,이엠티,20210407,0,0,0
100,A232530,이엠티,20210406,0,0,0
101,A232530,이엠티,20210405,0,0,0
102,A232530,이엠티,20210402,0,0,0
103,A232530,이엠티,20210401,0,0,0
104,A232530,이엠티,20210331,0,0,0
105,A232530,이엠티,20210330,0,0,0
106,A232530,이엠티,20210329,0,0,0
107,A232530,이엠티,20210326,0,0,0
108,A232530,이엠티,20210325,0,0,0
109,A232530,이엠티,20210324,0,0,0
110,A232530,이엠티,20210323,0,0,0
111,A232530,이엠티,20210322,0,0,0
112,A232530,이엠티,20210319,0,0,0
113,A232530,이엠티,20210318,0,0,0
114,A232530,이엠티,20210317,0,0,0
115,A232530,이엠티,20210316,0,0,0
116,A232530,이엠티,20210315,0,0,0
117,A232530,이엠티,20210312,0,0,0
118,A232530,이엠티,20210311,0,0,0
