,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A006490,인스코비,20210827,4774168,-891885,-1599522
1,A006490,인스코비,20210826,4706530,-957888,-1600601
2,A006490,인스코비,20210825,4643977,-1022895,-1600978
3,A006490,인스코비,20210824,3609078,-301379,-1597231
4,A006490,인스코비,20210823,4208742,-904941,-1589168
5,A006490,인스코비,20210820,4286120,-1056076,-1574970
6,A006490,인스코비,20210819,4279391,-915250,-1577766
7,A006490,인스코비,20210818,4301801,-945908,-1572057
8,A006490,인스코비,20210817,4725853,-1337956,-1574538
9,A006490,인스코비,20210813,2189514,581431,-999216
10,A006490,인스코비,20210812,4979093,-1569463,-1568005
11,A006490,인스코비,20210811,4577526,-1092546,-1560595
12,A006490,인스코비,20210810,4405563,-897089,-1554743
13,A006490,인스코비,20210809,4727086,-1196701,-1553731
14,A006490,인스코비,20210806,4723076,-1186690,-1555542
15,A006490,인스코비,20210805,4694568,-1156192,-1554337
16,A006490,인스코비,20210804,4686999,-1109649,-1593034
17,A006490,인스코비,20210803,4762982,-1189015,-1592595
18,A006490,인스코비,20210802,4616654,-1074307,-1588284
19,A006490,인스코비,20210730,4926326,-1364656,-1590819
20,A006490,인스코비,20210729,4674440,-1211250,-1590518
21,A006490,인스코비,20210728,4822883,-1358875,-1589940
22,A006490,인스코비,20210727,4889140,-1426536,-1589292
23,A006490,인스코비,20210726,4905784,-1472040,-1559949
24,A006490,인스코비,20210723,5260242,-1807122,-1560039
25,A006490,인스코비,20210722,4679788,-1213131,-1548837
26,A006490,인스코비,20210721,5362232,-1941108,-1479696
27,A006490,인스코비,20210720,5255654,-1788667,-1557791
28,A006490,인스코비,20210719,4685395,-1316324,-1434856
29,A006490,인스코비,20210716,4270390,-986544,-1375470
30,A006490,인스코비,20210715,4558738,-1493652,-1307598
31,A006490,인스코비,20210714,4497199,-1535276,-1205490
32,A006490,인스코비,20210713,3933854,-1065301,-1104145
33,A006490,인스코비,20210712,3634868,-1016903,-876330
34,A006490,인스코비,20210709,4276409,-1712082,-808688
35,A006490,인스코비,20210708,4080257,-1602656,-750354
36,A006490,인스코비,20210707,3851937,-1648199,-659565
37,A006490,인스코비,20210706,3849952,-1640033,-648526
38,A006490,인스코비,20210705,3978513,-1780096,-639033
39,A006490,인스코비,20210702,3526825,-1331422,-629968
40,A006490,인스코비,20210701,3094360,-910614,-616110
41,A006490,인스코비,20210630,3317649,-1134139,-610329
42,A006490,인스코비,20210629,3195963,-1008895,-613304
43,A006490,인스코비,20210628,3728927,-1569417,-603820
44,A006490,인스코비,20210625,3823850,-1677060,-592495
45,A006490,인스코비,20210624,3966683,-1835087,-577052
46,A006490,인스코비,20210623,3942516,-1823856,-566864
47,A006490,인스코비,20210622,3903252,-1797178,-553209
48,A006490,인스코비,20210621,3525111,-1423903,-547285
49,A006490,인스코비,20210618,3879334,-1804098,-538924
50,A006490,인스코비,20210617,3905416,-1833313,-546004
51,A006490,인스코비,20210616,3765586,-1698749,-536474
52,A006490,인스코비,20210615,3730805,-1677401,-524641
53,A006490,인스코비,20210614,3609478,-1560257,-514711
54,A006490,인스코비,20210611,3561963,-1513516,-513797
55,A006490,인스코비,20210610,3394433,-1342588,-502556
56,A006490,인스코비,20210609,3699203,-1686946,-462857
57,A006490,인스코비,20210608,3753848,-1743398,-463050
58,A006490,인스코비,20210607,3624999,-1618557,-453323
59,A006490,인스코비,20210604,3739889,-1741126,-428534
