,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A083640,인콘,20210827,1676171,246841,-170161
1,A083640,인콘,20210826,1734842,184461,-170161
2,A083640,인콘,20210825,1618309,275404,-170161
3,A083640,인콘,20210824,1516396,376742,-170161
4,A083640,인콘,20210823,1625424,284995,-170161
5,A083640,인콘,20210820,1637297,274122,-170161
6,A083640,인콘,20210819,1765405,146015,-170161
7,A083640,인콘,20210818,1670881,243681,-170161
8,A083640,인콘,20210817,1778493,136218,-170161
9,A083640,인콘,20210813,1782829,129684,-170161
10,A083640,인콘,20210812,1740765,171157,-170161
11,A083640,인콘,20210811,1792114,100143,-170161
12,A083640,인콘,20210810,1830167,46153,-170161
13,A083640,인콘,20210809,1795867,52094,-170161
14,A083640,인콘,20210806,1763388,83868,-170161
15,A083640,인콘,20210805,1659530,178703,-170161
16,A083640,인콘,20210804,1639807,131901,-133599
17,A083640,인콘,20210803,1597234,107573,-97599
18,A083640,인콘,20210802,1557408,153224,-97599
19,A083640,인콘,20210730,1490877,156495,-97599
20,A083640,인콘,20210729,1597517,51251,-97599
21,A083640,인콘,20210728,1519001,57971,-67599
22,A083640,인콘,20210727,1381130,124888,2401
23,A083640,인콘,20210726,1558725,-56918,2401
24,A083640,인콘,20210723,1426488,76838,2401
25,A083640,인콘,20210722,1496862,7204,2401
26,A083640,인콘,20210721,1541342,-36485,2401
27,A083640,인콘,20210720,1568181,-61486,2401
28,A083640,인콘,20210719,1516546,-12749,2401
29,A083640,인콘,20210716,1544230,-17285,2401
30,A083640,인콘,20210715,1551835,-40324,2401
31,A083640,인콘,20210714,1578223,-58800,2401
32,A083640,인콘,20210713,1173735,-84143,2401
33,A083640,인콘,20210712,944563,118882,13718
34,A083640,인콘,20210709,965457,120134,2401
35,A083640,인콘,20210708,1108574,-46765,2400
36,A083640,인콘,20210707,1050550,3247,2400
37,A083640,인콘,20210706,1128863,-97562,25826
38,A083640,인콘,20210705,890356,148387,6887
39,A083640,인콘,20210702,700715,205327,64707
40,A083640,인콘,20210701,-197489,382308,1
41,A083640,인콘,20210630,54376,109901,1
42,A083640,인콘,20210629,-556694,732128,1
43,A083640,인콘,20210628,151335,21535,1
44,A083640,인콘,20210625,191831,-17824,1
45,A083640,인콘,20210624,159053,6924,1
46,A083640,인콘,20210623,-239877,409775,1
47,A083640,인콘,20210622,-443917,626848,1
48,A083640,인콘,20210621,-486075,667506,1
49,A083640,인콘,20210618,-393281,574141,1
50,A083640,인콘,20210617,-418497,596465,1
51,A083640,인콘,20210616,-326197,504004,1
52,A083640,인콘,20210615,-257560,435361,1
53,A083640,인콘,20210614,-234316,412127,1
54,A083640,인콘,20210611,-79748,226070,1
55,A083640,인콘,20210610,-97413,221225,1
56,A083640,인콘,20210609,46589,79023,1
