,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A289220,자이언트스텝,20210827,1886784,-47463,-1407173
1,A289220,자이언트스텝,20210826,1902358,-42141,-1426267
2,A289220,자이언트스텝,20210825,1903680,-38829,-1429670
3,A289220,자이언트스텝,20210824,1894382,-42054,-1427091
4,A289220,자이언트스텝,20210823,1892588,-39177,-1427400
5,A289220,자이언트스텝,20210820,1897718,-40986,-1430337
6,A289220,자이언트스텝,20210819,1865541,-7644,-1430882
7,A289220,자이언트스텝,20210818,1865539,1010,-1439748
8,A289220,자이언트스텝,20210817,1900103,-24494,-1447719
9,A289220,자이언트스텝,20210813,1905014,-31419,-1447912
10,A289220,자이언트스텝,20210812,1919588,-44510,-1448629
11,A289220,자이언트스텝,20210811,1923518,-47301,-1450250
12,A289220,자이언트스텝,20210810,1923863,-46624,-1450825
13,A289220,자이언트스텝,20210809,1916684,-39107,-1450229
14,A289220,자이언트스텝,20210806,1866218,16502,-1454858
15,A289220,자이언트스텝,20210805,1882963,-8912,-1445856
16,A289220,자이언트스텝,20210804,1788944,67818,-1422772
17,A289220,자이언트스텝,20210803,1862116,28487,-1455211
18,A289220,자이언트스텝,20210802,1860343,28582,-1453642
19,A289220,자이언트스텝,20210730,1873314,623,-1440193
20,A289220,자이언트스텝,20210729,1871398,-1243,-1435461
21,A289220,자이언트스텝,20210728,1834212,8550,-1407663
22,A289220,자이언트스텝,20210727,1813858,3973,-1384155
23,A289220,자이언트스텝,20210726,1758426,20218,-1341743
24,A289220,자이언트스텝,20210723,1693718,10763,-1267630
25,A289220,자이언트스텝,20210722,1693304,21916,-1280639
26,A289220,자이언트스텝,20210721,1652367,40509,-1256693
27,A289220,자이언트스텝,20210720,1583703,53476,-1200528
28,A289220,자이언트스텝,20210719,1540271,53075,-1158121
29,A289220,자이언트스텝,20210716,1601394,-19711,-1150296
30,A289220,자이언트스텝,20210715,1589313,-19579,-1139587
31,A289220,자이언트스텝,20210714,1552945,-17700,-1121074
32,A289220,자이언트스텝,20210713,1494129,-24555,-1068737
