,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,°³ÀÎ ¼ø¸Å¼ö,¿Ü±¹ÀÎ ¼ø¸Å¼ö,±â°ü ¼ø¸Å¼ö
0,A217190,Á¦³Ê¼À,20210827,-25152,-82060,97950
1,A217190,Á¦³Ê¼À,20210826,12798,-72795,44373
2,A217190,Á¦³Ê¼À,20210825,79499,-135724,18687
3,A217190,Á¦³Ê¼À,20210824,68207,-132417,18687
4,A217190,Á¦³Ê¼À,20210823,81609,-151162,17530
5,A217190,Á¦³Ê¼À,20210820,79719,-148860,17161
6,A217190,Á¦³Ê¼À,20210819,60543,-130748,18225
7,A217190,Á¦³Ê¼À,20210818,68416,-139228,18022
8,A217190,Á¦³Ê¼À,20210817,69209,-140421,18022
9,A217190,Á¦³Ê¼À,20210813,70613,-128726,6423
10,A217190,Á¦³Ê¼À,20210812,64699,-122812,6423
11,A217190,Á¦³Ê¼À,20210811,61531,-119644,6423
12,A217190,Á¦³Ê¼À,20210810,38653,-96766,6423
13,A217190,Á¦³Ê¼À,20210809,29451,-87564,6423
14,A217190,Á¦³Ê¼À,20210806,37984,-90897,1223
15,A217190,Á¦³Ê¼À,20210805,40268,-87981,-3977
16,A217190,Á¦³Ê¼À,20210804,53180,-95393,-9477
17,A217190,Á¦³Ê¼À,20210803,52386,-94599,-9477
18,A217190,Á¦³Ê¼À,20210802,62010,-104223,-9477
19,A217190,Á¦³Ê¼À,20210730,60703,-102916,-9477
20,A217190,Á¦³Ê¼À,20210729,52442,-94655,-9477
21,A217190,Á¦³Ê¼À,20210728,52680,-94893,-9477
22,A217190,Á¦³Ê¼À,20210727,52733,-95095,-9318
23,A217190,Á¦³Ê¼À,20210726,53126,-95488,-9318
24,A217190,Á¦³Ê¼À,20210723,32099,-94864,-9318
25,A217190,Á¦³Ê¼À,20210722,27336,-90101,-9318
26,A217190,Á¦³Ê¼À,20210721,27900,-90725,-9318
27,A217190,Á¦³Ê¼À,20210720,15173,-77998,-9318
28,A217190,Á¦³Ê¼À,20210719,25951,-88776,-9318
29,A217190,Á¦³Ê¼À,20210716,34155,-99611,-9002
30,A217190,Á¦³Ê¼À,20210715,27065,-96448,-7762
31,A217190,Á¦³Ê¼À,20210714,29397,-102022,-7301
32,A217190,Á¦³Ê¼À,20210713,31947,-105188,-6497
33,A217190,Á¦³Ê¼À,20210712,31610,-102618,-6339
34,A217190,Á¦³Ê¼À,20210709,18438,-91927,-3811
35,A217190,Á¦³Ê¼À,20210708,22688,-96173,-3811
36,A217190,Á¦³Ê¼À,20210707,17097,-90581,-3811
37,A217190,Á¦³Ê¼À,20210706,17765,-91249,-3811
38,A217190,Á¦³Ê¼À,20210705,15827,-89311,-3811
39,A217190,Á¦³Ê¼À,20210702,21517,-94991,-3811
40,A217190,Á¦³Ê¼À,20210701,18998,-91401,-4732
41,A217190,Á¦³Ê¼À,20210630,15534,-87821,-4775
42,A217190,Á¦³Ê¼À,20210629,8097,-80251,-4775
43,A217190,Á¦³Ê¼À,20210628,2448,-74465,-4775
44,A217190,Á¦³Ê¼À,20210625,-3479,-68300,-4775
45,A217190,Á¦³Ê¼À,20210624,-8014,-63765,-4775
46,A217190,Á¦³Ê¼À,20210623,-7223,-64356,-4775
47,A217190,Á¦³Ê¼À,20210622,-11866,-60513,-4775
48,A217190,Á¦³Ê¼À,20210621,-5677,-66702,-4775
