,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,°³ÀÎ ¼ø¸Å¼ö,¿Ü±¹ÀÎ ¼ø¸Å¼ö,±â°ü ¼ø¸Å¼ö
0,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210827,720878,-550895,-108413
1,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210826,720072,-537487,-108205
2,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210825,706423,-531077,-100741
3,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210824,696985,-517886,-104252
4,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210823,709859,-533086,-101924
5,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210820,714754,-541648,-97968
6,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210819,727935,-552317,-99662
7,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210818,719494,-556652,-85957
8,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210817,663326,-562337,-74580
9,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210813,590098,-535060,-71213
10,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210812,589978,-535707,-69712
11,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210811,597357,-549181,-63616
12,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210810,592918,-553964,-54104
13,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210809,594011,-556295,-53152
14,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210806,568737,-541502,-43536
15,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210805,568489,-543004,-40712
16,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210804,591537,-566069,-41832
17,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210803,604452,-576634,-44193
18,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210802,675307,-647196,-39204
19,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210730,684550,-653271,-42411
20,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210729,675512,-652923,-34176
21,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210728,674725,-652142,-34310
22,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210727,669392,-653245,-28807
23,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210726,669280,-653793,-28566
24,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210723,661230,-648818,-24292
25,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210722,666028,-654188,-24893
26,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210721,676872,-654921,-32966
27,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210720,680427,-661734,-24696
28,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210719,686504,-667709,-25078
29,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210716,681154,-673961,-13449
30,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210715,633011,-648519,8052
31,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210714,616463,-627028,-8443
32,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210713,598841,-613091,-2055
33,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210712,596789,-609837,-3162
34,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210709,592468,-604233,-4831
35,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210708,582585,-596120,-3946
36,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210707,550844,-567352,62
37,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210706,544235,-563850,2208
38,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210705,540808,-562616,2953
39,A204270,Á¦ÀÌ¾ØÆ¼¾¾,20210702,570169,-586707,-3611
