,辆格内靛,辆格疙,朝楼,俺牢 鉴概荐,寇惫牢 鉴概荐,扁包 鉴概荐
0,A036420,力捞能刨飘府,20210827,187070,-8508,-153140
1,A036420,力捞能刨飘府,20210826,215889,39010,-229310
2,A036420,力捞能刨飘府,20210825,230661,41009,-246041
3,A036420,力捞能刨飘府,20210824,199717,50489,-223719
4,A036420,力捞能刨飘府,20210823,214159,60762,-247684
5,A036420,力捞能刨飘府,20210820,211538,85121,-268952
6,A036420,力捞能刨飘府,20210819,207720,83556,-263367
7,A036420,力捞能刨飘府,20210818,204035,140704,-316547
8,A036420,力捞能刨飘府,20210817,193269,162457,-329514
9,A036420,力捞能刨飘府,20210813,162723,140659,-299722
10,A036420,力捞能刨飘府,20210812,121229,142619,-260580
11,A036420,力捞能刨飘府,20210811,99566,143830,-240007
12,A036420,力捞能刨飘府,20210810,107052,124763,-228426
13,A036420,力捞能刨飘府,20210809,-24958,164759,-136013
14,A036420,力捞能刨飘府,20210806,-96679,163299,-67678
15,A036420,力捞能刨飘府,20210805,-121243,156706,-36556
16,A036420,力捞能刨飘府,20210804,-128024,154746,-27710
17,A036420,力捞能刨飘府,20210803,-128280,158070,-32316
18,A036420,力捞能刨飘府,20210802,-109675,157806,-50648
19,A036420,力捞能刨飘府,20210730,-98714,161037,-64961
20,A036420,力捞能刨飘府,20210729,-92649,162955,-72935
21,A036420,力捞能刨飘府,20210728,-77716,172831,-97714
22,A036420,力捞能刨飘府,20210727,-22254,175470,-157723
23,A036420,力捞能刨飘府,20210726,7412,172027,-183812
24,A036420,力捞能刨飘府,20210723,35331,180733,-220390
25,A036420,力捞能刨飘府,20210722,55726,185395,-245428
26,A036420,力捞能刨飘府,20210721,69582,178731,-253270
27,A036420,力捞能刨飘府,20210720,86566,186197,-277744
28,A036420,力捞能刨飘府,20210719,115739,180873,-301820
29,A036420,力捞能刨飘府,20210716,108770,188886,-293961
30,A036420,力捞能刨飘府,20210715,115418,191990,-303663
31,A036420,力捞能刨飘府,20210714,123478,198856,-318504
32,A036420,力捞能刨飘府,20210713,93675,198399,-288120
33,A036420,力捞能刨飘府,20210712,81712,205833,-283007
34,A036420,力捞能刨飘府,20210709,85254,202718,-283289
35,A036420,力捞能刨飘府,20210708,59629,217511,-269528
36,A036420,力捞能刨飘府,20210707,33711,209319,-223093
37,A036420,力捞能刨飘府,20210706,-52640,210507,-136569
38,A036420,力捞能刨飘府,20210705,-67395,216430,-127727
39,A036420,力捞能刨飘府,20210702,-99871,220378,-99323
40,A036420,力捞能刨飘府,20210701,-109432,231017,-100180
41,A036420,力捞能刨飘府,20210630,-147824,264728,-95171
42,A036420,力捞能刨飘府,20210629,-153038,259499,-83842
43,A036420,力捞能刨飘府,20210628,-229968,225895,20570
44,A036420,力捞能刨飘府,20210625,-238560,225867,29846
45,A036420,力捞能刨飘府,20210624,-310535,221728,104384
46,A036420,力捞能刨飘府,20210623,-338690,226546,127776
47,A036420,力捞能刨飘府,20210622,-344600,224686,136272
48,A036420,力捞能刨飘府,20210621,-344421,222427,138841
49,A036420,力捞能刨飘府,20210618,-347859,203302,161489
50,A036420,力捞能刨飘府,20210617,-408725,198353,226977
51,A036420,力捞能刨飘府,20210616,-395917,209534,203609
52,A036420,力捞能刨飘府,20210615,-372233,219051,170280
53,A036420,力捞能刨飘府,20210614,-341946,219742,140774
54,A036420,力捞能刨飘府,20210611,-348365,230178,136667
55,A036420,力捞能刨飘府,20210610,-337048,242742,116110
56,A036420,力捞能刨飘府,20210609,-319593,270289,71167
57,A036420,力捞能刨飘府,20210608,-267518,281850,7759
58,A036420,力捞能刨飘府,20210607,-245689,282802,-11484
59,A036420,力捞能刨飘府,20210604,-226235,284654,-31626
60,A036420,力捞能刨飘府,20210603,-278493,275071,16716
61,A036420,力捞能刨飘府,20210602,-289655,273197,29662
62,A036420,力捞能刨飘府,20210601,-286497,266003,32609
63,A036420,力捞能刨飘府,20210531,-339504,299201,51403
64,A036420,力捞能刨飘府,20210528,-196984,278873,-73256
65,A036420,力捞能刨飘府,20210527,-192014,275351,-74557
66,A036420,力捞能刨飘府,20210526,-183615,261481,-63519
67,A036420,力捞能刨飘府,20210525,-86851,231791,-122941
68,A036420,力捞能刨飘府,20210524,3463,223583,-198448
69,A036420,力捞能刨飘府,20210521,11796,221363,-203617
70,A036420,力捞能刨飘府,20210520,140599,196924,-299174
