,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A089790,제이티,20210827,-513022,-53835,551070
1,A089790,제이티,20210826,-509744,-54685,549748
2,A089790,제이티,20210825,-444307,-108494,537795
3,A089790,제이티,20210824,-480055,-74820,540067
4,A089790,제이티,20210823,-556885,-29330,569418
5,A089790,제이티,20210820,-530991,-17965,537061
6,A089790,제이티,20210819,-454831,-67612,503737
7,A089790,제이티,20210818,-507794,-23652,502923
8,A089790,제이티,20210817,-411452,-50971,432614
9,A089790,제이티,20210813,-273725,-108335,349445
10,A089790,제이티,20210812,-316329,-69252,353325
11,A089790,제이티,20210811,-223262,-119180,322729
12,A089790,제이티,20210810,-246864,-97709,324480
13,A089790,제이티,20210809,-291839,-50105,322766
14,A089790,제이티,20210806,-267016,-57285,301916
15,A089790,제이티,20210805,-323123,-10562,312649
16,A089790,제이티,20210804,-269812,-43562,286597
17,A089790,제이티,20210803,-302085,-10133,288331
18,A089790,제이티,20210802,-339195,48450,276442
19,A089790,제이티,20210730,-346550,53792,278455
20,A089790,제이티,20210729,-373015,92696,264226
21,A089790,제이티,20210728,-369813,89679,261226
22,A089790,제이티,20210727,-405368,129143,255872
23,A089790,제이티,20210726,-352611,101599,235556
24,A089790,제이티,20210723,-359224,112789,232089
25,A089790,제이티,20210722,-348386,105897,227803
26,A089790,제이티,20210721,-326617,88853,222978
27,A089790,제이티,20210720,-352794,115325,222701
28,A089790,제이티,20210719,-352622,124146,210813
29,A089790,제이티,20210716,-319745,104906,197175
30,A089790,제이티,20210715,-370345,148097,204029
31,A089790,제이티,20210714,-435149,215589,202711
32,A089790,제이티,20210713,-367674,251830,102470
33,A089790,제이티,20210712,-200930,114561,72915
34,A089790,제이티,20210709,-77683,13620,53861
35,A089790,제이티,20210708,-79628,23200,46224
36,A089790,제이티,20210707,-110466,62580,36418
37,A089790,제이티,20210706,-111598,65146,35034
38,A089790,제이티,20210705,-34443,-12581,27868
39,A089790,제이티,20210702,-124158,77253,28552
40,A089790,제이티,20210701,-98253,51443,30757
41,A089790,제이티,20210630,-82528,36085,30458
42,A089790,제이티,20210629,-75166,29279,29486
43,A089790,제이티,20210628,-72864,25550,31040
44,A089790,제이티,20210625,-55490,8868,32271
45,A089790,제이티,20210624,-51470,4858,32271
46,A089790,제이티,20210623,-65539,21108,33091
47,A089790,제이티,20210622,-76602,35181,29891
48,A089790,제이티,20210621,-97801,59439,30215
49,A089790,제이티,20210618,-112267,73050,28405
50,A089790,제이티,20210617,-83951,45375,28405
51,A089790,제이티,20210616,-76957,37637,28405
52,A089790,제이티,20210615,-70377,31057,28405
53,A089790,제이티,20210614,-63001,28691,28405
54,A089790,제이티,20210611,-56706,22396,28405
55,A089790,제이티,20210610,-27211,-8053,29271
56,A089790,제이티,20210609,-9250,-26014,29271
57,A089790,제이티,20210608,-8051,-27937,29271
58,A089790,제이티,20210607,-14313,-30396,29271
59,A089790,제이티,20210604,-18330,-26067,29271
60,A089790,제이티,20210603,-57142,13462,28507
61,A089790,제이티,20210602,-36642,-6791,28507
62,A089790,제이티,20210601,-24886,-18547,28507
63,A089790,제이티,20210531,-6406,-37007,28507
64,A089790,제이티,20210528,657,-44000,28507
65,A089790,제이티,20210527,15735,-59078,28507
66,A089790,제이티,20210526,12573,-62950,28507
67,A089790,제이티,20210525,11997,-66776,28917
68,A089790,제이티,20210524,23975,-77373,27536
69,A089790,제이티,20210521,25542,-73410,22206
70,A089790,제이티,20210520,17658,-61272,16926
71,A089790,제이티,20210518,20466,-59570,12416
72,A089790,제이티,20210517,28143,-62353,12416
73,A089790,제이티,20210514,-6256,-27954,12416
74,A089790,제이티,20210513,-6718,-28244,12724
75,A089790,제이티,20210512,15999,-51091,11536
76,A089790,제이티,20210511,-19318,-15015,11536
77,A089790,제이티,20210510,-27027,-8569,11536
78,A089790,제이티,20210507,-27768,-7686,11394
79,A089790,제이티,20210506,-28211,-5412,11394
80,A089790,제이티,20210504,-36621,-970,11016
81,A089790,제이티,20210503,-31025,-8269,12731
82,A089790,제이티,20210430,-41899,3882,12731
83,A089790,제이티,20210429,-65337,21487,13064
84,A089790,제이티,20210428,-64024,19715,13835
85,A089790,제이티,20210427,-94525,48847,13835
86,A089790,제이티,20210426,-133757,88190,13835
87,A089790,제이티,20210423,-134147,89448,13151
88,A089790,제이티,20210422,-143165,100123,13151
89,A089790,제이티,20210421,-135941,95981,13151
90,A089790,제이티,20210420,-198637,161170,13151
91,A089790,제이티,20210419,-232680,197044,13151
92,A089790,제이티,20210416,-100623,66622,13151
93,A089790,제이티,20210415,-112296,78362,13151
94,A089790,제이티,20210414,-139090,108271,10151
95,A089790,제이티,20210413,-130236,99417,10151
96,A089790,제이티,20210412,-140065,110080,10151
97,A089790,제이티,20210409,-174956,135089,10105
98,A089790,제이티,20210408,-132819,84201,8913
99,A089790,제이티,20210407,-132767,112269,7002
100,A089790,제이티,20210406,-107255,88621,7002
101,A089790,제이티,20210405,-156170,139724,6710
102,A089790,제이티,20210402,-114142,101360,6622
103,A089790,제이티,20210401,-24,-12068,6426
104,A089790,제이티,20210331,95614,-106413,5682
105,A089790,제이티,20210330,115905,-125488,5682
106,A089790,제이티,20210329,91024,-99425,5191
107,A089790,제이티,20210326,106701,-113787,4296
108,A089790,제이티,20210325,74708,-81849,4296
109,A089790,제이티,20210324,80080,-86235,3231
110,A089790,제이티,20210323,46706,-52780,3231
111,A089790,제이티,20210322,33430,-37605,2862
112,A089790,제이티,20210319,-3190,381,1949
113,A089790,제이티,20210318,37265,-36529,349
114,A089790,제이티,20210317,-84319,85143,349
115,A089790,제이티,20210316,-107439,106615,-3
116,A089790,제이티,20210315,-48929,48512,0
117,A089790,제이티,20210312,-131686,121412,0
118,A089790,제이티,20210311,-114297,114023,0
