,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A036930,주성엔지니어링,20210827,-486927,121731,141295
1,A036930,주성엔지니어링,20210826,-474201,73520,164551
2,A036930,주성엔지니어링,20210825,-534681,88991,206664
3,A036930,주성엔지니어링,20210824,-614550,43911,337007
4,A036930,주성엔지니어링,20210823,-775529,155039,360563
5,A036930,주성엔지니어링,20210820,-717791,299333,205664
6,A036930,주성엔지니어링,20210819,-682881,287072,196175
7,A036930,주성엔지니어링,20210818,-762679,286330,239350
8,A036930,주성엔지니어링,20210817,-901062,428127,239170
9,A036930,주성엔지니어링,20210813,-1046189,604203,225630
10,A036930,주성엔지니어링,20210812,-1322926,829702,328583
11,A036930,주성엔지니어링,20210811,-1274348,688571,438686
12,A036930,주성엔지니어링,20210810,-1639850,660472,783671
13,A036930,주성엔지니어링,20210809,-1792009,830242,770057
14,A036930,주성엔지니어링,20210806,-1817302,779998,844881
15,A036930,주성엔지니어링,20210805,-1873878,822886,849565
16,A036930,주성엔지니어링,20210804,-1481674,413169,799144
17,A036930,주성엔지니어링,20210803,-1440855,437813,762440
18,A036930,주성엔지니어링,20210802,-1412491,373436,801068
19,A036930,주성엔지니어링,20210730,-1361176,315735,809199
20,A036930,주성엔지니어링,20210729,-1362347,294288,828082
21,A036930,주성엔지니어링,20210728,-1369057,318059,809817
22,A036930,주성엔지니어링,20210727,-1382583,319733,806981
23,A036930,주성엔지니어링,20210726,-1421048,357824,816035
24,A036930,주성엔지니어링,20210723,-1347451,331788,819579
25,A036930,주성엔지니어링,20210722,-1467083,475770,794270
26,A036930,주성엔지니어링,20210721,-1236257,339843,745583
27,A036930,주성엔지니어링,20210720,-1147211,235645,748364
28,A036930,주성엔지니어링,20210719,-1576727,592410,840490
29,A036930,주성엔지니어링,20210716,-1663968,648920,879144
30,A036930,주성엔지니어링,20210715,-1718434,678138,912099
31,A036930,주성엔지니어링,20210714,-1797856,680600,995847
32,A036930,주성엔지니어링,20210713,-1858842,709535,1046565
33,A036930,주성엔지니어링,20210712,-1937246,694325,1140260
34,A036930,주성엔지니어링,20210709,-2023767,766515,1156493
35,A036930,주성엔지니어링,20210708,-1971381,659340,1205997
36,A036930,주성엔지니어링,20210707,-1972191,644740,1220826
37,A036930,주성엔지니어링,20210706,-1996725,671343,1242781
38,A036930,주성엔지니어링,20210705,-2236287,739102,1406703
39,A036930,주성엔지니어링,20210702,-2173854,777980,1273136
40,A036930,주성엔지니어링,20210701,-2281080,822901,1316285
41,A036930,주성엔지니어링,20210630,-2354545,928239,1294873
42,A036930,주성엔지니어링,20210629,-2231785,845397,1243730
43,A036930,주성엔지니어링,20210628,-2314761,896306,1283074
44,A036930,주성엔지니어링,20210625,-2470183,1017310,1325101
45,A036930,주성엔지니어링,20210624,-2669771,1139007,1409193
46,A036930,주성엔지니어링,20210623,-2713093,1333451,1297944
47,A036930,주성엔지니어링,20210622,-1782289,664252,1002180
48,A036930,주성엔지니어링,20210621,-1363735,187833,1021264
49,A036930,주성엔지니어링,20210618,-1446375,164131,1173145
50,A036930,주성엔지니어링,20210617,-1449839,167488,1176472
51,A036930,주성엔지니어링,20210616,-1440896,137054,1199212
52,A036930,주성엔지니어링,20210615,-1501218,200243,1199135
53,A036930,주성엔지니어링,20210614,-1645951,234682,1326224
54,A036930,주성엔지니어링,20210611,-1820970,259836,1479290
55,A036930,주성엔지니어링,20210610,-1923480,297073,1543510
56,A036930,주성엔지니어링,20210609,-1996899,370132,1551198
57,A036930,주성엔지니어링,20210608,-2052634,336379,1667331
58,A036930,주성엔지니어링,20210607,-2155218,360784,1728542
59,A036930,주성엔지니어링,20210604,-2175061,390963,1719028
60,A036930,주성엔지니어링,20210603,-2204374,443223,1704798
61,A036930,주성엔지니어링,20210602,-2056043,363837,1656267
62,A036930,주성엔지니어링,20210601,-2100610,342925,1726081
63,A036930,주성엔지니어링,20210531,-2233392,390499,1798925
64,A036930,주성엔지니어링,20210528,-2188062,358905,1805878
65,A036930,주성엔지니어링,20210527,-2369206,573368,1741362
66,A036930,주성엔지니어링,20210526,-2216655,460837,1725423
67,A036930,주성엔지니어링,20210525,-1905001,412062,1461685
68,A036930,주성엔지니어링,20210524,-1782004,437146,1349246
69,A036930,주성엔지니어링,20210521,-1699042,339504,1319509
70,A036930,주성엔지니어링,20210520,-1713292,367947,1305970
71,A036930,주성엔지니어링,20210518,-1530451,253873,1248453
72,A036930,주성엔지니어링,20210517,-1370229,223994,1107367
73,A036930,주성엔지니어링,20210514,-1433901,295690,1096969
74,A036930,주성엔지니어링,20210513,-1260437,391526,866739
75,A036930,주성엔지니어링,20210512,-1239395,390897,835679
76,A036930,주성엔지니어링,20210511,-1259864,403467,829576
77,A036930,주성엔지니어링,20210510,-1337599,383234,957701
78,A036930,주성엔지니어링,20210507,-1342408,426711,934815
79,A036930,주성엔지니어링,20210506,-1316689,450711,931957
80,A036930,주성엔지니어링,20210504,-1524807,620177,961534
81,A036930,주성엔지니어링,20210503,-1495218,708975,836702
82,A036930,주성엔지니어링,20210430,-1478389,734778,801650
83,A036930,주성엔지니어링,20210429,-1534973,665005,947209
84,A036930,주성엔지니어링,20210428,-1341589,708722,702398
85,A036930,주성엔지니어링,20210427,-1464590,830026,695660
86,A036930,주성엔지니어링,20210426,-1210229,695197,579257
87,A036930,주성엔지니어링,20210423,-1254798,745137,583215
88,A036930,주성엔지니어링,20210422,-1132612,635664,561540
89,A036930,주성엔지니어링,20210421,-1262197,806192,525703
90,A036930,주성엔지니어링,20210420,-1158202,713757,507733
91,A036930,주성엔지니어링,20210419,-1115851,740996,389003
92,A036930,주성엔지니어링,20210416,-608123,774264,-160203
93,A036930,주성엔지니어링,20210415,-664606,864151,-180149
94,A036930,주성엔지니어링,20210414,-688515,937712,-178811
95,A036930,주성엔지니어링,20210413,-51413,314968,-323192
96,A036930,주성엔지니어링,20210412,-103684,402239,-359870
97,A036930,주성엔지니어링,20210409,-136367,423823,-339962
98,A036930,주성엔지니어링,20210408,-91031,368648,-325250
99,A036930,주성엔지니어링,20210407,-110539,376830,-312285
100,A036930,주성엔지니어링,20210406,-67953,375299,-358325
101,A036930,주성엔지니어링,20210405,-189293,400553,-254453
102,A036930,주성엔지니어링,20210402,-95185,280845,-231699
103,A036930,주성엔지니어링,20210401,-115469,322363,-256945
104,A036930,주성엔지니어링,20210331,-24176,222999,-254760
105,A036930,주성엔지니어링,20210330,57820,131263,-245609
106,A036930,주성엔지니어링,20210329,30188,137730,-245539
107,A036930,주성엔지니어링,20210326,64566,169794,-310028
108,A036930,주성엔지니어링,20210325,45779,183395,-301459
109,A036930,주성엔지니어링,20210324,-33395,242479,-258818
110,A036930,주성엔지니어링,20210323,23701,196189,-267443
111,A036930,주성엔지니어링,20210322,-41971,250277,-241296
112,A036930,주성엔지니어링,20210319,-38660,255246,-256368
113,A036930,주성엔지니어링,20210318,-97746,280847,-226912
114,A036930,주성엔지니어링,20210317,42859,155648,-218957
115,A036930,주성엔지니어링,20210316,-54842,197536,-182674
116,A036930,주성엔지니어링,20210315,48587,127688,-196936
117,A036930,주성엔지니어링,20210312,-42482,145193,-128771
118,A036930,주성엔지니어링,20210311,-24151,151812,-132721
