,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A078650,지나인제약,20210827,9857385,-820016,-246122
1,A078650,지나인제약,20210826,9880911,-708875,-246122
2,A078650,지나인제약,20210825,9686964,-397516,-246122
3,A078650,지나인제약,20210824,9687681,-391011,-246122
4,A078650,지나인제약,20210823,10264796,-310926,-246122
5,A078650,지나인제약,20210820,11718525,-182507,-246122
6,A078650,지나인제약,20210819,11467573,31716,-195689
7,A078650,지나인제약,20210818,12056373,-7039,-246122
8,A078650,지나인제약,20210817,12018051,-91991,-246122
9,A078650,지나인제약,20210813,12722060,-818268,-243505
10,A078650,지나인제약,20210812,12636742,-847598,-246122
11,A078650,지나인제약,20210811,12399986,-745402,-245630
12,A078650,지나인제약,20210810,11623802,-665911,-88691
13,A078650,지나인제약,20210809,11697303,-914276,-246122
14,A078650,지나인제약,20210806,11576197,-792171,-246122
15,A078650,지나인제약,20210805,11625703,-850509,-162831
16,A078650,지나인제약,20210804,11123510,-732344,50875
17,A078650,지나인제약,20210803,11321158,-754693,-243495
18,A078650,지나인제약,20210802,10894326,-701345,116220
19,A078650,지나인제약,20210730,9941334,-513033,371207
20,A078650,지나인제약,20210729,10393496,-742715,-246122
21,A078650,지나인제약,20210728,7712490,-132373,-246121
22,A078650,지나인제약,20210727,7715867,-134403,-246122
23,A078650,지나인제약,20210726,7506896,79882,-243351
24,A078650,지나인제약,20210723,7836574,-299301,-242509
25,A078650,지나인제약,20210722,7917323,-365681,-241450
26,A078650,지나인제약,20210721,8070967,-511411,-246122
27,A078650,지나인제약,20210720,7463627,66305,-246122
28,A078650,지나인제약,20210719,7357459,13472,-246122
29,A078650,지나인제약,20210716,8005636,-635440,-246122
30,A078650,지나인제약,20210715,8118644,-761088,-246122
31,A078650,지나인제약,20210714,8135836,-758470,-246122
32,A078650,지나인제약,20210713,8107768,-733535,-246122
33,A078650,지나인제약,20210712,8252541,-873102,-246121
34,A078650,지나인제약,20210709,8214404,-840110,-246121
35,A078650,지나인제약,20210708,8208601,-832760,-246122
36,A078650,지나인제약,20210707,8086113,-707137,-246122
37,A078650,지나인제약,20210706,8104675,-655506,-243815
