,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A219750,지티지웰니스,20210827,604195,191050,0
1,A219750,지티지웰니스,20210826,594336,202429,0
2,A219750,지티지웰니스,20210825,605783,181952,0
3,A219750,지티지웰니스,20210824,570821,218289,0
4,A219750,지티지웰니스,20210823,663422,125333,0
5,A219750,지티지웰니스,20210820,653210,127409,0
6,A219750,지티지웰니스,20210819,634445,136106,0
7,A219750,지티지웰니스,20210818,458522,210614,0
8,A219750,지티지웰니스,20210817,66916,189797,0
9,A219750,지티지웰니스,20210813,27358,226375,0
10,A219750,지티지웰니스,20210812,-17962,255123,0
11,A219750,지티지웰니스,20210811,5658,179707,0
12,A219750,지티지웰니스,20210810,18881,158253,0
13,A219750,지티지웰니스,20210809,1240,153869,0
14,A219750,지티지웰니스,20210806,-41981,188740,0
15,A219750,지티지웰니스,20210805,-65356,203668,0
16,A219750,지티지웰니스,20210804,-60638,192043,0
17,A219750,지티지웰니스,20210803,-95513,153160,0
18,A219750,지티지웰니스,20210802,-157879,194366,0
19,A219750,지티지웰니스,20210730,-169428,202048,0
20,A219750,지티지웰니스,20210729,-203894,230540,0
21,A219750,지티지웰니스,20210728,-208501,230147,0
22,A219750,지티지웰니스,20210727,-198972,218823,0
23,A219750,지티지웰니스,20210726,-196003,215978,0
24,A219750,지티지웰니스,20210723,-216090,236065,0
25,A219750,지티지웰니스,20210722,-197335,217303,0
26,A219750,지티지웰니스,20210721,-190265,211509,0
27,A219750,지티지웰니스,20210720,-156880,170125,0
28,A219750,지티지웰니스,20210719,-156507,169752,0
29,A219750,지티지웰니스,20210716,-167306,180671,0
30,A219750,지티지웰니스,20210715,-173702,187169,0
31,A219750,지티지웰니스,20210714,-170185,183197,0
32,A219750,지티지웰니스,20210713,-178251,191599,0
33,A219750,지티지웰니스,20210712,-154768,168116,0
34,A219750,지티지웰니스,20210709,-199601,176511,0
35,A219750,지티지웰니스,20210708,-262568,205811,0
36,A219750,지티지웰니스,20210707,-304996,248889,0
37,A219750,지티지웰니스,20210706,-327055,270724,0
38,A219750,지티지웰니스,20210705,-284125,248565,0
39,A219750,지티지웰니스,20210702,-308009,267640,0
40,A219750,지티지웰니스,20210701,-312952,272476,0
41,A219750,지티지웰니스,20210630,-311948,274968,0
42,A219750,지티지웰니스,20210629,-314746,277847,0
43,A219750,지티지웰니스,20210628,-303573,266834,0
44,A219750,지티지웰니스,20210625,-318353,279114,0
45,A219750,지티지웰니스,20210624,-324250,285011,0
46,A219750,지티지웰니스,20210623,-312425,272586,0
47,A219750,지티지웰니스,20210622,-300923,260945,0
48,A219750,지티지웰니스,20210621,-326490,293622,0
49,A219750,지티지웰니스,20210618,-328596,295728,0
50,A219750,지티지웰니스,20210617,-314576,280108,0
51,A219750,지티지웰니스,20210616,-306845,272177,0
52,A219750,지티지웰니스,20210615,-316302,275470,0
53,A219750,지티지웰니스,20210614,-290710,253671,0
54,A219750,지티지웰니스,20210611,-294638,245706,6005
55,A219750,지티지웰니스,20210610,-296040,258231,0
56,A219750,지티지웰니스,20210609,-325259,287354,0
57,A219750,지티지웰니스,20210608,-267979,229124,0
58,A219750,지티지웰니스,20210607,-260054,222199,0
59,A219750,지티지웰니스,20210604,-298287,261355,0
60,A219750,지티지웰니스,20210603,-266013,227381,0
61,A219750,지티지웰니스,20210602,-254276,215679,0
62,A219750,지티지웰니스,20210601,-267314,230492,0
63,A219750,지티지웰니스,20210531,-268967,231966,0
64,A219750,지티지웰니스,20210528,-282146,244895,0
65,A219750,지티지웰니스,20210527,-264516,224215,0
66,A219750,지티지웰니스,20210526,-257416,217256,0
67,A219750,지티지웰니스,20210525,-248725,209707,0
68,A219750,지티지웰니스,20210524,-222990,187223,0
69,A219750,지티지웰니스,20210521,-215808,181180,0
70,A219750,지티지웰니스,20210520,-226293,182005,0
71,A219750,지티지웰니스,20210518,-223342,178855,0
72,A219750,지티지웰니스,20210517,-192914,148172,0
73,A219750,지티지웰니스,20210514,-189593,156110,0
74,A219750,지티지웰니스,20210513,-230645,195382,0
75,A219750,지티지웰니스,20210512,-210031,183678,0
76,A219750,지티지웰니스,20210511,-283442,249251,0
77,A219750,지티지웰니스,20210510,-314678,281271,0
78,A219750,지티지웰니스,20210507,-269919,237331,0
79,A219750,지티지웰니스,20210506,-237137,204549,0
80,A219750,지티지웰니스,20210504,-220933,188531,0
81,A219750,지티지웰니스,20210503,-134464,103182,0
82,A219750,지티지웰니스,20210430,-113789,82509,0
83,A219750,지티지웰니스,20210429,-103137,71659,0
