,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A094850,참좋은여행,20210827,-388059,253785,179165
1,A094850,참좋은여행,20210826,-384590,238985,179165
2,A094850,참좋은여행,20210825,-338030,188691,181900
3,A094850,참좋은여행,20210824,-330112,175834,183625
4,A094850,참좋은여행,20210823,-335331,175666,189667
5,A094850,참좋은여행,20210820,-329707,179659,180247
6,A094850,참좋은여행,20210819,-339564,194283,175430
7,A094850,참좋은여행,20210818,-327513,216250,140506
8,A094850,참좋은여행,20210817,-349011,184627,196247
9,A094850,참좋은여행,20210813,-444408,190755,263997
10,A094850,참좋은여행,20210812,-495768,203469,302751
11,A094850,참좋은여행,20210811,-455539,175772,284226
12,A094850,참좋은여행,20210810,-407826,165339,246720
13,A094850,참좋은여행,20210809,-406667,145402,265608
14,A094850,참좋은여행,20210806,-399780,138012,267111
15,A094850,참좋은여행,20210805,-366578,125334,246345
16,A094850,참좋은여행,20210804,-348257,129667,223342
17,A094850,참좋은여행,20210803,-306580,80645,230657
18,A094850,참좋은여행,20210802,-382824,97365,293310
19,A094850,참좋은여행,20210730,-434431,87393,356852
20,A094850,참좋은여행,20210729,-523564,105446,418894
21,A094850,참좋은여행,20210728,-537254,119799,417722
22,A094850,참좋은여행,20210727,-538357,114457,423806
23,A094850,참좋은여행,20210726,-569249,140367,418847
24,A094850,참좋은여행,20210723,-775175,133237,633723
25,A094850,참좋은여행,20210722,-965824,310299,629614
26,A094850,참좋은여행,20210721,-770256,242021,520916
27,A094850,참좋은여행,20210720,-786228,323306,456360
28,A094850,참좋은여행,20210719,-465803,256322,238700
29,A094850,참좋은여행,20210716,-380684,285811,136114
30,A094850,참좋은여행,20210715,-394745,297372,138028
31,A094850,참좋은여행,20210714,-387781,291470,136916
32,A094850,참좋은여행,20210713,-376689,279590,137274
33,A094850,참좋은여행,20210712,-382195,285097,137216
34,A094850,참좋은여행,20210709,-383806,294737,129277
35,A094850,참좋은여행,20210708,-355734,248959,145884
36,A094850,참좋은여행,20210707,-399734,284581,154813
37,A094850,참좋은여행,20210706,-379744,252905,166304
38,A094850,참좋은여행,20210705,-380255,257805,164651
39,A094850,참좋은여행,20210702,-310171,212952,139416
40,A094850,참좋은여행,20210701,-338830,217836,162333
41,A094850,참좋은여행,20210630,-371417,224622,188381
42,A094850,참좋은여행,20210629,-412899,239746,214674
43,A094850,참좋은여행,20210628,-425280,240765,214466
44,A094850,참좋은여행,20210625,-456102,235385,223040
45,A094850,참좋은여행,20210624,-461620,284495,215428
46,A094850,참좋은여행,20210623,-350742,249916,139138
47,A094850,참좋은여행,20210622,-340071,235075,144227
48,A094850,참좋은여행,20210621,-362458,245883,156136
49,A094850,참좋은여행,20210618,-367160,248300,159394
50,A094850,참좋은여행,20210617,-341831,253216,128546
51,A094850,참좋은여행,20210616,-359056,270639,128583
52,A094850,참좋은여행,20210615,-202705,258634,-15028
53,A094850,참좋은여행,20210614,-206890,260843,-11504
54,A094850,참좋은여행,20210611,-301697,283477,58973
55,A094850,참좋은여행,20210610,-362391,299491,104104
56,A094850,참좋은여행,20210609,-389921,374730,56135
57,A094850,참좋은여행,20210608,-428906,402043,60399
58,A094850,참좋은여행,20210607,-462149,402096,94169
59,A094850,참좋은여행,20210604,-346030,413729,-33641
60,A094850,참좋은여행,20210603,-318346,380190,-26796
61,A094850,참좋은여행,20210602,-422062,406770,41333
62,A094850,참좋은여행,20210601,-554860,495963,82420
63,A094850,참좋은여행,20210531,-747417,488631,288316
64,A094850,참좋은여행,20210528,-844593,404717,442676
65,A094850,참좋은여행,20210527,-798163,352963,447465
66,A094850,참좋은여행,20210526,-737814,308025,432703
67,A094850,참좋은여행,20210525,-800672,363370,445434
68,A094850,참좋은여행,20210524,-688776,223285,472630
69,A094850,참좋은여행,20210521,-668775,200976,473850
70,A094850,참좋은여행,20210520,-835729,370135,472905
71,A094850,참좋은여행,20210518,-744264,290544,459412
72,A094850,참좋은여행,20210517,-693999,265511,430729
73,A094850,참좋은여행,20210514,-392664,227317,170161
74,A094850,참좋은여행,20210513,-307389,200563,109894
75,A094850,참좋은여행,20210512,-265592,172011,99080
76,A094850,참좋은여행,20210511,-266711,211822,58035
77,A094850,참좋은여행,20210510,-236570,183026,53771
78,A094850,참좋은여행,20210507,-54941,79448,-22509
79,A094850,참좋은여행,20210506,-27384,52287,-22492
80,A094850,참좋은여행,20210504,-12379,36819,-22362
81,A094850,참좋은여행,20210503,-35378,37315,62
82,A094850,참좋은여행,20210430,-47407,50844,227
83,A094850,참좋은여행,20210429,-11054,10774,-393
84,A094850,참좋은여행,20210428,-496,7716,-6675
85,A094850,참좋은여행,20210427,-33941,34634,-8765
86,A094850,참좋은여행,20210426,-22808,48335,-33624
87,A094850,참좋은여행,20210423,-25163,57562,-35635
88,A094850,참좋은여행,20210422,-21661,54294,-35608
89,A094850,참좋은여행,20210421,-32903,65732,-35404
90,A094850,참좋은여행,20210420,-23689,59809,-35833
91,A094850,참좋은여행,20210419,-11359,41014,-35683
92,A094850,참좋은여행,20210416,-7414,37711,-35571
93,A094850,참좋은여행,20210415,-7838,41930,-35674
94,A094850,참좋은여행,20210414,-4837,39834,-36577
95,A094850,참좋은여행,20210413,-6274,41310,-36577
96,A094850,참좋은여행,20210412,-9440,45425,-36565
97,A094850,참좋은여행,20210409,-25553,44967,-19871
98,A094850,참좋은여행,20210408,-25218,39802,-20135
99,A094850,참좋은여행,20210407,-29853,40962,-20060
100,A094850,참좋은여행,20210406,-27076,42540,-26451
101,A094850,참좋은여행,20210405,1932,34795,-45032
102,A094850,참좋은여행,20210402,-3596,37981,-45032
103,A094850,참좋은여행,20210401,-10959,46282,-44983
104,A094850,참좋은여행,20210331,-13543,49259,-44972
105,A094850,참좋은여행,20210330,-20071,45917,-34972
106,A094850,참좋은여행,20210329,-15027,36159,-29942
107,A094850,참좋은여행,20210326,-5288,28266,-29942
108,A094850,참좋은여행,20210325,-13077,36480,-29902
109,A094850,참좋은여행,20210324,-38913,32855,-926
110,A094850,참좋은여행,20210323,-22060,16457,-902
111,A094850,참좋은여행,20210322,-36566,30338,-902
112,A094850,참좋은여행,20210319,-26059,19831,-902
113,A094850,참좋은여행,20210318,-67746,62036,-902
114,A094850,참좋은여행,20210317,-79869,73571,-644
