,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A033250,체시스,20210827,32120,-21554,-4346
1,A033250,체시스,20210826,31666,-21100,-4346
2,A033250,체시스,20210825,25638,-15073,-4345
3,A033250,체시스,20210824,22530,-27837,-4373
4,A033250,체시스,20210823,26232,-31503,-4406
5,A033250,체시스,20210820,50014,-58766,-4274
6,A033250,체시스,20210819,88979,-94935,-4278
7,A033250,체시스,20210818,73237,-85643,-4288
8,A033250,체시스,20210817,106314,-119189,-4511
9,A033250,체시스,20210813,106752,-119120,-4516
10,A033250,체시스,20210812,83221,-104367,-4517
11,A033250,체시스,20210811,72003,-90467,-7207
12,A033250,체시스,20210810,25716,-57845,-7172
13,A033250,체시스,20210809,52877,-75033,-6945
14,A033250,체시스,20210806,-182679,83309,-6888
15,A033250,체시스,20210805,-170012,76680,-6726
16,A033250,체시스,20210804,-161099,70819,-6716
17,A033250,체시스,20210803,-110658,20347,-6685
18,A033250,체시스,20210802,-212735,121462,-6721
19,A033250,체시스,20210730,-229539,138161,-6665
20,A033250,체시스,20210729,-250018,158651,-6676
21,A033250,체시스,20210728,-264344,173157,-6681
22,A033250,체시스,20210727,-300353,209323,-6838
23,A033250,체시스,20210726,-250685,159853,-7036
24,A033250,체시스,20210723,-277135,198251,-7037
25,A033250,체시스,20210722,-274216,192328,-7033
26,A033250,체시스,20210721,-257297,179113,-7029
27,A033250,체시스,20210720,-260286,211089,-7016
28,A033250,체시스,20210719,-262445,254063,-6994
29,A033250,체시스,20210716,-232880,242448,-6983
30,A033250,체시스,20210715,-362540,370836,-6968
31,A033250,체시스,20210714,-585290,539769,-6956
32,A033250,체시스,20210713,-660421,614886,-6942
33,A033250,체시스,20210712,-665970,600729,-6936
34,A033250,체시스,20210709,-574049,518666,-6833
35,A033250,체시스,20210708,-561372,503165,-6709
36,A033250,체시스,20210707,-584109,520040,-6705
37,A033250,체시스,20210706,-557830,494302,-6702
38,A033250,체시스,20210705,-566252,502701,-6680
39,A033250,체시스,20210702,-520721,446048,-658
40,A033250,체시스,20210701,-521562,460659,-6628
41,A033250,체시스,20210630,-613840,577106,-6531
42,A033250,체시스,20210629,-602700,565524,-7089
43,A033250,체시스,20210628,-656177,616965,-7063
44,A033250,체시스,20210625,-602183,562033,-7015
45,A033250,체시스,20210624,-573079,530708,-6843
46,A033250,체시스,20210623,-551901,509524,-6839
47,A033250,체시스,20210622,-551306,508771,-6671
48,A033250,체시스,20210621,-525781,481359,-6664
49,A033250,체시스,20210618,-524358,479921,-6649
50,A033250,체시스,20210617,-508183,457803,-6626
51,A033250,체시스,20210616,-509990,448528,-6544
52,A033250,체시스,20210615,-464219,402707,-6514
53,A033250,체시스,20210614,-480090,418427,-6364
54,A033250,체시스,20210611,-467570,405755,-6252
55,A033250,체시스,20210610,-490204,428571,-6434
56,A033250,체시스,20210609,-402287,340631,-6431
57,A033250,체시스,20210608,-419418,361772,-6427
58,A033250,체시스,20210607,-419551,360372,-6424
59,A033250,체시스,20210604,-383971,322286,-6418
60,A033250,체시스,20210603,-289882,306526,-6401
61,A033250,체시스,20210602,-250610,265982,-6385
62,A033250,체시스,20210601,-245773,261138,-6359
63,A033250,체시스,20210531,-246832,259430,-6269
64,A033250,체시스,20210528,-228649,241242,-6264
65,A033250,체시스,20210527,-190948,203126,-6240
66,A033250,체시스,20210526,-194853,207240,-6239
67,A033250,체시스,20210525,-192044,204486,-6302
68,A033250,체시스,20210524,-192936,205452,-6276
69,A033250,체시스,20210521,-201288,213987,-6258
70,A033250,체시스,20210520,-228634,241236,-6314
71,A033250,체시스,20210518,-225808,238862,-6266
72,A033250,체시스,20210517,-206426,219635,-6223
73,A033250,체시스,20210514,-218207,230885,-5482
74,A033250,체시스,20210513,-250738,264114,-5687
75,A033250,체시스,20210512,-236139,231271,13032
76,A033250,체시스,20210511,-248307,243541,13030
77,A033250,체시스,20210510,-233407,228534,13157
78,A033250,체시스,20210507,-191190,185762,13142
79,A033250,체시스,20210506,-60099,55275,13128
80,A033250,체시스,20210504,-251867,227905,13074
81,A033250,체시스,20210503,-235387,212962,13003
82,A033250,체시스,20210430,-198617,175436,12959
83,A033250,체시스,20210429,-174680,151504,12954
84,A033250,체시스,20210428,-161254,138159,12873
85,A033250,체시스,20210427,-182804,159600,12870
86,A033250,체시스,20210426,-227778,204477,12868
87,A033250,체시스,20210423,-214120,190923,12864
88,A033250,체시스,20210422,-204079,180903,12858
89,A033250,체시스,20210421,-224961,202034,12929
90,A033250,체시스,20210420,-265561,242648,12915
91,A033250,체시스,20210419,-259926,246773,3784
92,A033250,체시스,20210416,-298245,282255,3856
93,A033250,체시스,20210415,-319413,305399,3860
94,A033250,체시스,20210414,-337254,325880,3981
95,A033250,체시스,20210413,-308603,297201,3993
96,A033250,체시스,20210412,-313460,302496,4055
97,A033250,체시스,20210409,-284814,274827,4110
98,A033250,체시스,20210408,-285148,274706,4120
99,A033250,체시스,20210407,-285285,273840,4123
100,A033250,체시스,20210406,-285304,273455,4127
101,A033250,체시스,20210405,-281543,272988,893
102,A033250,체시스,20210402,-254255,245670,925
103,A033250,체시스,20210401,-260367,251776,931
104,A033250,체시스,20210331,-308491,299602,949
105,A033250,체시스,20210330,-306477,297433,998
106,A033250,체시스,20210329,-304354,295298,1003
107,A033250,체시스,20210326,-279499,266501,1008
108,A033250,체시스,20210325,-265930,252010,1009
109,A033250,체시스,20210324,-232482,218578,1009
110,A033250,체시스,20210323,-224045,211165,985
111,A033250,체시스,20210322,-257695,244635,986
112,A033250,체시스,20210319,-274855,261785,996
113,A033250,체시스,20210318,-286970,274947,-51
114,A033250,체시스,20210317,-252387,239896,-33
115,A033250,체시스,20210316,-237665,226725,-34
116,A033250,체시스,20210315,-240452,229510,-32
117,A033250,체시스,20210312,-161463,150182,7
