,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A016920,카스,20210827,190225,-29286,1894
1,A016920,카스,20210826,192473,-32063,1894
2,A016920,카스,20210825,182491,-23249,1894
3,A016920,카스,20210824,158715,440,1894
4,A016920,카스,20210823,193516,-37570,1894
5,A016920,카스,20210820,223933,-65719,1894
6,A016920,카스,20210819,200083,-46421,1894
7,A016920,카스,20210818,839,159190,1894
8,A016920,카스,20210817,151490,8687,1894
9,A016920,카스,20210813,103389,56027,1894
10,A016920,카스,20210812,141584,17797,1894
11,A016920,카스,20210811,231990,-72115,1894
12,A016920,카스,20210810,255705,-96630,1894
13,A016920,카스,20210809,292618,-147384,1894
14,A016920,카스,20210806,252252,-106425,1894
15,A016920,카스,20210805,162361,-22509,1894
16,A016920,카스,20210804,201677,-64424,1894
17,A016920,카스,20210803,258992,-124308,1894
18,A016920,카스,20210802,241208,-102875,1894
19,A016920,카스,20210730,105119,33799,1894
20,A016920,카스,20210729,62824,68355,3277
21,A016920,카스,20210728,-32070,162854,3277
22,A016920,카스,20210727,50635,80636,3277
23,A016920,카스,20210726,-106365,236921,9812
24,A016920,카스,20210723,-97128,226302,9812
25,A016920,카스,20210722,-94574,223180,9812
26,A016920,카스,20210721,-41209,167188,9812
27,A016920,카스,20210720,-55987,185050,9812
28,A016920,카스,20210719,-128502,256540,9812
29,A016920,카스,20210716,-3822,127906,9812
30,A016920,카스,20210715,-121541,238316,9812
31,A016920,카스,20210714,-137428,254810,9812
32,A016920,카스,20210713,-179750,290041,9812
33,A016920,카스,20210712,-344864,458347,8492
34,A016920,카스,20210709,-159003,274375,8492
35,A016920,카스,20210708,-270984,399318,7197
36,A016920,카스,20210707,-24663,155208,7197
37,A016920,카스,20210706,23379,95702,15697
38,A016920,카스,20210705,102583,22112,15696
39,A016920,카스,20210702,195539,-62635,18153
40,A016920,카스,20210701,244857,-96610,5619
41,A016920,카스,20210630,269386,-118260,1894
42,A016920,카스,20210629,284635,-139005,19579
43,A016920,카스,20210628,274642,-112423,4588
44,A016920,카스,20210625,286479,-125931,2194
45,A016920,카스,20210624,13542,-49920,202162
46,A016920,카스,20210623,-3001,-10402,186652
47,A016920,카스,20210622,112605,-85792,126950
48,A016920,카스,20210621,319979,-156087,2194
49,A016920,카스,20210618,-29039,123232,74937
50,A016920,카스,20210617,-125414,156759,142682
51,A016920,카스,20210616,289511,-131950,12894
52,A016920,카스,20210615,271408,-118510,10894
53,A016920,카스,20210614,260676,-99570,1894
54,A016920,카스,20210611,243221,-96120,8554
55,A016920,카스,20210610,190460,-93163,44230
56,A016920,카스,20210609,271582,-119348,5003
57,A016920,카스,20210608,288401,-135653,1775
58,A016920,카스,20210607,313999,-158825,1775
59,A016920,카스,20210604,366910,-211557,0
60,A016920,카스,20210603,362980,-214576,6644
61,A016920,카스,20210602,390828,-233754,0
62,A016920,카스,20210601,333074,-227157,35650
63,A016920,카스,20210531,238780,-113217,29299
64,A016920,카스,20210528,254091,-204040,105465
65,A016920,카스,20210527,-339440,303276,200542
66,A016920,카스,20210526,104941,45548,16675
67,A016920,카스,20210525,244631,-100787,23184
68,A016920,카스,20210524,288873,-131462,0
69,A016920,카스,20210521,248377,-110578,0
70,A016920,카스,20210520,252555,-114400,0
71,A016920,카스,20210518,259141,-107872,100
72,A016920,카스,20210517,385109,-222510,0
73,A016920,카스,20210514,321326,-165664,15722
74,A016920,카스,20210513,301764,-145191,0
75,A016920,카스,20210512,186977,-31667,0
76,A016920,카스,20210511,191217,-35716,0
77,A016920,카스,20210510,214232,-58631,0
78,A016920,카스,20210507,257548,-107790,0
79,A016920,카스,20210506,256074,-105425,0
80,A016920,카스,20210504,346852,-196117,0
81,A016920,카스,20210503,319227,-168252,0
82,A016920,카스,20210430,290532,-141585,3397
83,A016920,카스,20210429,359977,-211333,3397
84,A016920,카스,20210428,417263,-265136,0
85,A016920,카스,20210427,401465,-252752,0
86,A016920,카스,20210426,382180,-233419,0
87,A016920,카스,20210423,366327,-219335,0
88,A016920,카스,20210422,185173,-38611,0
89,A016920,카스,20210421,252100,-100094,0
90,A016920,카스,20210420,197872,-55718,7452
91,A016920,카스,20210419,268909,-138490,4910
92,A016920,카스,20210416,310858,-187570,2435
93,A016920,카스,20210415,263534,-137692,2435
94,A016920,카스,20210414,149613,-136069,0
95,A016920,카스,20210413,144963,-136856,0
96,A016920,카스,20210412,127684,-187291,79064
97,A016920,카스,20210409,142770,-129508,0
98,A016920,카스,20210408,63452,-54648,0
99,A016920,카스,20210407,-294976,284249,0
100,A016920,카스,20210406,-241607,229681,0
101,A016920,카스,20210405,-229037,217249,0
102,A016920,카스,20210402,-182128,170163,0
103,A016920,카스,20210401,-185791,174056,0
104,A016920,카스,20210331,-191476,178672,0
105,A016920,카스,20210330,-187161,169786,0
106,A016920,카스,20210329,-58101,35798,0
107,A016920,카스,20210326,-215063,204901,0
108,A016920,카스,20210325,-225470,215318,0
109,A016920,카스,20210324,-213999,203862,0
110,A016920,카스,20210323,-139880,129743,0
111,A016920,카스,20210322,-105908,96872,0
112,A016920,카스,20210319,-52668,44763,0
113,A016920,카스,20210318,-51441,43121,0
114,A016920,카스,20210317,-23559,15285,0
115,A016920,카스,20210316,-4510,-2493,0
116,A016920,카스,20210315,-59781,59881,0
117,A016920,카스,20210312,-74253,74388,0
118,A016920,카스,20210311,-77670,77793,0
