,辆格内靛,辆格疙,朝楼,俺牢 鉴概荐,寇惫牢 鉴概荐,扁包 鉴概荐
0,A145270,纳捞啪府明,20210827,1186677,245156,-187983
1,A145270,纳捞啪府明,20210826,1094499,349519,-199187
2,A145270,纳捞啪府明,20210825,938069,469570,-161941
3,A145270,纳捞啪府明,20210824,937641,474625,-166573
4,A145270,纳捞啪府明,20210823,856330,514265,-124717
5,A145270,纳捞啪府明,20210820,896105,465324,-122212
6,A145270,纳捞啪府明,20210819,853364,501319,-106356
7,A145270,纳捞啪府明,20210818,839609,548532,-138110
8,A145270,纳捞啪府明,20210817,1038629,353701,-142299
9,A145270,纳捞啪府明,20210813,1196790,269803,-235446
10,A145270,纳捞啪府明,20210812,1202090,265833,-235066
11,A145270,纳捞啪府明,20210811,1210100,210580,-188791
12,A145270,纳捞啪府明,20210810,1331099,100712,-198216
13,A145270,纳捞啪府明,20210809,1318820,143395,-228770
14,A145270,纳捞啪府明,20210806,1360446,47939,-172594
15,A145270,纳捞啪府明,20210805,1391172,17456,-172837
16,A145270,纳捞啪府明,20210804,1455806,-40530,-179482
17,A145270,纳捞啪府明,20210803,1482177,-70981,-175301
18,A145270,纳捞啪府明,20210802,1395796,-17023,-143708
19,A145270,纳捞啪府明,20210730,1439116,-38756,-167545
20,A145270,纳捞啪府明,20210729,1563502,-131141,-201456
21,A145270,纳捞啪府明,20210728,1731729,-270592,-228042
22,A145270,纳捞啪府明,20210727,1950657,-492161,-225201
23,A145270,纳捞啪府明,20210726,2038182,-615157,-189530
24,A145270,纳捞啪府明,20210723,1974865,-567626,-175547
25,A145270,纳捞啪府明,20210722,2014625,-593824,-188521
26,A145270,纳捞啪府明,20210721,1997332,-575874,-191178
27,A145270,纳捞啪府明,20210720,1896549,-470119,-194493
28,A145270,纳捞啪府明,20210719,1915992,-501780,-182050
29,A145270,纳捞啪府明,20210716,1863070,-445819,-185039
30,A145270,纳捞啪府明,20210715,1931041,-473654,-224175
31,A145270,纳捞啪府明,20210714,1937078,-441555,-262310
32,A145270,纳捞啪府明,20210713,2161178,-668988,-266377
33,A145270,纳捞啪府明,20210712,2140096,-658225,-247945
34,A145270,纳捞啪府明,20210709,2124628,-651718,-249659
35,A145270,纳捞啪府明,20210708,2194109,-714309,-256552
36,A145270,纳捞啪府明,20210707,2200361,-719990,-259429
37,A145270,纳捞啪府明,20210706,2192146,-741718,-262740
38,A145270,纳捞啪府明,20210705,2136563,-743831,-256784
39,A145270,纳捞啪府明,20210702,2210687,-765127,-307117
40,A145270,纳捞啪府明,20210701,2210634,-738316,-330625
41,A145270,纳捞啪府明,20210630,1992080,-469841,-380095
42,A145270,纳捞啪府明,20210629,2171355,-638501,-316092
43,A145270,纳捞啪府明,20210628,2188488,-659941,-311084
44,A145270,纳捞啪府明,20210625,2311875,-789815,-302058
