,辆格内靛,辆格疙,朝楼,俺牢 鉴概荐,寇惫牢 鉴概荐,扁包 鉴概荐
0,A046070,内促内,20210827,-236493,285925,1
1,A046070,内促内,20210826,-243680,293112,1
2,A046070,内促内,20210825,-252411,301843,1
3,A046070,内促内,20210824,-260120,309552,1
4,A046070,内促内,20210823,-269033,318465,1
5,A046070,内促内,20210820,-280575,330007,1
6,A046070,内促内,20210819,-312795,362227,1
7,A046070,内促内,20210818,-329044,378476,1
8,A046070,内促内,20210817,-335536,384968,1
9,A046070,内促内,20210813,-340011,389443,1
10,A046070,内促内,20210812,-391962,442894,1
11,A046070,内促内,20210811,-394572,445504,1
12,A046070,内促内,20210810,-387185,438117,1
13,A046070,内促内,20210809,-410973,461905,1
14,A046070,内促内,20210806,-429488,469420,1
15,A046070,内促内,20210805,-433155,473087,1
16,A046070,内促内,20210804,-428165,468096,2
17,A046070,内促内,20210803,-421182,461113,2
18,A046070,内促内,20210802,-428798,468729,2
19,A046070,内促内,20210730,-434957,474387,2
20,A046070,内促内,20210729,-434951,474381,2
21,A046070,内促内,20210728,-431419,471349,2
22,A046070,内促内,20210727,-448014,487924,2
23,A046070,内促内,20210726,-443706,483636,2
24,A046070,内促内,20210723,-445023,484953,2
25,A046070,内促内,20210722,-486554,526484,2
26,A046070,内促内,20210721,-495514,535444,2
27,A046070,内促内,20210720,-500518,540449,2
28,A046070,内促内,20210719,-523390,563321,2
29,A046070,内促内,20210716,-574534,614465,2
30,A046070,内促内,20210715,-603823,643754,2
31,A046070,内促内,20210714,-628938,668869,2
32,A046070,内促内,20210713,-629641,669572,2
33,A046070,内促内,20210712,-640336,680267,2
34,A046070,内促内,20210709,-641919,681850,2
35,A046070,内促内,20210708,-639608,679539,1
36,A046070,内促内,20210707,-661921,702352,1
37,A046070,内促内,20210706,-674429,714753,1
38,A046070,内促内,20210705,-692874,733998,1
39,A046070,内促内,20210702,-708538,749590,1
40,A046070,内促内,20210701,-733494,773346,1
41,A046070,内促内,20210630,-702050,741896,1
42,A046070,内促内,20210629,-698893,738839,1
43,A046070,内促内,20210628,-717081,757037,1
44,A046070,内促内,20210625,-715040,754996,1
45,A046070,内促内,20210624,-675091,713584,1
46,A046070,内促内,20210623,-658827,699420,1
47,A046070,内促内,20210622,-670603,711411,1
48,A046070,内促内,20210621,-670974,708802,1
49,A046070,内促内,20210618,-663215,681151,1
50,A046070,内促内,20210617,-671996,691089,1
51,A046070,内促内,20210616,-672226,692139,1
52,A046070,内促内,20210615,-673210,692950,1
53,A046070,内促内,20210614,-661823,683560,1
54,A046070,内促内,20210611,-629964,646616,1
55,A046070,内促内,20210610,-564620,588225,1
56,A046070,内促内,20210609,-505102,546707,1
57,A046070,内促内,20210608,-464996,506451,1
58,A046070,内促内,20210607,-447269,488721,1
59,A046070,内促内,20210604,-437104,478930,1
60,A046070,内促内,20210603,-358117,389713,1
61,A046070,内促内,20210602,-350455,382051,1
62,A046070,内促内,20210601,-290573,322169,1
63,A046070,内促内,20210531,-288928,319724,1
64,A046070,内促内,20210528,-285609,316785,1
65,A046070,内促内,20210527,-233953,265129,1
66,A046070,内促内,20210526,-225969,257145,1
67,A046070,内促内,20210525,-218291,249467,1
68,A046070,内促内,20210524,-224165,255341,1
69,A046070,内促内,20210521,-187027,218073,11
70,A046070,内促内,20210520,-171785,202832,11
71,A046070,内促内,20210518,-122017,153057,18
72,A046070,内促内,20210517,-259279,285123,22
73,A046070,内促内,20210514,-257189,277244,22
74,A046070,内促内,20210513,-105873,125214,1
75,A046070,内促内,20210512,-115084,132025,1
76,A046070,内促内,20210511,-100105,116735,1
77,A046070,内促内,20210510,-86713,103343,1
78,A046070,内促内,20210507,-77677,94307,1
79,A046070,内促内,20210506,-71204,87834,1
80,A046070,内促内,20210504,-63260,79890,1
81,A046070,内促内,20210503,-83219,99849,1
82,A046070,内促内,20210430,-67527,83674,1
83,A046070,内促内,20210429,-76423,93835,1
84,A046070,内促内,20210428,-84506,102019,1
85,A046070,内促内,20210427,-121081,136281,1
86,A046070,内促内,20210426,-116519,131969,1
87,A046070,内促内,20210423,-120456,135905,1
88,A046070,内促内,20210422,-122419,137871,1
89,A046070,内促内,20210421,-130274,146327,1
90,A046070,内促内,20210420,-147886,163939,1
91,A046070,内促内,20210419,-147303,165259,0
92,A046070,内促内,20210416,-164460,183919,0
93,A046070,内促内,20210415,-187173,204909,0
94,A046070,内促内,20210414,-200117,216748,0
95,A046070,内促内,20210413,-228863,243885,0
96,A046070,内促内,20210412,-314621,347837,0
97,A046070,内促内,20210409,-417869,436816,0
98,A046070,内促内,20210408,-401551,420498,0
99,A046070,内促内,20210407,-389976,408923,0
100,A046070,内促内,20210406,-357832,376779,0
101,A046070,内促内,20210405,-345963,364910,0
102,A046070,内促内,20210402,-314958,333321,0
103,A046070,内促内,20210401,-305986,324049,0
104,A046070,内促内,20210331,-285751,303764,0
105,A046070,内促内,20210330,-271664,289677,0
106,A046070,内促内,20210329,-255133,273146,0
107,A046070,内促内,20210326,-254428,272441,0
108,A046070,内促内,20210325,-253375,271389,0
109,A046070,内促内,20210324,-277272,292427,0
110,A046070,内促内,20210323,-229130,244285,0
111,A046070,内促内,20210322,-242455,256886,0
112,A046070,内促内,20210319,-153472,171627,0
113,A046070,内促内,20210318,-115901,133115,0
114,A046070,内促内,20210317,-27191,35610,0
115,A046070,内促内,20210316,-11051,17408,0
116,A046070,内促内,20210315,-14860,14515,0
117,A046070,内促内,20210312,-40421,40076,0
118,A046070,内促内,20210311,18974,-19334,0
