,辆格内靛,辆格疙,朝楼,俺牢 鉴概荐,寇惫牢 鉴概荐,扁包 鉴概荐
0,A089890,内技胶,20210827,1934906,-517970,-140614
1,A089890,内技胶,20210826,1868977,-466014,-137401
2,A089890,内技胶,20210825,1804086,-394948,-141231
3,A089890,内技胶,20210824,1636455,-232375,-141231
4,A089890,内技胶,20210823,1541343,-150791,-141065
5,A089890,内技胶,20210820,1605762,-222933,-130712
6,A089890,内技胶,20210819,1548429,-142405,-140899
7,A089890,内技胶,20210818,1542415,-132534,-140899
8,A089890,内技胶,20210817,1573554,-165667,-140899
9,A089890,内技胶,20210813,1562136,-153169,-140565
10,A089890,内技胶,20210812,1636335,-228853,-140876
11,A089890,内技胶,20210811,1676516,-257806,-140275
12,A089890,内技胶,20210810,1708346,-290455,-140590
13,A089890,内技胶,20210809,1799852,-375706,-140590
14,A089890,内技胶,20210806,1767950,-347397,-140876
15,A089890,内技胶,20210805,1873616,-460393,-141876
16,A089890,内技胶,20210804,2205010,-786385,-141876
17,A089890,内技胶,20210803,1421221,-758050,570006
18,A089890,内技胶,20210802,1386745,-805053,657636
19,A089890,内技胶,20210730,1388462,-806928,657636
20,A089890,内技胶,20210729,1301478,-833510,768834
21,A089890,内技胶,20210728,937656,-821572,-61429
22,A089890,内技胶,20210727,944263,-826611,-61429
23,A089890,内技胶,20210726,917785,-809792,-52748
24,A089890,内技胶,20210723,943410,-835790,-57763
25,A089890,内技胶,20210722,944600,-836834,-57763
26,A089890,内技胶,20210721,941193,-833767,-55686
27,A089890,内技胶,20210720,938148,-830555,-54819
28,A089890,内技胶,20210719,850670,-792969,-1701
29,A089890,内技胶,20210716,942736,-822909,-61429
30,A089890,内技胶,20210715,938287,-819484,-61429
31,A089890,内技胶,20210714,944735,-825418,-61429
32,A089890,内技胶,20210713,922674,-814900,-61429
33,A089890,内技胶,20210712,837215,-763160,-27252
34,A089890,内技胶,20210709,847468,-745426,-61429
35,A089890,内技胶,20210708,871721,-772156,-60019
36,A089890,内技胶,20210707,873340,-771308,-61429
37,A089890,内技胶,20210706,896055,-787557,-70094
38,A089890,内技胶,20210705,902648,-778412,-70987
39,A089890,内技胶,20210702,914456,-783802,-70987
40,A089890,内技胶,20210701,930465,-798954,-70987
41,A089890,内技胶,20210630,913947,-791476,-63771
42,A089890,内技胶,20210629,868420,-744668,-63771
43,A089890,内技胶,20210628,983652,-791892,-138569
44,A089890,内技胶,20210625,971009,-786981,-138621
45,A089890,内技胶,20210624,934378,-753646,-138225
46,A089890,内技胶,20210623,965185,-776063,-138621
47,A089890,内技胶,20210622,975471,-776565,-138603
48,A089890,内技胶,20210621,494094,-416264,-93621
49,A089890,内技胶,20210618,479895,-403218,-93621
50,A089890,内技胶,20210617,469047,-390689,-93621
51,A089890,内技胶,20210616,450881,-372500,-93621
52,A089890,内技胶,20210615,444202,-361031,-93621
53,A089890,内技胶,20210614,417292,-333221,-93621
54,A089890,内技胶,20210611,394160,-310347,-93613
55,A089890,内技胶,20210610,374687,-290879,-93613
56,A089890,内技胶,20210609,352112,-267864,-93613
57,A089890,内技胶,20210608,318735,-236817,-93613
58,A089890,内技胶,20210607,304590,-221504,-93613
59,A089890,内技胶,20210604,270214,-181588,-93613
60,A089890,内技胶,20210603,257478,-168888,-93613
61,A089890,内技胶,20210602,247849,-158803,-93613
62,A089890,内技胶,20210601,251875,-162014,-93613
63,A089890,内技胶,20210531,236376,-145516,-93613
64,A089890,内技胶,20210528,205491,-116917,-91050
65,A089890,内技胶,20210527,264384,-173721,-93063
66,A089890,内技胶,20210526,236800,-168392,-73303
