,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A365270,큐라클,20210827,3773522,-151013,-2865957
1,A365270,큐라클,20210826,3779765,-155046,-2871575
2,A365270,큐라클,20210825,3685078,-152169,-2859764
3,A365270,큐라클,20210824,3575906,-156358,-2770812
4,A365270,큐라클,20210823,3325863,-158646,-2526164
5,A365270,큐라클,20210820,2705168,-142820,-1953454
6,A365270,큐라클,20210819,2735386,-176974,-1969570
7,A365270,큐라클,20210818,2487116,-90514,-1850544
8,A365270,큐라클,20210817,2703345,-141286,-2034370
9,A365270,큐라클,20210813,2711931,-162075,-2029777
10,A365270,큐라클,20210812,2691549,-162235,-2026904
11,A365270,큐라클,20210811,2461855,-81755,-1973312
12,A365270,큐라클,20210810,2588305,-184001,-2019400
13,A365270,큐라클,20210809,2455943,-143477,-1972237
14,A365270,큐라클,20210806,2436264,-162999,-2015727
15,A365270,큐라클,20210805,2342735,-156328,-1932317
16,A365270,큐라클,20210804,2385321,-171757,-1964544
