,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A040350,큐로컴,20210827,9199,91450,8314
1,A040350,큐로컴,20210826,63507,41141,3716
2,A040350,큐로컴,20210825,31489,34390,19146
3,A040350,큐로컴,20210824,24326,51895,9507
4,A040350,큐로컴,20210823,128741,-54802,11789
5,A040350,큐로컴,20210820,88477,-10429,8335
6,A040350,큐로컴,20210819,-13180,96730,7948
7,A040350,큐로컴,20210818,-132077,215929,17115
8,A040350,큐로컴,20210817,-33195,133082,6083
9,A040350,큐로컴,20210813,-5518,94849,15091
10,A040350,큐로컴,20210812,65007,28694,10323
11,A040350,큐로컴,20210811,89076,-13707,28255
12,A040350,큐로컴,20210810,84607,-1479,20408
13,A040350,큐로컴,20210809,151429,-81063,33991
14,A040350,큐로컴,20210806,198341,-112812,12357
15,A040350,큐로컴,20210805,54147,21450,16675
16,A040350,큐로컴,20210804,148062,-54226,8173
17,A040350,큐로컴,20210803,201618,-114057,13999
18,A040350,큐로컴,20210802,147349,-72310,25435
19,A040350,큐로컴,20210730,134332,-44725,10873
20,A040350,큐로컴,20210729,121421,-44973,24032
21,A040350,큐로컴,20210728,149490,-70589,20743
22,A040350,큐로컴,20210727,159338,-79530,14946
23,A040350,큐로컴,20210726,156521,-90814,13859
24,A040350,큐로컴,20210723,161182,-120435,36095
25,A040350,큐로컴,20210722,240487,-183717,11629
26,A040350,큐로컴,20210721,262512,-187692,1088
27,A040350,큐로컴,20210720,337425,-313959,23226
28,A040350,큐로컴,20210719,299922,-290051,27265
29,A040350,큐로컴,20210716,204394,-180666,15365
30,A040350,큐로컴,20210715,255824,-250785,16990
31,A040350,큐로컴,20210714,371291,-368410,24263
32,A040350,큐로컴,20210713,-16268,31961,10791
33,A040350,큐로컴,20210712,359570,-344736,6483
34,A040350,큐로컴,20210709,206208,-187544,4670
35,A040350,큐로컴,20210708,-197085,243103,6925
36,A040350,큐로컴,20210707,-240315,288910,4738
37,A040350,큐로컴,20210706,-198028,247317,4044
38,A040350,큐로컴,20210705,-193491,242815,4045
39,A040350,큐로컴,20210702,-182610,231163,4816
40,A040350,큐로컴,20210701,-169623,219190,4842
41,A040350,큐로컴,20210630,-98946,149458,3991
42,A040350,큐로컴,20210629,-114959,162527,6935
43,A040350,큐로컴,20210628,-172068,202966,23559
44,A040350,큐로컴,20210625,-176178,201130,29605
45,A040350,큐로컴,20210624,-221369,263875,12329
46,A040350,큐로컴,20210623,-258937,297780,16092
47,A040350,큐로컴,20210622,-291234,324264,22205
48,A040350,큐로컴,20210621,-363275,395294,23740
49,A040350,큐로컴,20210618,-369241,417779,7271
50,A040350,큐로컴,20210617,-357684,393617,18186
51,A040350,큐로컴,20210616,-329552,370616,13115
52,A040350,큐로컴,20210615,-269197,315273,5357
53,A040350,큐로컴,20210614,-202665,210787,43310
54,A040350,큐로컴,20210611,-123142,143632,31042
55,A040350,큐로컴,20210610,-5677,52802,12948
56,A040350,큐로컴,20210609,-149300,191069,2428
57,A040350,큐로컴,20210608,-190241,249971,3398
58,A040350,큐로컴,20210607,-209011,268474,4169
59,A040350,큐로컴,20210604,-156480,215923,4189
60,A040350,큐로컴,20210603,-119896,179458,4208
61,A040350,큐로컴,20210602,-101627,160779,4233
62,A040350,큐로컴,20210601,-93844,152802,4242
63,A040350,큐로컴,20210531,-99970,158674,4246
64,A040350,큐로컴,20210528,-62791,120944,4297
65,A040350,큐로컴,20210527,-44647,102773,4324
66,A040350,큐로컴,20210526,-45620,94640,5504
67,A040350,큐로컴,20210525,-22051,60120,15955
68,A040350,큐로컴,20210524,-50197,88611,15221
69,A040350,큐로컴,20210521,-160154,205644,8845
70,A040350,큐로컴,20210520,-191182,213672,31409
71,A040350,큐로컴,20210518,-234951,253834,35016
72,A040350,큐로컴,20210517,-213317,249746,18251
73,A040350,큐로컴,20210514,-264279,279446,24255
74,A040350,큐로컴,20210513,-250542,274008,16036
75,A040350,큐로컴,20210512,-176755,192882,20335
76,A040350,큐로컴,20210511,-210734,229386,20620
77,A040350,큐로컴,20210510,-226412,259880,29514
78,A040350,큐로컴,20210507,-145541,204584,6089
79,A040350,큐로컴,20210506,-209774,254671,20235
80,A040350,큐로컴,20210504,-243075,268209,10954
81,A040350,큐로컴,20210503,-324879,323814,44191
82,A040350,큐로컴,20210430,-201258,228740,15751
83,A040350,큐로컴,20210429,-317374,342119,17707
84,A040350,큐로컴,20210428,-404507,432285,17146
85,A040350,큐로컴,20210427,-334015,339203,20334
86,A040350,큐로컴,20210426,-270996,271348,24822
87,A040350,큐로컴,20210423,-265896,280255,10783
88,A040350,큐로컴,20210422,-216802,221253,11156
89,A040350,큐로컴,20210421,-163691,156504,28301
90,A040350,큐로컴,20210420,-160024,158845,22680
91,A040350,큐로컴,20210419,-130660,125853,24956
92,A040350,큐로컴,20210416,-245571,259805,6793
93,A040350,큐로컴,20210415,-252533,266018,7740
94,A040350,큐로컴,20210414,-400860,409355,3895
95,A040350,큐로컴,20210413,-94951,112300,4127
96,A040350,큐로컴,20210412,-522239,539367,4317
97,A040350,큐로컴,20210409,-578003,595580,4232
98,A040350,큐로컴,20210408,-399527,414581,5755
99,A040350,큐로컴,20210407,-310658,321833,10834
100,A040350,큐로컴,20210406,-264374,281825,4391
101,A040350,큐로컴,20210405,-246201,256440,11604
102,A040350,큐로컴,20210402,-289954,282597,4261
103,A040350,큐로컴,20210401,-291953,285525,3332
104,A040350,큐로컴,20210331,-188855,184394,1375
105,A040350,큐로컴,20210330,-210552,202431,1383
106,A040350,큐로컴,20210329,-156359,148180,1391
107,A040350,큐로컴,20210326,-209867,201953,1400
108,A040350,큐로컴,20210325,-181009,174634,1410
109,A040350,큐로컴,20210324,-101091,94701,1426
110,A040350,큐로컴,20210323,-92328,86893,2144
111,A040350,큐로컴,20210322,-180679,175444,2144
112,A040350,큐로컴,20210319,-244368,244125,2152
113,A040350,큐로컴,20210318,-271994,273863,40
114,A040350,큐로컴,20210317,-221963,217502,34
115,A040350,큐로컴,20210316,-185011,180556,28
116,A040350,큐로컴,20210315,-165377,165924,26
117,A040350,큐로컴,20210312,-122109,122659,23
118,A040350,큐로컴,20210311,-21068,21621,20
