,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,°³ÀÎ ¼ø¸Å¼ö,¿Ü±¹ÀÎ ¼ø¸Å¼ö,±â°ü ¼ø¸Å¼ö
0,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210827,-1177334,310354,1
1,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210826,-1171927,304947,1
2,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210825,-1160379,294209,1
3,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210824,-1158253,291889,1
4,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210823,-1148119,289755,1
5,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210820,-1141483,283119,1
6,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210819,-1148314,283299,1
7,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210818,-1150579,302204,1
8,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210817,-1183684,287583,1
9,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210813,-1262104,358623,1
10,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210812,-1397648,532670,1
11,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210811,-1367144,491779,1
12,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210810,-1445181,566497,1
13,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210809,-1201890,300796,1
14,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210806,-1242610,344016,1
15,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210805,-1263407,356313,1
16,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210804,-1251443,340859,1
17,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210803,-1245301,315219,1
18,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210802,-1259903,338847,1
19,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210730,-1263800,338184,1
20,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210729,-1229586,358537,1
21,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210728,-1164693,303470,1
22,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210727,-1096686,298914,1
23,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210726,-977342,297813,1
24,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210723,-845704,322872,1
25,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210722,-658973,317804,1
26,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210721,-498849,276167,1
27,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210720,-432224,302710,1
28,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210719,-496475,366131,1
29,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210716,-480705,406165,1
30,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210715,-446387,384211,1
31,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210714,-513269,451711,1
32,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210713,-571323,498818,1
33,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210712,-773821,713399,1
34,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210709,-589869,517531,1
35,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210708,-568479,509465,1
36,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210707,-753731,618533,0
37,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210706,-660538,504228,0
38,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210705,-709546,579501,0
39,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210702,-875095,738683,0
40,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210701,-900276,758857,0
41,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210630,-877662,738906,0
42,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210629,-850858,722348,0
43,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210628,-793431,661911,0
44,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210625,-803263,671763,0
45,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210624,-750017,584852,0
46,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210623,-779390,584091,0
47,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210622,-843145,650347,0
48,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210621,-811185,623330,0
49,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210618,-775377,594183,0
50,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210617,-771027,525163,1111
51,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210616,-874331,690999,12208
52,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210615,-729655,629498,0
53,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210614,-617848,516117,0
54,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210611,-569594,473099,0
55,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210610,-701329,591289,0
56,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210609,-586969,534720,0
57,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210608,-627906,541121,31713
58,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210607,-646572,569787,31713
59,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210604,-676320,604535,31713
60,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210603,-640224,519118,31713
61,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210602,-621902,484366,31713
62,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210601,-616832,480296,31713
63,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210531,-592012,457475,31713
64,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210528,-523441,420411,31713
65,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210527,-464505,369063,31713
66,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210526,-298205,210013,31713
67,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210525,-240983,165793,31713
68,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210524,-267855,168665,31713
69,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210521,-258965,159275,31713
70,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210520,-249642,175952,31713
71,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210518,-252558,178868,31713
72,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210517,-284512,217874,31713
73,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210514,-291624,238486,31713
74,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210513,-216605,137937,31713
75,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210512,-305079,226411,31713
76,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210511,-233462,163009,31713
77,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210510,-219484,140668,31713
78,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210507,-250407,176027,31713
79,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210506,-183303,87334,31713
80,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210504,-196356,106118,31713
81,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210503,-149795,71880,31713
82,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210430,-168586,93238,31713
83,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210429,-182482,102336,31713
84,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210428,-213149,134007,31713
85,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210427,-246683,180573,31713
86,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210426,-326596,260497,31713
87,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210423,-171053,64228,31713
88,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210422,-165458,58314,31713
89,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210421,-222154,124769,31713
90,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210420,-153655,46555,31713
91,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210419,-167839,60743,31713
92,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210416,-218328,102187,31713
93,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210415,-206323,93221,31713
94,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210414,-197356,98784,31713
95,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210413,-185218,100646,31713
96,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210412,-172682,104609,31713
97,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210409,-140635,75824,31713
98,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210408,-104982,56088,31713
99,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210407,-142529,54711,31713
100,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210406,-163858,107116,31713
101,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210405,-110473,111794,31713
102,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210402,-49721,82464,31713
103,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210401,-49998,83795,31713
104,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210331,-55746,91018,31713
105,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210330,-65376,101369,28859
106,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210329,-101924,117351,10099
107,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210326,11132,11296,6889
108,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210325,-32919,-2892,3500
109,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210324,-95907,11612,3500
110,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210323,-82311,-6984,3500
111,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210322,-85813,6307,3500
112,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210319,-162311,54997,0
113,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210318,-134243,4962,0
114,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210317,-181642,90773,0
115,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210316,-102905,1454,0
116,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210315,-91776,18625,0
117,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210312,-70877,19286,0
118,A043090,Å¥ºê¾ØÄÄÆÛ´Ï,20210311,-81453,45881,0
