,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A047730,텔라움,20121116,67835,-59899,0
1,A047730,텔라움,20121115,77835,-59899,0
2,A047730,텔라움,20121114,65027,-59899,0
3,A047730,텔라움,20121113,57027,-59899,0
4,A047730,텔라움,20121112,25244,-59899,0
5,A047730,텔라움,20121109,15244,-59899,0
6,A047730,텔라움,20121108,58913,-59899,0
7,A047730,텔라움,20121107,0,0,0
8,A047730,텔라움,20121106,0,0,0
9,A047730,텔라움,20121105,0,0,0
10,A047730,텔라움,20121102,0,0,0
11,A047730,텔라움,20121101,0,0,0
12,A047730,텔라움,20121031,0,0,0
13,A047730,텔라움,20121030,0,0,0
14,A047730,텔라움,20121029,0,0,0
15,A047730,텔라움,20121026,0,0,0
16,A047730,텔라움,20121025,0,0,0
17,A047730,텔라움,20121024,0,0,0
18,A047730,텔라움,20121023,0,0,0
19,A047730,텔라움,20121022,0,0,0
20,A047730,텔라움,20121019,0,0,0
21,A047730,텔라움,20121018,0,0,0
22,A047730,텔라움,20121017,0,0,0
23,A047730,텔라움,20121016,0,0,0
24,A047730,텔라움,20121015,0,0,0
25,A047730,텔라움,20121012,0,0,0
26,A047730,텔라움,20121011,0,0,0
27,A047730,텔라움,20121010,0,0,0
28,A047730,텔라움,20121009,0,0,0
29,A047730,텔라움,20121008,0,0,0
30,A047730,텔라움,20121005,0,0,0
31,A047730,텔라움,20121004,0,0,0
32,A047730,텔라움,20121002,0,0,0
33,A047730,텔라움,20120928,0,0,0
34,A047730,텔라움,20120927,0,0,0
35,A047730,텔라움,20120926,0,0,0
36,A047730,텔라움,20120925,0,0,0
37,A047730,텔라움,20120924,0,0,0
38,A047730,텔라움,20120921,0,0,0
39,A047730,텔라움,20120920,0,0,0
40,A047730,텔라움,20120919,0,0,0
41,A047730,텔라움,20120918,0,0,0
42,A047730,텔라움,20120917,0,0,0
43,A047730,텔라움,20120914,0,0,0
44,A047730,텔라움,20120913,0,0,0
45,A047730,텔라움,20120912,0,0,0
46,A047730,텔라움,20120911,0,0,0
47,A047730,텔라움,20120910,0,0,0
48,A047730,텔라움,20120907,0,0,0
49,A047730,텔라움,20120906,0,0,0
50,A047730,텔라움,20120905,0,0,0
51,A047730,텔라움,20120904,0,0,0
52,A047730,텔라움,20120903,0,0,0
53,A047730,텔라움,20120831,0,0,0
54,A047730,텔라움,20120830,0,0,0
55,A047730,텔라움,20120829,0,0,0
56,A047730,텔라움,20120828,0,0,0
57,A047730,텔라움,20120827,0,0,0
58,A047730,텔라움,20120824,0,0,0
59,A047730,텔라움,20120823,0,0,0
60,A047730,텔라움,20120822,0,0,0
61,A047730,텔라움,20120821,0,0,0
62,A047730,텔라움,20120820,0,0,0
63,A047730,텔라움,20120817,0,0,0
64,A047730,텔라움,20120816,0,0,0
65,A047730,텔라움,20120814,0,0,0
66,A047730,텔라움,20120813,0,0,0
67,A047730,텔라움,20120810,0,0,0
68,A047730,텔라움,20120809,0,0,0
69,A047730,텔라움,20120808,0,0,0
70,A047730,텔라움,20120807,0,0,0
71,A047730,텔라움,20120806,0,0,0
72,A047730,텔라움,20120803,0,0,0
73,A047730,텔라움,20120802,0,0,0
74,A047730,텔라움,20120801,0,0,0
75,A047730,텔라움,20120731,0,0,0
76,A047730,텔라움,20120730,0,0,0
77,A047730,텔라움,20120727,0,0,0
78,A047730,텔라움,20120726,0,0,0
79,A047730,텔라움,20120725,0,0,0
80,A047730,텔라움,20120724,0,0,0
81,A047730,텔라움,20120723,0,0,0
82,A047730,텔라움,20120720,0,0,0
83,A047730,텔라움,20120719,0,0,0
84,A047730,텔라움,20120718,0,0,0
85,A047730,텔라움,20120717,0,0,0
86,A047730,텔라움,20120716,0,0,0
87,A047730,텔라움,20120713,0,0,0
88,A047730,텔라움,20120712,0,0,0
89,A047730,텔라움,20120711,0,0,0
90,A047730,텔라움,20120710,0,0,0
91,A047730,텔라움,20120709,0,0,0
92,A047730,텔라움,20120706,0,0,0
93,A047730,텔라움,20120705,0,0,0
94,A047730,텔라움,20120704,0,0,0
95,A047730,텔라움,20120703,0,0,0
96,A047730,텔라움,20120702,0,0,0
97,A047730,텔라움,20120629,0,0,0
98,A047730,텔라움,20120628,0,0,0
99,A047730,텔라움,20120627,0,0,0
100,A047730,텔라움,20120626,0,0,0
101,A047730,텔라움,20120625,0,0,0
102,A047730,텔라움,20120622,0,0,0
103,A047730,텔라움,20120621,0,0,0
104,A047730,텔라움,20120620,0,0,0
105,A047730,텔라움,20120619,0,0,0
106,A047730,텔라움,20120618,0,0,0
107,A047730,텔라움,20120615,0,0,0
108,A047730,텔라움,20120614,0,0,0
109,A047730,텔라움,20120613,0,0,0
110,A047730,텔라움,20120612,0,0,0
111,A047730,텔라움,20120611,0,0,0
112,A047730,텔라움,20120608,0,0,0
113,A047730,텔라움,20120607,0,0,0
114,A047730,텔라움,20120605,0,0,0
115,A047730,텔라움,20120604,0,0,0
116,A047730,텔라움,20120601,0,0,0
117,A047730,텔라움,20120531,0,0,0
118,A047730,텔라움,20120530,0,0,0
