,謙跡囀萄,謙跡貲,陳瞼,偃檣 牖衙熱,諼措檣 牖衙熱,晦婦 牖衙熱
0,A108230,體臢,20210827,181332,-148038,-70975
1,A108230,體臢,20210826,202919,-169815,-71000
2,A108230,體臢,20210825,220667,-182008,-76627
3,A108230,體臢,20210824,224407,-191634,-71282
4,A108230,體臢,20210823,259962,-230399,-68152
5,A108230,體臢,20210820,303899,-277740,-64049
6,A108230,體臢,20210819,322023,-288772,-69409
7,A108230,體臢,20210818,330713,-304884,-66697
8,A108230,體臢,20210817,416651,-381042,-77296
9,A108230,體臢,20210813,407441,-375801,-73116
10,A108230,體臢,20210812,381216,-343932,-79131
11,A108230,體臢,20210811,375346,-335628,-81846
12,A108230,體臢,20210810,359859,-322958,-79235
13,A108230,體臢,20210809,315053,-276452,-80821
14,A108230,體臢,20210806,280602,-255480,-67483
15,A108230,體臢,20210805,252727,-232809,-62271
16,A108230,體臢,20210804,238448,-219968,-61145
17,A108230,體臢,20210803,240854,-224444,-60733
18,A108230,體臢,20210802,240800,-224871,-50332
19,A108230,體臢,20210730,249195,-231224,-52438
20,A108230,體臢,20210729,241694,-200668,-45363
21,A108230,體臢,20210728,243872,-201967,-46293
22,A108230,體臢,20210727,242373,-204610,-42039
23,A108230,體臢,20210726,231754,-194445,-41441
24,A108230,體臢,20210723,182511,-155441,-30295
25,A108230,體臢,20210722,168012,-148510,-23436
26,A108230,體臢,20210721,158392,-145164,-17522
27,A108230,體臢,20210720,116372,-122585,2974
28,A108230,體臢,20210719,121985,-128393,3176
29,A108230,體臢,20210716,106861,-115822,5879
30,A108230,體臢,20210715,75767,-99326,20477
31,A108230,體臢,20210714,72249,-108677,33507
32,A108230,體臢,20210713,45669,-91853,43211
33,A108230,體臢,20210712,52856,-98393,42226
34,A108230,體臢,20210709,49422,-97293,44530
35,A108230,體臢,20210708,98024,-145833,44714
36,A108230,體臢,20210707,62176,-118418,49077
37,A108230,體臢,20210706,63466,-122724,51964
38,A108230,體臢,20210705,61770,-124231,54666
39,A108230,體臢,20210702,35062,-88587,45575
40,A108230,體臢,20210701,20286,-80360,53326
41,A108230,體臢,20210630,14054,-73083,52430
42,A108230,體臢,20210629,78393,-134731,49159
43,A108230,體臢,20210628,92455,-158510,58096
44,A108230,體臢,20210625,106143,-172346,58346
45,A108230,體臢,20210624,119351,-190030,63562
46,A108230,體臢,20210623,106084,-183596,70062
47,A108230,體臢,20210622,103770,-181181,70186
48,A108230,體臢,20210621,28462,-97548,62073
49,A108230,體臢,20210618,69492,-130227,52808
50,A108230,體臢,20210617,65884,-123214,49933
51,A108230,體臢,20210616,64820,-128352,56149
52,A108230,體臢,20210615,55898,-120840,58011
53,A108230,體臢,20210614,84761,-153566,61676
