,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A104480,티케이케미칼,20210827,7807617,1416467,-40970
1,A104480,티케이케미칼,20210826,7544367,1683181,-40970
2,A104480,티케이케미칼,20210825,7453795,1772656,-40970
3,A104480,티케이케미칼,20210824,7470083,1807056,-92083
4,A104480,티케이케미칼,20210823,7495545,1781600,-92083
5,A104480,티케이케미칼,20210820,7645656,1643366,-104541
6,A104480,티케이케미칼,20210819,7494686,1785250,-95288
7,A104480,티케이케미칼,20210818,7582549,1760529,-158016
8,A104480,티케이케미칼,20210817,6971638,2241988,-25447
9,A104480,티케이케미칼,20210813,7032347,2152750,5038
10,A104480,티케이케미칼,20210812,7252172,1834744,89327
11,A104480,티케이케미칼,20210811,7083768,1791162,305643
12,A104480,티케이케미칼,20210810,7040837,1832039,305643
13,A104480,티케이케미칼,20210809,7172062,1790592,214385
14,A104480,티케이케미칼,20210806,7337684,1765885,86141
15,A104480,티케이케미칼,20210805,7187809,1855725,148529
16,A104480,티케이케미칼,20210804,7138513,1940774,114791
17,A104480,티케이케미칼,20210803,7276960,1853475,68625
18,A104480,티케이케미칼,20210802,7170834,1948471,70272
19,A104480,티케이케미칼,20210730,7091159,2075777,18815
20,A104480,티케이케미칼,20210729,6895817,2270321,16086
21,A104480,티케이케미칼,20210728,6963651,2218850,9859
22,A104480,티케이케미칼,20210727,6883068,2324519,-14075
23,A104480,티케이케미칼,20210726,6935853,2274757,-14101
24,A104480,티케이케미칼,20210723,6884608,2310524,1232
25,A104480,티케이케미칼,20210722,6894508,2299995,1232
26,A104480,티케이케미칼,20210721,6871479,2371283,-48739
27,A104480,티케이케미칼,20210720,6932631,2309534,-48097
28,A104480,티케이케미칼,20210719,6623135,2666058,-91018
29,A104480,티케이케미칼,20210716,6876241,2459578,-141993
30,A104480,티케이케미칼,20210715,6699038,2538237,-46856
31,A104480,티케이케미칼,20210714,6696063,2529788,-36305
32,A104480,티케이케미칼,20210713,6769999,2474779,-55048
33,A104480,티케이케미칼,20210712,5075702,4323069,-167997
34,A104480,티케이케미칼,20210709,4807021,4622721,-158761
35,A104480,티케이케미칼,20210708,5435064,3957769,-132893
36,A104480,티케이케미칼,20210707,4795628,4657554,-130966
37,A104480,티케이케미칼,20210706,5752579,3772251,-212921
38,A104480,티케이케미칼,20210705,5603815,3947149,-220638
39,A104480,티케이케미칼,20210702,5175890,4431757,-273020
40,A104480,티케이케미칼,20210701,5182276,4406711,-266040
41,A104480,티케이케미칼,20210630,5658857,3953492,-293604
42,A104480,티케이케미칼,20210629,5378494,4224843,-277738
43,A104480,티케이케미칼,20210628,5596123,4033667,-319734
44,A104480,티케이케미칼,20210625,5842486,3772869,-321653
45,A104480,티케이케미칼,20210624,6695517,3312952,-684518
46,A104480,티케이케미칼,20210623,6282486,3870761,-804218
47,A104480,티케이케미칼,20210622,7036425,3643396,-1379004
48,A104480,티케이케미칼,20210621,7165158,3515715,-1375266
49,A104480,티케이케미칼,20210618,7077644,3600277,-1371671
50,A104480,티케이케미칼,20210617,6898309,3779170,-1360104
51,A104480,티케이케미칼,20210616,6639847,4035440,-1362515
52,A104480,티케이케미칼,20210615,6362648,4309227,-1352189
53,A104480,티케이케미칼,20210614,6344810,4291977,-1318666
54,A104480,티케이케미칼,20210611,6312527,4316310,-1305502
55,A104480,티케이케미칼,20210610,6352093,4241555,-1265936
56,A104480,티케이케미칼,20210609,6485129,4106539,-1263936
57,A104480,티케이케미칼,20210608,6270911,4148324,-1090612
58,A104480,티케이케미칼,20210607,6203373,4166129,-1039224
59,A104480,티케이케미칼,20210604,5999613,4306209,-981425
60,A104480,티케이케미칼,20210603,6292852,3959215,-981425
61,A104480,티케이케미칼,20210602,5866804,4369424,-981425
62,A104480,티케이케미칼,20210601,6055203,4178483,-960952
63,A104480,티케이케미칼,20210531,6355119,3843436,-923605
64,A104480,티케이케미칼,20210528,6275021,3942928,-942945
65,A104480,티케이케미칼,20210527,6337919,3878898,-942476
66,A104480,티케이케미칼,20210526,6413290,3776591,-913373
67,A104480,티케이케미칼,20210525,6135693,4044095,-896346
68,A104480,티케이케미칼,20210524,6216362,3970516,-901344
69,A104480,티케이케미칼,20210521,6375397,3835368,-925561
70,A104480,티케이케미칼,20210520,6351465,3854154,-925561
71,A104480,티케이케미칼,20210518,5886558,4258644,-859370
72,A104480,티케이케미칼,20210517,5151200,4956828,-842411
73,A104480,티케이케미칼,20210514,5099020,5048244,-854704
74,A104480,티케이케미칼,20210513,4959367,5193810,-856922
75,A104480,티케이케미칼,20210512,4723637,5436151,-861909
76,A104480,티케이케미칼,20210511,4132846,5679946,-562770
77,A104480,티케이케미칼,20210510,4399529,5353092,-534765
78,A104480,티케이케미칼,20210507,4657828,5095974,-536217
79,A104480,티케이케미칼,20210506,3455190,5451637,244305
80,A104480,티케이케미칼,20210504,3224466,5565880,279143
81,A104480,티케이케미칼,20210503,2504137,5826212,740047
82,A104480,티케이케미칼,20210430,2269277,6161477,789503
83,A104480,티케이케미칼,20210429,2134967,6365745,694527
84,A104480,티케이케미칼,20210428,1590159,6619817,998000
85,A104480,티케이케미칼,20210427,1529021,6648691,969393
86,A104480,티케이케미칼,20210426,2168518,5966923,1024946
87,A104480,티케이케미칼,20210423,1227888,7148678,818237
88,A104480,티케이케미칼,20210422,1349980,6862748,948428
89,A104480,티케이케미칼,20210421,997985,7404985,628054
90,A104480,티케이케미칼,20210420,-1101430,5405059,76919
91,A104480,티케이케미칼,20210419,-972795,4860256,95024
92,A104480,티케이케미칼,20210416,-770406,4696112,164813
93,A104480,티케이케미칼,20210415,-999039,4986408,123598
94,A104480,티케이케미칼,20210414,-805180,4832745,61290
95,A104480,티케이케미칼,20210413,-708354,4749355,59445
96,A104480,티케이케미칼,20210412,-521480,4548009,69842
97,A104480,티케이케미칼,20210409,-710943,4791746,60466
98,A104480,티케이케미칼,20210408,-579652,4720884,24126
99,A104480,티케이케미칼,20210407,-419467,4696030,-96625
100,A104480,티케이케미칼,20210406,-383463,4693259,-92812
101,A104480,티케이케미칼,20210405,-827706,5245748,-119521
102,A104480,티케이케미칼,20210402,-1058607,5424903,-87432
103,A104480,티케이케미칼,20210401,-1337556,5660442,31210
104,A104480,티케이케미칼,20210331,-1266742,5613305,-28438
105,A104480,티케이케미칼,20210330,-1376671,5687318,18318
106,A104480,티케이케미칼,20210329,-1125313,5643811,-28137
107,A104480,티케이케미칼,20210326,-712814,4581446,612509
108,A104480,티케이케미칼,20210325,-127991,3099633,306895
109,A104480,티케이케미칼,20210324,300299,700987,-273240
110,A104480,티케이케미칼,20210323,689680,82796,-733934
111,A104480,티케이케미칼,20210322,537527,169370,-642383
112,A104480,티케이케미칼,20210319,666245,-3881,-597442
113,A104480,티케이케미칼,20210318,512834,13656,-472235
114,A104480,티케이케미칼,20210317,237120,204520,-367302
115,A104480,티케이케미칼,20210316,-16628,308598,-307451
116,A104480,티케이케미칼,20210315,-137863,455565,-279575
117,A104480,티케이케미칼,20210312,-601115,717516,-57745
118,A104480,티케이케미칼,20210311,-1120012,937064,235098
