,종목코드,종목명,날짜,개인 순매수,외국인 순매수,기관 순매수
0,A106240,파인테크닉스,20210827,-2837020,746500,2608405
1,A106240,파인테크닉스,20210826,-2728923,388927,2740950
2,A106240,파인테크닉스,20210825,-2195830,383188,2060738
3,A106240,파인테크닉스,20210824,-2328035,487829,2093744
4,A106240,파인테크닉스,20210823,-2206549,591088,1847041
5,A106240,파인테크닉스,20210820,-1350227,279797,1353253
6,A106240,파인테크닉스,20210819,-1332229,285910,1331461
7,A106240,파인테크닉스,20210818,-1398197,292798,1379838
8,A106240,파인테크닉스,20210817,-1456413,286045,1442325
9,A106240,파인테크닉스,20210813,-1491059,277669,1484679
10,A106240,파인테크닉스,20210812,-1874326,391192,1745229
11,A106240,파인테크닉스,20210811,-1696061,334974,1621053
12,A106240,파인테크닉스,20210810,-1814283,346735,1717251
13,A106240,파인테크닉스,20210809,-2157147,674318,1712616
14,A106240,파인테크닉스,20210806,-1805155,406224,1586359
15,A106240,파인테크닉스,20210805,-1916130,512496,1587085
16,A106240,파인테크닉스,20210804,-1893307,518778,1537098
17,A106240,파인테크닉스,20210803,-1933177,600404,1499332
18,A106240,파인테크닉스,20210802,-1797692,595361,1370598
19,A106240,파인테크닉스,20210730,-1823355,628733,1358898
20,A106240,파인테크닉스,20210729,-1819860,643234,1341258
21,A106240,파인테크닉스,20210728,-1861764,702542,1324764
22,A106240,파인테크닉스,20210727,-1947653,732057,1340149
23,A106240,파인테크닉스,20210726,-2215367,940063,1404803
24,A106240,파인테크닉스,20210723,-2018276,756346,1354331
25,A106240,파인테크닉스,20210722,-2021698,761432,1353788
26,A106240,파인테크닉스,20210721,-2165759,812224,1432224
27,A106240,파인테크닉스,20210720,-2235145,867813,1440027
28,A106240,파인테크닉스,20210719,-2358179,899430,1589935
29,A106240,파인테크닉스,20210716,-2518950,878602,1757720
30,A106240,파인테크닉스,20210715,-2657043,918776,1857502
31,A106240,파인테크닉스,20210714,-2789831,1018135,1888682
32,A106240,파인테크닉스,20210713,-2923473,1153866,1889011
33,A106240,파인테크닉스,20210712,-3030728,1344931,1812434
34,A106240,파인테크닉스,20210709,-2534178,939933,1701622
